date,price
2025-01-01,105.0
2025-01-02,105.0
2025-01-03,90.0
2025-01-04,105.0
2025-01-05,105.0
2025-01-06,105.0
2025-01-07,105.0
2025-01-08,105.0
2025-01-09,105.0
2025-01-10,102.5
2025-01-11,100.0
2025-01-12,100.0
2025-01-13,100.0
2025-01-14,100.0
2025-01-15,100.0
2025-01-16,103.18
2025-01-17,104.37
2025-01-18,102.55
2025-01-19,104.48
2025-01-20,106.4
2025-01-21,105.79
2025-01-22,104.7
2025-01-23,105.0
2025-01-24,106.05
2025-01-25,107.39
2025-01-26,105.92
2025-01-27,104.46
2025-01-28,104.62
2025-01-29,103.57
2025-01-30,103.57
2025-01-31,103.57
2025-02-01,103.43
2025-02-02,103.62
2025-02-03,103.82
2025-02-04,103.99
2025-02-05,103.97
2025-02-06,104.12
2025-02-07,104.29
2025-02-08,104.29
2025-02-09,104.1
2025-02-10,103.92
2025-02-11,104.27
2025-02-12,105.72
2025-02-13,105.77
2025-02-14,104.74
2025-02-15,104.74
2025-02-16,105.12
2025-02-17,105.49
2025-02-18,105.56
2025-02-19,104.87
2025-02-20,105.03
2025-02-21,104.87
2025-02-22,104.89
2025-02-23,104.92
2025-02-24,105.48
2025-02-25,104.67
2025-02-26,105.81
2025-02-27,105.11
2025-02-28,104.84
2025-03-01,106.16
2025-03-02,105.78
2025-03-03,105.39
2025-03-04,105.39
2025-03-05,105.39
2025-03-06,105.42
2025-03-07,105.35
2025-03-08,106.1
2025-03-09,105.46
2025-03-10,104.81
2025-03-11,105.6
2025-03-12,107.21
2025-03-13,105.06
2025-03-14,105.6
2025-03-15,103.84
2025-03-16,104.81
2025-03-17,105.78
2025-03-18,105.6
2025-03-19,105.41
2025-03-20,105.41
2025-03-21,105.42
2025-03-22,105.14
2025-03-23,105.18
2025-03-24,105.23
2025-03-25,106.16
2025-03-26,106.88
2025-03-27,105.06
2025-03-28,105.48
2025-03-29,106.98
2025-03-30,105.81
2025-03-31,104.64
2025-04-01,104.52
2025-04-02,105.3
2025-04-03,105.95
2025-04-04,104.71
2025-04-05,104.81
2025-04-06,104.94
2025-04-07,105.06
2025-04-08,105.06
2025-04-09,105.06
2025-04-10,105.06
2025-04-11,105.12
2025-04-12,106.94
2025-04-13,106.0
2025-04-14,105.06
2025-04-15,103.19
2025-04-16,104.23
2025-04-17,104.18
2025-04-18,104.13
2025-04-19,104.09
2025-04-20,104.04
2025-04-21,103.99
2025-04-22,104.57
2025-04-23,105.12
2025-04-24,104.82
2025-04-25,104.82
2025-04-26,105.55
2025-04-27,105.74
2025-04-28,105.94
2025-04-29,104.46
2025-04-30,105.75
2025-05-01,105.47
2025-05-02,105.19
2025-05-03,105.88
2025-05-04,106.1
2025-05-05,106.33
2025-05-06,105.78
2025-05-07,105.17
2025-05-08,106.11
2025-05-09,104.96
2025-05-10,105.2
2025-05-11,105.6
2025-05-12,106.0
2025-05-13,103.22
2025-05-14,105.47
2025-05-15,106.46
2025-05-16,105.7
2025-05-17,105.31
2025-05-18,105.62
2025-05-19,105.92
2025-05-20,104.94
2025-05-21,106.69
2025-05-22,105.59
2025-05-23,106.52
2025-05-24,106.22
2025-05-25,105.2
2025-05-26,104.18
2025-05-27,104.54
2025-05-28,104.77
2025-05-29,104.63
2025-05-30,104.47
2025-05-31,104.31
2025-06-01,104.69
2025-06-02,105.07
2025-06-03,104.06
2025-06-04,104.83
2025-06-05,104.6
2025-06-06,104.06
2025-06-07,101.81
2025-06-08,102.96
2025-06-09,104.11
2025-06-10,104.49
2025-06-11,104.49
2025-06-12,106.49
2025-06-13,104.83
2025-06-14,104.49
2025-06-15,104.06
2025-06-16,103.63
2025-06-17,104.72
2025-06-18,104.38
2025-06-19,104.13
2025-06-20,104.1
2025-06-21,105.69
2025-06-22,104.85
2025-06-23,104.01
2025-06-24,104.26
2025-06-25,104.26
2025-06-26,103.98
2025-06-27,103.75
2025-06-28,103.92
2025-06-29,104.1
2025-06-30,103.5
2025-07-01,102.93
2025-07-02,103.13
2025-07-03,103.13
2025-07-04,102.5
2025-07-05,101.1
2025-07-06,101.99
2025-07-07,102.88
2025-07-08,102.61
2025-07-09,102.82
2025-07-10,103.04
2025-07-11,103.01
2025-07-12,102.17
2025-07-13,102.01
2025-07-14,101.85
2025-07-15,101.79
2025-07-16,101.74
2025-07-17,101.79
2025-07-18,101.81
2025-07-19,99.93
2025-07-20,100.79
2025-07-21,101.65
2025-07-22,102.41
2025-07-23,101.73
2025-07-24,102.85
2025-07-25,104.29
2025-07-26,103.7
2025-07-27,102.66
2025-07-28,101.61
2025-07-29,101.62
2025-07-30,101.63
2025-07-31,100.49
2025-08-01,95.0
2025-08-02,95.0
2025-08-03,95.0
2025-08-04,95.0
2025-08-05,95.0
2025-08-06,95.0
2025-08-07,95.0
2025-08-08,95.0
2025-08-09,95.0
2025-08-10,95.0
2025-08-11,95.0
2025-08-12,95.0
2025-08-13,95.0
2025-08-14,95.0
2025-08-15,95.0
2025-08-16,95.0
2025-08-17,95.0
2025-08-18,95.0
2025-08-19,95.0
2025-08-20,95.0
2025-08-21,95.0
2025-08-22,95.0
2025-08-23,95.0
2025-08-24,95.0
2025-08-25,95.0
2025-08-26,95.0
2025-08-27,95.0
2025-08-28,95.0
2025-08-29,95.0
2025-08-30,95.0
2025-08-31,95.0
2025-09-01,95.0
2025-09-02,95.0
2025-09-03,95.0
2025-09-04,95.0
2025-09-05,95.0
2025-09-06,95.0
2025-09-07,95.0
2025-09-08,95.0
2025-09-09,95.0
2025-09-10,95.0
2025-09-11,95.0
2025-09-12,95.0
2025-09-13,95.0
2025-09-14,95.0
2025-09-15,95.0
2025-09-16,95.0
2025-09-17,95.0
2025-09-18,95.0
2025-09-19,90.0
2025-09-20,90.0
2025-09-21,90.0
2025-09-22,90.0
2025-09-23,95.0
2025-09-24,90.0
2025-09-25,90.0
2025-09-26,90.0
2025-09-27,95.0
2025-09-28,92.5
2025-09-29,90.0
2025-09-30,90.0
2025-10-01,97.87
2025-10-02,98.1
2025-10-03,98.96
2025-10-04,98.6
2025-10-05,97.88
2025-10-06,97.15
2025-10-07,98.07
2025-10-08,97.55
2025-10-09,97.62
2025-10-10,97.69
2025-10-11,98.1
2025-10-12,97.82
2025-10-13,97.55
2025-10-14,97.6
2025-10-15,97.47
2025-10-16,97.47
2025-10-17,96.2
2025-10-18,97.94
2025-10-19,97.74
2025-10-20,97.55
2025-10-21,97.55
2025-10-22,97.55
2025-10-23,97.52
2025-10-24,97.5
2025-10-25,97.47
2025-10-26,97.45
2025-10-27,97.42
2025-10-28,97.4
2025-10-29,97.37
2025-10-30,97.4
2025-10-31,98.76
2025-11-01,96.73
2025-11-02,97.08
2025-11-03,97.4
2025-11-04,97.47
2025-11-05,97.53
2025-11-06,97.53
2025-11-07,97.24
2025-11-08,98.82
2025-11-09,95.0
2025-11-10,98.1
2025-11-11,97.63
2025-11-12,98.13
2025-11-13,98.65
2025-11-14,98.16
2025-11-15,
2025-11-16,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-22,
2025-11-23,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-11-29,
2025-11-30,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-06,
2025-12-07,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-13,
2025-12-14,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-20,
2025-12-21,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-27,
2025-12-28,
2025-12-29,
2025-12-30,
2025-12-31,
