date,price
2024-01-01,65.0
2024-01-02,68.35
2024-01-03,67.26
2024-01-04,66.38
2024-01-05,65.83
2024-01-06,62.9
2024-01-07,63.81
2024-01-08,67.96
2024-01-09,66.47
2024-01-10,65.82
2024-01-11,67.81
2024-01-12,68.75
2024-01-13,66.83
2024-01-14,65.83
2024-01-15,67.39
2024-01-16,63.96
2024-01-17,65.28
2024-01-18,63.11
2024-01-19,67.5
2024-01-20,65.66
2024-01-21,66.04
2024-01-22,66.43
2024-01-23,66.58
2024-01-24,65.89
2024-01-25,67.63
2024-01-26,66.67
2024-01-27,63.54
2024-01-28,63.04
2024-01-29,66.27
2024-01-30,64.74
2024-01-31,65.36
2024-02-01,65.32
2024-02-02,65.0
2024-02-03,65.97
2024-02-04,62.56
2024-02-05,67.17
2024-02-06,66.82
2024-02-07,64.88
2024-02-08,66.21
2024-02-09,68.12
2024-02-10,65.53
2024-02-11,66.59
2024-02-12,66.47
2024-02-13,66.34
2024-02-14,67.0
2024-02-15,67.08
2024-02-16,67.5
2024-02-17,66.08
2024-02-18,67.28
2024-02-19,69.53
2024-02-20,71.14
2024-02-21,67.47
2024-02-22,66.53
2024-02-23,63.67
2024-02-24,60.4
2024-02-25,60.22
2024-02-26,1961.85
2024-02-27,67.88
2024-02-28,65.23
2024-02-29,65.3
2024-03-01,65.0
2024-03-02,66.02
2024-03-03,60.39
2024-03-04,68.78
2024-03-05,66.57
2024-03-06,67.25
2024-03-07,67.36
2024-03-08,69.38
2024-03-09,65.94
2024-03-10,66.92
2024-03-11,68.26
2024-03-12,66.42
2024-03-13,69.52
2024-03-14,67.09
2024-03-15,68.33
2024-03-16,65.82
2024-03-17,72.11
2024-03-18,71.01
2024-03-19,67.96
2024-03-20,69.11
2024-03-21,68.03
2024-03-22,67.5
2024-03-23,67.35
2024-03-24,72.09
2024-03-25,70.66
2024-03-26,68.81
2024-03-27,69.02
2024-03-28,68.18
2024-03-29,65.0
2024-03-30,69.08
2024-03-31,69.53
2024-04-01,69.95
2024-04-02,70.37
2024-04-03,69.68
2024-04-04,67.05
2024-04-05,66.25
2024-04-06,68.39
2024-04-07,73.78
2024-04-08,73.83
2024-04-09,73.86
2024-04-10,68.03
2024-04-11,70.0
2024-04-12,68.33
2024-04-13,67.04
2024-04-14,73.13
2024-04-15,70.48
2024-04-16,63.75
2024-04-17,62.5
2024-04-18,62.5
2024-04-19,62.5
2024-04-20,63.89
2024-04-21,67.04
2024-04-22,66.77
2024-04-23,66.5
2024-04-24,65.52
2024-04-25,68.1
2024-04-26,68.05
2024-04-27,68.0
2024-04-28,72.0
2024-04-29,70.82
2024-04-30,67.12
2024-05-01,67.24
2024-05-02,67.87
2024-05-03,65.83
2024-05-04,68.01
2024-05-05,67.43
2024-05-06,71.15
2024-05-07,69.39
2024-05-08,67.48
2024-05-09,69.24
2024-05-10,66.67
2024-05-11,68.16
2024-05-12,71.58
2024-05-13,70.87
2024-05-14,68.08
2024-05-15,68.56
2024-05-16,68.55
2024-05-17,68.52
2024-05-18,68.48
2024-05-19,71.82
2024-05-20,70.68
2024-05-21,69.61
2024-05-22,66.15
2024-05-23,66.31
2024-05-24,66.17
2024-05-25,66.02
2024-05-26,67.04
2024-05-27,67.48
2024-05-28,67.93
2024-05-29,66.97
2024-05-30,65.97
2024-05-31,63.33
2024-06-01,68.14
2024-06-02,69.63
2024-06-03,67.17
2024-06-04,65.77
2024-06-05,65.66
2024-06-06,65.54
2024-06-07,65.62
2024-06-08,67.0
2024-06-09,68.31
2024-06-10,68.23
2024-06-11,68.15
2024-06-12,65.39
2024-06-13,66.03
2024-06-14,66.15
2024-06-15,66.27
2024-06-16,67.94
2024-06-17,73.78
2024-06-18,70.31
2024-06-19,66.33
2024-06-20,64.84
2024-06-21,62.5
2024-06-22,66.25
2024-06-23,67.96
2024-06-24,70.49
2024-06-25,69.1
2024-06-26,66.86
2024-06-27,66.41
2024-06-28,66.6
2024-06-29,66.78
2024-06-30,67.83
2024-07-01,70.81
2024-07-02,70.81
2024-07-03,68.25
2024-07-04,67.4
2024-07-05,63.75
2024-07-06,66.56
2024-07-07,68.42
2024-07-08,70.92
2024-07-09,68.84
2024-07-10,67.08
2024-07-11,65.83
2024-07-12,62.5
2024-07-13,66.63
2024-07-14,68.96
2024-07-15,71.09
2024-07-16,68.94
2024-07-17,67.22
2024-07-18,66.65
2024-07-19,67.19
2024-07-20,67.74
2024-07-21,69.2
2024-07-22,69.06
2024-07-23,68.93
2024-07-24,65.65
2024-07-25,65.09
2024-07-26,64.64
2024-07-27,64.18
2024-07-28,65.17
2024-07-29,71.67
2024-07-30,69.28
2024-07-31,63.33
2024-08-01,63.33
2024-08-02,63.33
2024-08-03,63.33
2024-08-04,60.0
2024-08-05,65.0
2024-08-06,65.0
2024-08-07,66.5
2024-08-08,65.0
2024-08-09,66.2
2024-08-10,63.75
2024-08-11,60.0
2024-08-12,67.5
2024-08-13,65.38
2024-08-14,64.8
2024-08-15,65.62
2024-08-16,63.83
2024-08-17,65.0
2024-08-18,64.17
2024-08-19,62.4
2024-08-20,60.62
2024-08-21,60.5
2024-08-22,58.5
2024-08-23,63.33
2024-08-24,66.8
2024-08-25,67.5
2024-08-26,74.17
2024-08-27,68.5
2024-08-28,66.8
2024-08-29,67.25
2024-08-30,65.0
2024-08-31,64.0
2024-09-01,63.33
2024-09-02,64.17
2024-09-03,65.0
2024-09-04,62.5
2024-09-05,61.25
2024-09-06,62.5
2024-09-07,65.83
2024-09-08,65.62
2024-09-09,75.83
2024-09-10,67.5
2024-09-11,66.88
2024-09-12,66.0
2024-09-13,65.92
2024-09-14,65.83
2024-09-15,65.62
2024-09-16,69.38
2024-09-17,70.83
2024-09-18,68.0
2024-09-19,69.38
2024-09-20,65.62
2024-09-21,67.5
2024-09-22,68.75
2024-09-23,69.38
2024-09-24,70.0
2024-09-25,68.0
2024-09-26,67.0
2024-09-27,65.62
2024-09-28,65.62
2024-09-29,65.62
2024-09-30,63.94
2024-10-01,64.44
2024-10-02,63.39
2024-10-03,61.98
2024-10-04,61.67
2024-10-05,65.5
2024-10-06,60.88
2024-10-07,64.38
2024-10-08,66.0
2024-10-09,64.83
2024-10-10,63.11
2024-10-11,63.07
2024-10-12,66.97
2024-10-13,63.46
2024-10-14,66.54
2024-10-15,66.08
2024-10-16,64.93
2024-10-17,65.72
2024-10-18,63.02
2024-10-19,68.73
2024-10-20,63.64
2024-10-21,66.56
2024-10-22,63.73
2024-10-23,63.66
2024-10-24,63.59
2024-10-25,64.01
2024-10-26,63.53
2024-10-27,63.04
2024-10-28,74.68
2024-10-29,75.06
2024-10-30,76.58
2024-10-31,75.88
2024-11-01,77.0
2024-11-02,75.06
2024-11-03,75.06
2024-11-04,75.18
2024-11-05,75.18
2024-11-06,75.24
2024-11-07,76.63
2024-11-08,73.0
2024-11-09,75.96
2024-11-10,75.18
2024-11-11,74.68
2024-11-12,75.35
2024-11-13,75.35
2024-11-14,62.54
2024-11-15,63.48
2024-11-16,67.0
2024-11-17,60.73
2024-11-18,61.49
2024-11-19,65.62
2024-11-20,63.75
2024-11-21,61.74
2024-11-22,66.22
2024-11-23,67.5
2024-11-24,63.3
2024-11-25,64.86
2024-11-26,64.55
2024-11-27,64.24
2024-11-28,62.34
2024-11-29,60.5
2024-11-30,61.25
2024-12-01,65.0
2024-12-02,65.83
2024-12-03,71.67
2024-12-04,70.62
2024-12-05,66.88
2024-12-06,68.75
2024-12-07,67.92
2024-12-08,67.71
2024-12-09,67.5
2024-12-10,71.67
2024-12-11,66.25
2024-12-12,62.5
2024-12-13,60.0
2024-12-14,64.0
2024-12-15,60.0
2024-12-16,71.25
2024-12-17,71.67
2024-12-18,65.0
2024-12-19,62.5
2024-12-20,64.38
2024-12-21,67.0
2024-12-22,63.33
2024-12-23,71.25
2024-12-24,72.5
2024-12-25,77.5
2024-12-26,70.62
2024-12-27,67.5
2024-12-28,68.3
2024-12-29,66.67
2024-12-30,66.25
2024-12-31,70.0
