date,price
2021-01-01,120.0
2021-01-02,110.47
2021-01-03,104.69
2021-01-04,101.31
2021-01-05,101.25
2021-01-06,121.37
2021-01-07,132.85
2021-01-08,125.25
2021-01-09,114.87
2021-01-10,121.94
2021-01-11,133.47
2021-01-12,145.0
2021-01-13,138.07
2021-01-14,129.94
2021-01-15,128.68
2021-01-16,126.49
2021-01-17,123.55
2021-01-18,129.99
2021-01-19,133.75
2021-01-20,130.94
2021-01-21,114.48
2021-01-22,120.7
2021-01-23,124.57
2021-01-24,117.17
2021-01-25,114.28
2021-01-26,113.75
2021-01-27,111.32
2021-01-28,100.82
2021-01-29,107.08
2021-01-30,120.04
2021-01-31,115.5
2021-02-01,110.54
2021-02-02,112.5
2021-02-03,112.07
2021-02-04,101.62
2021-02-05,103.98
2021-02-06,116.62
2021-02-07,116.99
2021-02-08,117.5
2021-02-09,116.88
2021-02-10,111.23
2021-02-11,100.47
2021-02-12,101.74
2021-02-13,109.25
2021-02-14,108.75
2021-02-15,107.26
2021-02-16,111.67
2021-02-17,101.93
2021-02-18,94.9
2021-02-19,97.42
2021-02-20,103.06
2021-02-21,108.71
2021-02-22,103.52
2021-02-23,103.12
2021-02-24,100.65
2021-02-25,94.44
2021-02-26,99.22
2021-02-27,111.21
2021-02-28,109.23
2021-03-01,102.81
2021-03-02,102.5
2021-03-03,102.85
2021-03-04,95.51
2021-03-05,103.56
2021-03-06,115.2
2021-03-07,111.96
2021-03-08,110.3
2021-03-09,111.25
2021-03-10,104.91
2021-03-11,98.48
2021-03-12,99.82
2021-03-13,112.51
2021-03-14,122.88
2021-03-15,103.49
2021-03-16,106.25
2021-03-17,99.51
2021-03-18,96.06
2021-03-19,100.11
2021-03-20,113.34
2021-03-21,109.57
2021-03-22,104.8
2021-03-23,105.0
2021-03-24,103.28
2021-03-25,103.38
2021-03-26,103.48
2021-03-27,116.56
2021-03-28,111.81
2021-03-29,100.88
2021-03-30,96.67
2021-03-31,101.9
2021-04-01,102.41
2021-04-02,118.54
2021-04-03,114.69
2021-04-04,107.12
2021-04-05,100.04
2021-04-06,96.67
2021-04-07,95.27
2021-04-08,93.3
2021-04-09,92.15
2021-04-10,104.31
2021-04-11,103.09
2021-04-12,99.29
2021-04-13,99.38
2021-04-14,92.82
2021-04-15,81.87
2021-04-16,93.58
2021-04-17,107.5
2021-04-18,103.33
2021-04-19,95.0
2021-04-20,93.75
2021-04-21,94.03
2021-04-22,87.38
2021-04-23,89.12
2021-04-24,106.19
2021-04-25,102.04
2021-04-26,91.5
2021-04-27,88.75
2021-04-28,93.15
2021-04-29,87.2
2021-04-30,89.41
2021-05-01,101.92
2021-05-02,98.92
2021-05-03,93.24
2021-05-04,91.25
2021-05-05,93.65
2021-05-06,88.51
2021-05-07,112.65
2021-05-08,108.33
2021-05-09,107.79
2021-05-10,98.15
2021-05-11,95.0
2021-05-12,97.36
2021-05-13,88.6
2021-05-14,101.82
2021-05-15,108.85
2021-05-16,107.95
2021-05-17,96.21
2021-05-18,97.5
2021-05-19,97.93
2021-05-20,90.17
2021-05-21,103.12
2021-05-22,111.76
2021-05-23,106.42
2021-05-24,98.15
2021-05-25,95.0
2021-05-26,97.1
2021-05-27,89.78
2021-05-28,98.86
2021-05-29,107.46
2021-05-30,108.77
2021-05-31,98.46
2021-06-01,97.5
2021-06-02,103.24
2021-06-03,102.75
2021-06-04,102.26
2021-06-05,105.09
2021-06-06,105.42
2021-06-07,105.76
2021-06-08,108.75
2021-06-09,102.54
2021-06-10,91.64
2021-06-11,96.05
2021-06-12,101.34
2021-06-13,103.35
2021-06-14,105.35
2021-06-15,106.25
2021-06-16,104.07
2021-06-17,105.15
2021-06-18,106.23
2021-06-19,108.79
2021-06-20,101.51
2021-06-21,99.4
2021-06-22,101.25
2021-06-23,99.85
2021-06-24,96.1
2021-06-25,102.41
2021-06-26,105.04
2021-06-27,109.88
2021-06-28,104.12
2021-06-29,98.75
2021-06-30,96.7
2021-07-01,99.35
2021-07-02,102.0
2021-07-03,99.34
2021-07-04,97.54
2021-07-05,101.07
2021-07-06,94.17
2021-07-07,92.59
2021-07-08,95.28
2021-07-09,97.08
2021-07-10,97.1
2021-07-11,97.12
2021-07-12,99.11
2021-07-13,91.25
2021-07-14,94.08
2021-07-15,91.22
2021-07-16,95.68
2021-07-17,96.83
2021-07-18,94.14
2021-07-19,98.17
2021-07-20,87.5
2021-07-21,90.83
2021-07-22,89.95
2021-07-23,92.96
2021-07-24,96.26
2021-07-25,97.15
2021-07-26,101.54
2021-07-27,98.75
2021-07-28,104.88
2021-07-29,108.73
2021-07-30,117.22
2021-07-31,130.9
2021-08-01,136.25
2021-08-02,131.0
2021-08-03,122.5
2021-08-04,139.0
2021-08-05,128.75
2021-08-06,133.75
2021-08-07,166.67
2021-08-08,125.0
2021-08-09,142.0
2021-08-10,122.5
2021-08-11,130.0
2021-08-12,121.25
2021-08-13,130.0
2021-08-14,130.0
2021-08-15,113.0
2021-08-16,110.5
2021-08-17,111.25
2021-08-18,101.25
2021-08-19,97.5
2021-08-20,98.12
2021-08-21,98.75
2021-08-22,95.0
2021-08-23,95.31
2021-08-24,95.62
2021-08-25,94.17
2021-08-26,82.5
2021-08-27,86.25
2021-08-28,87.12
2021-08-29,88.0
2021-08-30,81.0
2021-08-31,85.0
2021-09-01,90.83
2021-09-02,83.75
2021-09-03,81.25
2021-09-04,92.5
2021-09-05,90.0
2021-09-06,89.0
2021-09-07,86.88
2021-09-08,91.67
2021-09-09,85.0
2021-09-10,95.62
2021-09-11,113.75
2021-09-12,107.0
2021-09-13,111.0
2021-09-14,101.85
2021-09-15,104.17
2021-09-16,85.58
2021-09-17,95.7
2021-09-18,120.98
2021-09-19,112.69
2021-09-20,123.84
2021-09-21,119.63
2021-09-22,120.0
2021-09-23,119.33
2021-09-24,118.67
2021-09-25,123.72
2021-09-26,112.26
2021-09-27,121.51
2021-09-28,118.98
2021-09-29,121.67
2021-09-30,121.38
2021-10-01,121.09
2021-10-02,122.43
2021-10-03,122.23
2021-10-04,121.36
2021-10-05,120.5
2021-10-06,120.04
2021-10-07,114.58
2021-10-08,111.81
2021-10-09,116.95
2021-10-10,119.46
2021-10-11,119.82
2021-10-12,109.15
2021-10-13,109.76
2021-10-14,103.21
2021-10-15,101.15
2021-10-16,104.82
2021-10-17,109.15
2021-10-18,109.02
2021-10-19,99.6
2021-10-20,104.14
2021-10-21,98.78
2021-10-22,95.02
2021-10-23,95.33
2021-10-24,95.64
2021-10-25,97.21
2021-10-26,89.85
2021-10-27,96.0
2021-10-28,89.22
2021-10-29,114.34
2021-10-30,112.48
2021-10-31,110.9
2021-11-01,112.64
2021-11-02,109.58
2021-11-03,109.77
2021-11-04,107.72
2021-11-05,104.77
2021-11-06,102.74
2021-11-07,101.34
2021-11-08,100.36
2021-11-09,105.45
2021-11-10,106.34
2021-11-11,130.68
2021-11-12,140.22
2021-11-13,151.9
2021-11-14,162.03
2021-11-15,108.75
2021-11-16,108.72
2021-11-17,134.0
2021-11-18,125.44
2021-11-19,137.32
2021-11-20,148.96
2021-11-21,163.75
2021-11-22,118.63
2021-11-23,111.76
2021-11-24,138.0
2021-11-25,131.72
2021-11-26,145.53
2021-11-27,143.24
2021-11-28,134.77
2021-11-29,110.04
2021-11-30,108.48
2021-12-01,114.38
2021-12-02,123.96
2021-12-03,133.74
2021-12-04,142.09
2021-12-05,132.33
2021-12-06,110.33
2021-12-07,102.15
2021-12-08,128.0
2021-12-09,99.38
2021-12-10,131.81
2021-12-11,123.01
2021-12-12,117.56
2021-12-13,107.61
2021-12-14,109.21
2021-12-15,113.75
2021-12-16,100.32
2021-12-17,119.65
2021-12-18,112.21
2021-12-19,109.09
2021-12-20,100.04
2021-12-21,103.39
2021-12-22,107.0
2021-12-23,96.28
2021-12-24,122.5
2021-12-25,125.0
2021-12-26,98.5
2021-12-27,100.17
2021-12-28,98.19
2021-12-29,106.0
2021-12-30,103.33
2021-12-31,102.5
