date,price
2020-01-01,80.93
2020-01-02,103.47
2020-01-03,99.74
2020-01-04,93.1
2020-01-05,91.88
2020-01-06,87.78
2020-01-07,83.21
2020-01-08,79.0
2020-01-09,86.49
2020-01-10,88.88
2020-01-11,82.54
2020-01-12,81.67
2020-01-13,80.64
2020-01-14,73.6
2020-01-15,75.21
2020-01-16,81.28
2020-01-17,85.49
2020-01-18,78.11
2020-01-19,77.5
2020-01-20,79.07
2020-01-21,71.92
2020-01-22,75.59
2020-01-23,79.2
2020-01-24,79.53
2020-01-25,76.88
2020-01-26,80.0
2020-01-27,74.57
2020-01-28,69.56
2020-01-29,82.39
2020-01-30,79.39
2020-01-31,84.14
2020-02-01,80.84
2020-02-02,85.0
2020-02-03,81.07
2020-02-04,77.67
2020-02-05,93.56
2020-02-06,85.05
2020-02-07,88.13
2020-02-08,84.56
2020-02-09,95.0
2020-02-10,88.76
2020-02-11,88.87
2020-02-12,101.47
2020-02-13,78.07
2020-02-14,84.34
2020-02-15,86.16
2020-02-16,100.0
2020-02-17,92.51
2020-02-18,89.35
2020-02-19,98.74
2020-02-20,88.2
2020-02-21,88.84
2020-02-22,91.5
2020-02-23,105.62
2020-02-24,102.43
2020-02-25,104.71
2020-02-26,98.97
2020-02-27,77.39
2020-02-28,89.1
2020-02-29,88.57
2020-03-01,91.25
2020-03-02,96.28
2020-03-03,88.58
2020-03-04,95.57
2020-03-05,90.12
2020-03-06,99.64
2020-03-07,90.57
2020-03-08,95.62
2020-03-09,97.38
2020-03-10,96.57
2020-03-11,95.76
2020-03-12,95.63
2020-03-13,104.31
2020-03-14,92.34
2020-03-15,91.88
2020-03-16,104.11
2020-03-17,106.91
2020-03-18,109.7
2020-03-19,107.0
2020-03-20,115.19
2020-03-21,102.02
2020-03-22,93.75
2020-03-23,115.06
2020-03-24,92.22
2020-03-25,104.6
2020-03-26,114.39
2020-03-27,113.73
2020-03-28,108.22
2020-03-29,100.0
2020-03-30,111.55
2020-03-31,110.2
2020-04-01,115.14
2020-04-02,108.94
2020-04-03,111.62
2020-04-04,105.42
2020-04-05,106.14
2020-04-06,106.86
2020-04-07,108.14
2020-04-08,101.2
2020-04-09,111.35
2020-04-10,117.52
2020-04-11,102.46
2020-04-12,97.5
2020-04-13,114.8
2020-04-14,108.92
2020-04-15,99.36
2020-04-16,97.67
2020-04-17,100.0
2020-04-18,98.75
2020-04-19,98.75
2020-04-20,104.14
2020-04-21,105.52
2020-04-22,104.74
2020-04-23,103.96
2020-04-24,106.83
2020-04-25,105.88
2020-04-26,101.25
2020-04-27,100.95
2020-04-28,108.93
2020-04-29,100.89
2020-04-30,107.48
2020-05-01,106.62
2020-05-02,106.57
2020-05-03,103.75
2020-05-04,102.44
2020-05-05,112.93
2020-05-06,107.92
2020-05-07,118.12
2020-05-08,113.58
2020-05-09,109.51
2020-05-10,103.75
2020-05-11,105.38
2020-05-12,103.39
2020-05-13,108.17
2020-05-14,113.67
2020-05-15,110.26
2020-05-16,105.3
2020-05-17,99.38
2020-05-18,106.15
2020-05-19,102.41
2020-05-20,108.95
2020-05-21,111.57
2020-05-22,107.23
2020-05-23,104.2
2020-05-24,100.0
2020-05-25,99.04
2020-05-26,93.35
2020-05-27,98.33
2020-05-28,103.31
2020-05-29,99.18
2020-05-30,91.85
2020-05-31,92.5
2020-06-01,89.46
2020-06-02,82.34
2020-06-03,93.17
2020-06-04,96.26
2020-06-05,92.58
2020-06-06,91.24
2020-06-07,87.5
2020-06-08,82.72
2020-06-09,80.49
2020-06-10,90.5
2020-06-11,86.5
2020-06-12,92.95
2020-06-13,85.04
2020-06-14,78.75
2020-06-15,87.47
2020-06-16,82.37
2020-06-17,92.99
2020-06-18,89.15
2020-06-19,84.71
2020-06-20,79.2
2020-06-21,81.25
