date,price
2024-01-01,10.5
2024-01-02,10.0
2024-01-03,11.5
2024-01-04,11.0
2024-01-05,10.5
2024-01-06,11.5
2024-01-07,11.5
2024-01-08,11.5
2024-01-09,11.5
2024-01-10,11.5
2024-01-11,11.5
2024-01-12,10.5
2024-01-13,11.5
2024-01-14,11.5
2024-01-15,11.5
2024-01-16,9.75
2024-01-17,9.75
2024-01-18,9.75
2024-01-19,10.5
2024-01-20,10.33
2024-01-21,10.33
2024-01-22,10.5
2024-01-23,10.6
2024-01-24,10.2
2024-01-25,9.75
2024-01-26,10.5
2024-01-27,10.5
2024-01-28,10.5
2024-01-29,10.0
2024-01-30,10.5
2024-01-31,10.5
2024-02-01,10.0
2024-02-02,10.24
2024-02-03,10.25
2024-02-04,10.25
2024-02-05,10.25
2024-02-06,10.25
2024-02-07,10.2
2024-02-08,10.2
2024-02-09,10.24
2024-02-10,10.2
2024-02-11,10.5
2024-02-12,10.5
2024-02-13,10.86
2024-02-14,10.86
2024-02-15,10.86
2024-02-16,10.24
2024-02-17,10.25
2024-02-18,9.94
2024-02-19,9.94
2024-02-20,10.13
2024-02-21,10.22
2024-02-22,10.22
2024-02-23,10.24
2024-02-24,10.44
2024-02-25,10.5
2024-02-26,10.22
2024-02-27,10.22
2024-02-28,10.13
2024-02-29,8.0
2024-03-01,10.5
2024-03-02,10.14
2024-03-03,10.5
2024-03-04,10.5
2024-03-05,10.4
2024-03-06,9.79
2024-03-07,9.79
2024-03-08,10.5
2024-03-09,10.5
2024-03-10,10.5
2024-03-11,10.5
2024-03-12,10.5
2024-03-13,10.5
2024-03-14,10.58
2024-03-15,10.5
2024-03-16,10.43
2024-03-17,10.43
2024-03-18,10.43
2024-03-19,10.52
2024-03-20,10.6
2024-03-21,11.25
2024-03-22,10.5
2024-03-23,11.25
2024-03-24,11.25
2024-03-25,10.6
2024-03-26,10.6
2024-03-27,10.6
2024-03-28,10.0
2024-03-29,10.5
2024-03-30,10.6
2024-03-31,10.6
2024-04-01,10.6
2024-04-02,10.6
2024-04-03,10.6
2024-04-04,10.6
2024-04-05,10.6
2024-04-06,10.6
2024-04-07,10.6
2024-04-08,10.6
2024-04-09,10.6
2024-04-10,10.6
2024-04-11,10.0
2024-04-12,10.6
2024-04-13,10.6
2024-04-14,10.75
2024-04-15,10.75
2024-04-16,10.6
2024-04-17,10.6
2024-04-18,10.6
2024-04-19,10.6
2024-04-20,11.67
2024-04-21,10.6
2024-04-22,10.6
2024-04-23,10.6
2024-04-24,10.6
2024-04-25,10.6
2024-04-26,10.6
2024-04-27,10.67
2024-04-28,10.67
2024-04-29,10.67
2024-04-30,10.67
2024-05-01,10.67
2024-05-02,9.59
2024-05-03,9.5
2024-05-04,9.3
2024-05-05,10.0
2024-05-06,9.5
2024-05-07,9.25
2024-05-08,9.46
2024-05-09,9.5
2024-05-10,9.38
2024-05-11,9.25
2024-05-12,10.0
2024-05-13,9.95
2024-05-14,9.95
2024-05-15,9.7
2024-05-16,9.5
2024-05-17,8.5
2024-05-18,9.75
2024-05-19,10.0
2024-05-20,9.95
2024-05-21,9.95
2024-05-22,9.95
2024-05-23,9.75
2024-05-24,9.5
2024-05-25,9.5
2024-05-26,9.6
2024-05-27,9.7
2024-05-28,9.7
2024-05-29,9.5
2024-05-30,9.95
2024-05-31,9.5
2024-06-01,10.0
2024-06-02,10.0
2024-06-03,9.95
2024-06-04,9.75
2024-06-05,9.5
2024-06-06,9.75
2024-06-07,9.5
2024-06-08,10.0
2024-06-09,10.4
2024-06-10,9.95
2024-06-11,9.75
2024-06-12,9.95
2024-06-13,10.25
2024-06-14,9.0
2024-06-15,9.25
2024-06-16,11.0
2024-06-17,9.75
2024-06-18,9.25
2024-06-19,9.75
2024-06-20,10.67
2024-06-21,9.0
2024-06-22,9.84
2024-06-23,9.92
2024-06-24,10.0
2024-06-25,10.0
2024-06-26,10.0
2024-06-27,10.0
2024-06-28,9.0
2024-06-29,10.42
2024-06-30,10.0
2024-07-01,10.16
2024-07-02,9.91
2024-07-03,9.75
2024-07-04,10.25
2024-07-05,10.0
2024-07-06,10.5
2024-07-07,11.0
2024-07-08,10.0
2024-07-09,10.0
2024-07-10,9.75
2024-07-11,10.25
2024-07-12,10.0
2024-07-13,10.12
2024-07-14,10.0
2024-07-15,9.75
2024-07-16,9.5
2024-07-17,10.75
2024-07-18,11.0
2024-07-19,10.0
2024-07-20,9.5
2024-07-21,12.0
2024-07-22,10.75
2024-07-23,10.75
2024-07-24,10.75
2024-07-25,12.0
2024-07-26,9.75
2024-07-27,10.98
2024-07-28,12.0
2024-07-29,10.75
2024-07-30,11.25
2024-07-31,9.8
2024-08-01,10.75
2024-08-02,9.5
2024-08-03,10.75
2024-08-04,12.0
2024-08-05,10.75
2024-08-06,10.75
2024-08-07,10.75
2024-08-08,10.75
2024-08-09,9.5
2024-08-10,10.75
2024-08-11,12.0
2024-08-12,10.75
2024-08-13,10.75
2024-08-14,9.5
2024-08-15,10.75
2024-08-16,9.5
2024-08-17,9.5
2024-08-18,9.5
2024-08-19,9.5
2024-08-20,9.5
2024-08-21,8.5
2024-08-22,9.5
2024-08-23,9.5
2024-08-24,10.0
2024-08-25,9.5
2024-08-26,8.5
2024-08-27,10.75
2024-08-28,10.75
2024-08-29,9.5
2024-08-30,9.5
2024-08-31,10.75
2024-09-01,10.0
2024-09-02,9.5
2024-09-03,8.5
2024-09-04,10.5
2024-09-05,9.5
2024-09-06,9.5
2024-09-07,9.5
2024-09-08,10.0
2024-09-09,9.5
2024-09-10,9.5
2024-09-11,9.5
2024-09-12,10.0
2024-09-13,10.0
2024-09-14,10.0
2024-09-15,10.0
2024-09-16,10.0
2024-09-17,10.0
2024-09-18,10.0
2024-09-19,10.0
2024-09-20,10.0
2024-09-21,9.5
2024-09-22,10.0
2024-09-23,10.0
2024-09-24,10.0
2024-09-25,10.0
2024-09-26,10.0
2024-09-27,10.0
2024-09-28,10.0
2024-09-29,10.0
2024-09-30,10.0
2024-10-01,10.0
2024-10-02,9.0
2024-10-03,10.0
2024-10-04,10.0
2024-10-05,10.0
2024-10-06,10.5
2024-10-07,10.0
2024-10-08,9.0
2024-10-09,9.0
2024-10-10,10.5
2024-10-11,10.5
2024-10-12,9.5
2024-10-13,11.0
2024-10-14,10.25
2024-10-15,10.0
2024-10-16,10.25
2024-10-17,10.75
2024-10-18,9.0
2024-10-19,11.25
2024-10-20,11.0
2024-10-21,11.5
2024-10-22,12.0
2024-10-23,10.5
2024-10-24,11.0
2024-10-25,10.0
2024-10-26,12.0
2024-10-27,10.5
2024-10-28,10.5
2024-10-29,12.0
2024-10-30,10.5
2024-10-31,10.5
2024-11-01,10.5
2024-11-02,11.0
2024-11-03,10.5
2024-11-04,10.5
2024-11-05,10.5
2024-11-06,10.5
2024-11-07,10.5
2024-11-08,9.5
2024-11-09,9.5
2024-11-10,10.5
2024-11-11,10.5
2024-11-12,10.5
2024-11-13,9.5
2024-11-14,9.5
2024-11-15,11.5
2024-11-16,9.5
2024-11-17,10.5
2024-11-18,9.0
2024-11-19,9.0
2024-11-20,9.0
2024-11-21,9.0
2024-11-22,9.0
2024-11-23,9.0
2024-11-24,10.5
2024-11-25,11.0
2024-11-26,11.5
2024-11-27,11.5
2024-11-28,11.5
2024-11-29,11.25
2024-11-30,11.0
2024-12-01,11.5
2024-12-02,11.5
2024-12-03,11.5
2024-12-04,9.5
2024-12-05,9.5
2024-12-06,11.5
2024-12-07,11.5
2024-12-08,11.5
2024-12-09,11.5
2024-12-10,11.5
2024-12-11,10.0
2024-12-12,11.5
2024-12-13,11.5
2024-12-14,11.5
2024-12-15,11.5
2024-12-16,11.5
2024-12-17,11.5
2024-12-18,11.5
2024-12-19,9.5
2024-12-20,11.5
2024-12-21,9.5
2024-12-22,11.5
2024-12-23,11.5
2024-12-24,11.5
2024-12-25,11.5
2024-12-26,11.5
2024-12-27,11.0
2024-12-28,11.0
2024-12-29,11.5
2024-12-30,9.5
2024-12-31,11.5
