date,price
2024-01-01,9.2
2024-01-02,9.25
2024-01-03,9.25
2024-01-04,9.25
2024-01-05,9.2
2024-01-06,9.2
2024-01-07,9.2
2024-01-08,9.2
2024-01-09,9.2
2024-01-10,9.2
2024-01-11,9.2
2024-01-12,9.2
2024-01-13,9.25
2024-01-14,9.25
2024-01-15,9.16
2024-01-16,9.17
2024-01-17,9.2
2024-01-18,9.24
2024-01-19,9.2
2024-01-20,9.2
2024-01-21,9.23
2024-01-22,9.2
2024-01-23,9.18
2024-01-24,9.23
2024-01-25,9.26
2024-01-26,9.2
2024-01-27,9.15
2024-01-28,9.14
2024-01-29,9.16
2024-01-30,9.16
2024-01-31,9.16
2024-02-01,9.15
2024-02-02,9.12
2024-02-03,9.07
2024-02-04,9.11
2024-02-05,9.12
2024-02-06,9.12
2024-02-07,9.1
2024-02-08,9.24
2024-02-09,9.12
2024-02-10,9.11
2024-02-11,9.12
2024-02-12,9.18
2024-02-13,9.19
2024-02-14,9.15
2024-02-15,9.15
2024-02-16,9.12
2024-02-17,9.15
2024-02-18,9.12
2024-02-19,9.07
2024-02-20,9.05
2024-02-21,9.05
2024-02-22,9.0
2024-02-23,9.12
2024-02-24,9.13
2024-02-25,9.06
2024-02-26,9.14
2024-02-27,9.06
2024-02-28,9.03
2024-02-29,9.23
2024-03-01,9.2
2024-03-02,9.09
2024-03-03,9.11
2024-03-04,9.11
2024-03-05,9.13
2024-03-06,9.13
2024-03-07,9.2
2024-03-08,9.2
2024-03-09,9.18
2024-03-10,9.18
2024-03-11,9.18
2024-03-12,9.18
2024-03-13,9.19
2024-03-14,9.16
2024-03-15,9.2
2024-03-16,9.2
2024-03-17,9.2
2024-03-18,9.2
2024-03-19,9.21
2024-03-20,9.21
2024-03-21,9.17
2024-03-22,9.2
2024-03-23,9.2
2024-03-24,9.32
2024-03-25,9.32
2024-03-26,9.19
2024-03-27,9.22
2024-03-28,9.21
2024-03-29,9.2
2024-03-30,9.23
2024-03-31,9.26
2024-04-01,9.23
2024-04-02,9.23
2024-04-03,9.22
2024-04-04,9.23
2024-04-05,9.27
2024-04-06,9.25
2024-04-07,9.27
2024-04-08,9.26
2024-04-09,9.29
2024-04-10,9.28
2024-04-11,9.3
2024-04-12,9.27
2024-04-13,9.29
2024-04-14,9.26
2024-04-15,9.28
2024-04-16,9.27
2024-04-17,9.27
2024-04-18,9.27
2024-04-19,9.27
2024-04-20,9.23
2024-04-21,9.29
2024-04-22,9.28
2024-04-23,9.27
2024-04-24,9.27
2024-04-25,9.27
2024-04-26,9.27
2024-04-27,9.28
2024-04-28,9.22
2024-04-29,9.16
2024-04-30,9.37
2024-05-01,9.21
2024-05-02,8.86
2024-05-03,8.5
2024-05-04,8.91
2024-05-05,8.88
2024-05-06,8.86
2024-05-07,8.91
2024-05-08,8.86
2024-05-09,8.86
2024-05-10,8.5
2024-05-11,8.95
2024-05-12,9.2
2024-05-13,8.84
2024-05-14,8.86
2024-05-15,8.84
2024-05-16,8.84
2024-05-17,8.5
2024-05-18,9.16
2024-05-19,9.21
2024-05-20,8.88
2024-05-21,8.82
2024-05-22,8.86
2024-05-23,8.76
2024-05-24,8.75
2024-05-25,8.84
2024-05-26,8.84
2024-05-27,8.84
2024-05-28,8.88
2024-05-29,8.86
2024-05-30,8.85
2024-05-31,8.5
2024-06-01,9.05
2024-06-02,9.24
2024-06-03,8.86
2024-06-04,8.86
2024-06-05,8.86
2024-06-06,8.83
2024-06-07,8.5
2024-06-08,8.87
2024-06-09,9.21
2024-06-10,8.98
2024-06-11,8.97
2024-06-12,8.96
2024-06-13,8.96
2024-06-14,8.75
2024-06-15,8.86
2024-06-16,9.15
2024-06-17,8.8
2024-06-18,8.96
2024-06-19,8.93
2024-06-20,9.08
2024-06-21,8.75
2024-06-22,8.96
2024-06-23,8.9
2024-06-24,8.83
2024-06-25,8.91
2024-06-26,8.9
2024-06-27,8.91
2024-06-28,8.75
2024-06-29,8.82
2024-06-30,8.81
2024-07-01,8.8
2024-07-02,8.8
2024-07-03,8.82
2024-07-04,8.8
2024-07-05,8.5
2024-07-06,9.04
2024-07-07,9.18
2024-07-08,8.98
2024-07-09,9.1
2024-07-10,9.1
2024-07-11,9.34
2024-07-12,9.5
2024-07-13,9.35
2024-07-14,9.25
2024-07-15,9.38
2024-07-16,9.4
2024-07-17,9.37
2024-07-18,9.26
2024-07-19,9.25
2024-07-20,9.12
2024-07-21,9.25
2024-07-22,9.38
2024-07-23,9.38
2024-07-24,9.03
2024-07-25,9.17
2024-07-26,9.5
2024-07-27,9.18
2024-07-28,9.27
2024-07-29,9.13
2024-07-30,9.4
2024-07-31,9.25
2024-08-01,9.5
2024-08-02,9.0
2024-08-03,9.06
2024-08-04,9.12
2024-08-05,9.06
2024-08-06,9.06
2024-08-07,9.06
2024-08-08,9.06
2024-08-09,9.0
2024-08-10,9.06
2024-08-11,9.12
2024-08-12,9.06
2024-08-13,9.06
2024-08-14,9.08
2024-08-15,9.12
2024-08-16,9.1
2024-08-17,9.08
2024-08-18,9.16
2024-08-19,9.16
2024-08-20,9.08
2024-08-21,9.12
2024-08-22,9.12
2024-08-23,9.0
2024-08-24,9.38
2024-08-25,9.25
2024-08-26,9.5
2024-08-27,9.2
2024-08-28,9.38
2024-08-29,9.12
2024-08-30,9.0
2024-08-31,9.38
2024-09-01,9.75
2024-09-02,9.44
2024-09-03,9.72
2024-09-04,9.12
2024-09-05,9.12
2024-09-06,9.0
2024-09-07,9.18
2024-09-08,9.28
2024-09-09,9.38
2024-09-10,9.38
2024-09-11,9.24
2024-09-12,9.24
2024-09-13,9.12
2024-09-14,9.3
2024-09-15,9.35
2024-09-16,9.3
2024-09-17,9.25
2024-09-18,9.25
2024-09-19,9.25
2024-09-20,9.25
2024-09-21,9.21
2024-09-22,9.25
2024-09-23,9.25
2024-09-24,9.25
2024-09-25,9.25
2024-09-26,9.25
2024-09-27,9.25
2024-09-28,9.25
2024-09-29,9.38
2024-09-30,9.3
2024-10-01,9.3
2024-10-02,9.3
2024-10-03,9.3
2024-10-04,9.25
2024-10-05,9.33
2024-10-06,9.38
2024-10-07,9.32
2024-10-08,9.32
2024-10-09,9.32
2024-10-10,9.32
2024-10-11,9.25
2024-10-12,9.32
2024-10-13,9.31
2024-10-14,9.31
2024-10-15,9.32
2024-10-16,9.31
2024-10-17,9.3
2024-10-18,9.25
2024-10-19,9.3
2024-10-20,9.35
2024-10-21,9.3
2024-10-22,9.25
2024-10-23,9.25
2024-10-24,9.25
2024-10-25,9.5
2024-10-26,9.25
2024-10-27,9.25
2024-10-28,9.25
2024-10-29,9.25
2024-10-30,9.25
2024-10-31,9.25
2024-11-01,9.25
2024-11-02,9.25
2024-11-03,9.25
2024-11-04,9.25
2024-11-05,9.25
2024-11-06,9.25
2024-11-07,9.25
2024-11-08,9.25
2024-11-09,9.25
2024-11-10,9.25
2024-11-11,9.25
2024-11-12,9.25
2024-11-13,9.25
2024-11-14,9.25
2024-11-15,9.25
2024-11-16,9.25
2024-11-17,9.25
2024-11-18,9.25
2024-11-19,9.25
2024-11-20,9.25
2024-11-21,9.25
2024-11-22,9.25
2024-11-23,9.25
2024-11-24,9.25
2024-11-25,9.25
2024-11-26,9.25
2024-11-27,9.25
2024-11-28,9.25
2024-11-29,9.25
2024-11-30,9.25
2024-12-01,9.25
2024-12-02,9.25
2024-12-03,9.25
2024-12-04,9.25
2024-12-05,9.0
2024-12-06,9.25
2024-12-07,9.0
2024-12-08,9.25
2024-12-09,9.0
2024-12-10,9.0
2024-12-11,9.25
2024-12-12,9.25
2024-12-13,9.16
2024-12-14,9.16
2024-12-15,9.25
2024-12-16,9.16
2024-12-17,9.16
2024-12-18,9.16
2024-12-19,9.16
2024-12-20,9.16
2024-12-21,9.25
2024-12-22,9.25
2024-12-23,9.25
2024-12-24,9.25
2024-12-25,9.25
2024-12-26,9.25
2024-12-27,9.25
2024-12-28,9.25
2024-12-29,9.25
2024-12-30,9.25
