date,price
2023-01-01,6.66
2023-01-02,7.72
2023-01-03,7.76
2023-01-04,7.04
2023-01-05,7.19
2023-01-06,7.13
2023-01-07,6.64
2023-01-08,7.39
2023-01-09,7.21
2023-01-10,7.37
2023-01-11,6.92
2023-01-12,7.53
2023-01-13,7.06
2023-01-14,7.21
2023-01-15,7.35
2023-01-16,7.24
2023-01-17,7.39
2023-01-18,6.92
2023-01-19,7.1
2023-01-20,7.17
2023-01-21,7.2
2023-01-22,7.23
2023-01-23,7.17
2023-01-24,7.36
2023-01-25,6.94
2023-01-26,7.22
2023-01-27,7.14
2023-01-28,7.17
2023-01-29,7.2
2023-01-30,7.23
2023-01-31,7.42
2023-02-01,6.95
2023-02-02,7.16
2023-02-03,7.12
2023-02-04,7.16
2023-02-05,7.2
2023-02-06,7.23
2023-02-07,7.32
2023-02-08,6.91
2023-02-09,7.12
2023-02-10,7.12
2023-02-11,7.09
2023-02-12,7.06
2023-02-13,7.15
2023-02-14,7.26
2023-02-15,6.88
2023-02-16,7.42
2023-02-17,7.12
2023-02-18,7.1
2023-02-19,7.07
2023-02-20,7.28
2023-02-21,7.26
2023-02-22,6.89
2023-02-23,7.06
2023-02-24,7.13
2023-02-25,7.12
2023-02-26,7.1
2023-02-27,7.18
2023-02-28,7.29
2023-03-01,6.9
2023-03-02,7.06
2023-03-03,7.13
2023-03-04,7.12
2023-03-05,7.1
2023-03-06,7.16
2023-03-07,7.28
2023-03-08,6.9
2023-03-09,7.06
2023-03-10,7.13
2023-03-11,7.13
2023-03-12,7.12
2023-03-13,7.06
2023-03-14,7.32
2023-03-15,6.82
2023-03-16,6.93
2023-03-17,7.06
2023-03-18,7.06
2023-03-19,7.07
2023-03-20,7.05
2023-03-21,7.17
2023-03-22,6.79
2023-03-23,6.96
2023-03-24,8.46
2023-03-25,6.5
2023-03-26,7.14
2023-03-27,7.05
2023-03-28,7.19
2023-03-29,6.74
2023-03-30,6.78
2023-03-31,6.99
2023-04-01,6.52
2023-04-02,7.33
2023-04-03,7.0
2023-04-04,7.11
2023-04-05,6.77
2023-04-06,6.8
2023-04-07,6.83
2023-04-08,6.68
2023-04-09,6.71
2023-04-10,6.74
2023-04-11,6.74
2023-04-12,6.74
2023-04-13,6.72
2023-04-14,7.17
2023-04-15,6.65
2023-04-16,7.25
2023-04-17,6.54
2023-04-18,6.79
2023-04-19,6.72
2023-04-20,6.72
2023-04-21,7.0
2023-04-22,6.5
2023-04-23,7.29
2023-04-24,6.91
2023-04-25,7.06
2023-04-26,6.68
2023-04-27,6.69
2023-04-28,7.08
2023-04-29,6.49
2023-04-30,7.2
2023-05-01,7.01
2023-05-02,7.08
2023-05-03,6.7
2023-05-04,6.69
2023-05-05,6.97
2023-05-06,6.47
2023-05-07,7.51
2023-05-08,6.92
2023-05-09,7.42
2023-05-10,6.69
2023-05-11,6.65
2023-05-12,6.86
2023-05-13,6.83
2023-05-14,7.17
2023-05-15,6.9
2023-05-16,7.06
2023-05-17,6.71
2023-05-18,6.56
2023-05-19,6.99
2023-05-20,6.46
2023-05-21,7.19
2023-05-22,6.9
2023-05-23,7.01
2023-05-24,6.65
2023-05-25,6.62
2023-05-26,6.91
2023-05-27,6.47
2023-05-28,7.12
2023-05-29,6.88
2023-05-30,7.06
2023-05-31,6.67
2023-06-01,6.62
2023-06-02,6.89
2023-06-03,6.62
2023-06-04,6.94
2023-06-05,6.97
2023-06-06,6.99
2023-06-07,6.72
2023-06-08,6.7
2023-06-09,6.81
2023-06-10,6.48
2023-06-11,7.01
2023-06-12,6.8
2023-06-13,7.02
2023-06-14,6.66
2023-06-15,6.68
2023-06-16,6.92
2023-06-17,6.47
2023-06-18,7.04
2023-06-19,6.85
2023-06-20,7.09
2023-06-21,6.72
2023-06-22,6.88
2023-06-23,7.0
2023-06-24,6.58
2023-06-25,7.06
2023-06-26,6.93
2023-06-27,7.25
2023-06-28,6.73
2023-06-29,6.88
2023-06-30,7.0
2023-07-01,6.59
2023-07-02,7.0
2023-07-03,6.86
2023-07-04,7.06
2023-07-05,6.69
2023-07-06,6.67
2023-07-07,6.96
2023-07-08,7.02
2023-07-09,7.08
2023-07-10,6.92
2023-07-11,6.87
2023-07-12,6.86
2023-07-13,6.62
2023-07-14,7.03
2023-07-15,6.9
2023-07-16,6.91
2023-07-17,6.93
2023-07-18,6.97
2023-07-19,6.94
2023-07-20,6.73
2023-07-21,7.16
2023-07-22,7.02
2023-07-23,7.14
2023-07-24,7.06
2023-07-25,7.04
2023-07-26,7.07
2023-07-27,6.84
2023-07-28,7.18
2023-07-29,7.02
2023-07-30,7.19
2023-07-31,7.11
2023-08-01,7.23
2023-08-02,7.09
2023-08-03,6.89
2023-08-04,7.23
2023-08-05,6.91
2023-08-06,7.1
2023-08-07,7.3
2023-08-08,7.14
2023-08-09,7.16
2023-08-10,7.2
2023-08-11,7.23
2023-08-12,7.18
2023-08-13,7.12
2023-08-14,7.21
2023-08-15,7.18
2023-08-16,7.14
2023-08-17,7.1
2023-08-18,7.27
2023-08-19,7.26
2023-08-20,7.25
2023-08-21,7.26
2023-08-22,7.23
2023-08-23,7.15
2023-08-24,6.97
2023-08-25,7.22
2023-08-26,7.23
2023-08-27,7.25
2023-08-28,7.27
2023-08-29,7.27
2023-08-30,7.16
2023-08-31,7.04
2023-09-01,7.23
2023-09-02,7.06
2023-09-03,7.38
2023-09-04,7.45
2023-09-05,7.29
2023-09-06,7.27
2023-09-07,7.29
2023-09-08,7.31
2023-09-09,6.96
2023-09-10,7.37
2023-09-11,7.36
2023-09-12,7.34
2023-09-13,7.33
2023-09-14,7.33
2023-09-15,7.32
2023-09-16,7.27
2023-09-17,7.22
2023-09-18,7.65
2023-09-19,7.37
2023-09-20,7.48
2023-09-21,7.2
2023-09-22,7.37
2023-09-23,7.3
2023-09-24,7.24
2023-09-25,7.47
2023-09-26,7.34
2023-09-27,7.36
2023-09-28,7.16
2023-09-29,7.33
2023-09-30,7.28
2023-10-01,7.23
2023-10-02,7.44
2023-10-03,7.36
2023-10-04,7.36
2023-10-05,7.17
2023-10-06,7.39
2023-10-07,7.33
2023-10-08,7.27
2023-10-09,7.47
2023-10-10,7.41
2023-10-11,7.42
2023-10-12,7.19
2023-10-13,7.4
2023-10-14,6.93
2023-10-15,7.16
2023-10-16,7.51
2023-10-17,7.44
2023-10-18,7.42
2023-10-19,7.24
2023-10-20,7.43
2023-10-21,6.98
2023-10-22,7.2
2023-10-23,7.24
2023-10-24,7.2
2023-10-25,7.16
2023-10-26,7.21
2023-10-27,7.16
2023-10-28,6.58
2023-10-29,6.93
2023-10-30,8.34
2023-10-31,8.31
2023-11-01,8.33
2023-11-02,8.36
2023-11-03,8.34
2023-11-04,8.34
