date,price
2024-01-01,6.9
2024-01-02,6.8
2024-01-03,7.25
2024-01-04,7.25
2024-01-05,6.9
2024-01-06,7.0
2024-01-07,7.0
2024-01-08,6.83
2024-01-09,7.0
2024-01-10,6.83
2024-01-11,6.83
2024-01-12,6.9
2024-01-13,6.75
2024-01-14,6.83
2024-01-15,7.0
2024-01-16,6.51
2024-01-17,6.69
2024-01-18,6.43
2024-01-19,6.9
2024-01-20,7.0
2024-01-21,6.97
2024-01-22,6.96
2024-01-23,6.96
2024-01-24,7.07
2024-01-25,6.96
2024-01-26,6.9
2024-01-27,6.9
2024-01-28,6.9
2024-01-29,6.79
2024-01-30,6.89
2024-01-31,6.74
2024-02-01,6.75
2024-02-02,6.76
2024-02-03,6.82
2024-02-04,6.83
2024-02-05,6.83
2024-02-06,6.76
2024-02-07,6.76
2024-02-08,6.76
2024-02-09,6.76
2024-02-10,6.77
2024-02-11,6.6
2024-02-12,6.68
2024-02-13,6.73
2024-02-14,6.66
2024-02-15,6.67
2024-02-16,6.76
2024-02-17,6.72
2024-02-18,6.64
2024-02-19,6.72
2024-02-20,6.77
2024-02-21,6.76
2024-02-22,6.74
2024-02-23,6.76
2024-02-24,6.83
2024-02-25,6.79
2024-02-26,6.71
2024-02-27,6.82
2024-02-28,6.82
2024-02-29,6.8
2024-03-01,6.79
2024-03-02,6.84
2024-03-03,6.76
2024-03-04,6.76
2024-03-05,6.8
2024-03-06,6.8
2024-03-07,6.83
2024-03-08,6.79
2024-03-09,6.75
2024-03-10,6.75
2024-03-11,6.8
2024-03-12,6.77
2024-03-13,6.77
2024-03-14,6.78
2024-03-15,6.79
2024-03-16,6.79
2024-03-17,6.82
2024-03-18,6.77
2024-03-19,6.79
2024-03-20,6.82
2024-03-21,6.82
2024-03-22,6.79
2024-03-23,6.79
2024-03-24,6.82
2024-03-25,6.82
2024-03-26,6.71
2024-03-27,6.71
2024-03-28,6.75
2024-03-29,6.79
2024-03-30,6.71
2024-03-31,6.75
2024-04-01,6.75
2024-04-02,6.76
2024-04-03,6.77
2024-04-04,6.79
2024-04-05,6.78
2024-04-06,6.78
2024-04-07,6.78
2024-04-08,6.79
2024-04-09,6.75
2024-04-10,6.75
2024-04-11,6.75
2024-04-12,6.75
2024-04-13,6.75
2024-04-14,6.58
