date,price
2024-01-01,7.48
2024-01-02,7.8
2024-01-03,7.88
2024-01-04,8.0
2024-01-05,7.48
2024-01-06,7.75
2024-01-07,7.75
2024-01-08,7.75
2024-01-09,7.75
2024-01-10,7.75
2024-01-11,7.5
2024-01-12,7.48
2024-01-13,7.5
2024-01-14,7.62
2024-01-15,7.25
2024-01-16,7.37
2024-01-17,7.43
2024-01-18,7.29
2024-01-19,7.48
2024-01-20,7.48
2024-01-21,7.48
2024-01-22,7.46
2024-01-23,7.45
2024-01-24,7.47
2024-01-25,7.42
2024-01-26,7.48
2024-01-27,7.41
2024-01-28,7.41
2024-01-29,7.4
2024-01-30,7.4
2024-01-31,7.37
2024-02-01,7.35
2024-02-02,7.32
2024-02-03,7.33
2024-02-04,7.34
2024-02-05,7.33
2024-02-06,7.31
2024-02-07,7.31
2024-02-08,7.28
2024-02-09,7.32
2024-02-10,7.35
2024-02-11,7.31
2024-02-12,7.34
2024-02-13,7.31
2024-02-14,7.28
2024-02-15,7.28
2024-02-16,7.32
2024-02-17,7.35
2024-02-18,7.35
2024-02-19,7.31
2024-02-20,7.3
2024-02-21,7.29
2024-02-22,7.3
2024-02-23,7.32
2024-02-24,7.36
2024-02-25,7.32
2024-02-26,7.38
2024-02-27,7.38
2024-02-28,7.39
2024-02-29,7.33
2024-03-01,7.46
2024-03-02,7.38
2024-03-03,7.39
2024-03-04,7.41
2024-03-05,7.38
2024-03-06,7.38
2024-03-07,7.41
2024-03-08,7.41
2024-03-09,7.41
2024-03-10,7.44
2024-03-11,7.48
2024-03-12,7.41
2024-03-13,7.45
2024-03-14,7.4
2024-03-15,7.46
2024-03-16,7.46
2024-03-17,7.51
2024-03-18,7.46
2024-03-19,7.47
2024-03-20,7.47
2024-03-21,7.46
2024-03-22,7.46
2024-03-23,7.47
2024-03-24,7.52
2024-03-25,7.54
2024-03-26,7.44
2024-03-27,7.47
2024-03-28,7.51
2024-03-29,7.46
2024-03-30,7.48
2024-03-31,7.47
2024-04-01,7.51
2024-04-02,7.54
2024-04-03,7.53
2024-04-04,7.5
2024-04-05,7.52
2024-04-06,7.53
2024-04-07,7.54
2024-04-08,7.54
2024-04-09,7.54
2024-04-10,7.54
2024-04-11,7.57
2024-04-12,7.52
2024-04-13,7.53
2024-04-14,7.49
2024-04-15,7.51
2024-04-16,7.52
2024-04-17,7.52
2024-04-18,7.52
2024-04-19,7.52
2024-04-20,7.5
2024-04-21,7.52
2024-04-22,7.51
2024-04-23,7.5
2024-04-24,7.51
2024-04-25,7.52
2024-04-26,7.52
2024-04-27,7.52
2024-04-28,7.51
2024-04-29,7.46
2024-04-30,7.46
2024-05-01,7.4
2024-05-02,6.58
2024-05-03,6.64
2024-05-04,6.7
2024-05-05,6.67
2024-05-06,6.64
2024-05-07,6.4
2024-05-08,6.38
2024-05-09,6.41
2024-05-10,6.0
2024-05-11,6.64
2024-05-12,6.64
2024-05-13,6.64
2024-05-14,6.64
2024-05-15,6.64
2024-05-16,6.5
2024-05-17,5.75
2024-05-18,6.84
2024-05-19,6.81
2024-05-20,6.78
2024-05-21,6.75
2024-05-22,6.76
2024-05-23,6.78
2024-05-24,6.77
2024-05-25,6.76
2024-05-26,6.75
2024-05-27,6.74
2024-05-28,6.76
2024-05-29,6.74
2024-05-30,6.49
2024-05-31,6.25
2024-06-01,6.9
2024-06-02,7.23
2024-06-03,6.48
2024-06-04,6.74
2024-06-05,6.72
2024-06-06,6.68
2024-06-07,5.75
2024-06-08,6.86
2024-06-09,7.24
2024-06-10,6.71
2024-06-11,6.69
2024-06-12,6.6
2024-06-13,6.6
2024-06-14,6.66
2024-06-15,6.7
2024-06-16,6.71
2024-06-17,6.72
2024-06-18,6.72
2024-06-19,6.71
2024-06-20,7.17
2024-06-21,6.42
2024-06-22,6.81
2024-06-23,6.78
2024-06-24,6.75
2024-06-25,6.76
2024-06-26,6.76
2024-06-27,6.76
2024-06-28,6.76
2024-06-29,6.76
2024-06-30,7.28
2024-07-01,6.9
2024-07-02,6.78
2024-07-03,6.78
2024-07-04,6.75
2024-07-05,6.25
2024-07-06,6.8
2024-07-07,6.81
2024-07-08,6.82
2024-07-09,6.82
2024-07-10,7.08
2024-07-11,7.1
2024-07-12,6.9
2024-07-13,6.97
2024-07-14,7.47
2024-07-15,7.12
2024-07-16,7.12
2024-07-17,7.12
2024-07-18,7.1
2024-07-19,7.17
2024-07-20,7.24
2024-07-21,7.19
2024-07-22,7.13
2024-07-23,7.13
2024-07-24,7.24
2024-07-25,7.39
2024-07-26,7.27
2024-07-27,7.15
2024-07-28,7.56
2024-07-29,7.29
2024-07-30,7.3
2024-07-31,7.08
2024-08-01,7.0
2024-08-02,6.75
2024-08-03,7.12
2024-08-04,7.5
2024-08-05,7.25
2024-08-06,7.25
2024-08-07,7.25
2024-08-08,7.38
2024-08-09,7.0
2024-08-10,7.5
2024-08-11,7.5
2024-08-12,7.38
2024-08-13,7.38
2024-08-14,7.38
2024-08-15,7.5
2024-08-16,7.25
2024-08-17,7.5
2024-08-18,7.5
2024-08-19,7.5
2024-08-20,7.56
2024-08-21,7.5
2024-08-22,7.5
2024-08-23,7.25
2024-08-24,7.5
2024-08-25,7.75
2024-08-26,7.7
2024-08-27,7.7
2024-08-28,7.75
2024-08-29,7.7
2024-08-30,7.65
2024-08-31,7.76
2024-09-01,7.88
2024-09-02,7.81
2024-09-03,7.81
2024-09-04,7.72
2024-09-05,7.75
2024-09-06,7.7
2024-09-07,7.81
2024-09-08,7.88
2024-09-09,7.81
2024-09-10,7.81
2024-09-11,7.81
2024-09-12,7.75
2024-09-13,7.75
2024-09-14,7.75
2024-09-15,7.75
2024-09-16,7.75
2024-09-17,7.62
2024-09-18,7.75
2024-09-19,7.75
2024-09-20,7.75
2024-09-21,7.75
2024-09-22,7.95
2024-09-23,7.75
2024-09-24,7.75
2024-09-25,7.75
2024-09-26,7.75
