date,price
2025-01-01,7.38
2025-01-02,7.38
2025-01-03,7.38
2025-01-04,8.0
2025-01-05,7.5
2025-01-06,7.0
2025-01-07,7.25
2025-01-08,7.25
2025-01-09,7.25
2025-01-10,7.25
2025-01-11,7.25
2025-01-12,7.25
2025-01-13,7.25
2025-01-14,7.25
2025-01-15,7.0
2025-01-16,6.81
2025-01-17,6.8
2025-01-18,6.72
2025-01-19,6.92
2025-01-20,7.11
2025-01-21,6.99
2025-01-22,7.03
2025-01-23,7.05
2025-01-24,7.05
2025-01-25,7.01
2025-01-26,7.0
2025-01-27,6.99
2025-01-28,6.96
2025-01-29,6.78
2025-01-30,6.78
2025-01-31,6.78
2025-02-01,6.81
2025-02-02,6.76
2025-02-03,6.71
2025-02-04,6.84
2025-02-05,6.79
2025-02-06,6.8
2025-02-07,6.81
2025-02-08,6.74
2025-02-09,7.64
2025-02-10,8.53
2025-02-11,6.74
2025-02-12,6.75
2025-02-13,6.74
2025-02-14,6.75
2025-02-15,6.75
2025-02-16,6.74
2025-02-17,6.76
2025-02-18,6.83
2025-02-19,6.72
2025-02-20,6.72
2025-02-21,6.72
2025-02-22,6.73
2025-02-23,6.76
2025-02-24,6.79
2025-02-25,6.76
2025-02-26,6.74
2025-02-27,6.78
2025-02-28,6.8
2025-03-01,6.83
2025-03-02,6.84
2025-03-03,6.84
2025-03-04,6.87
2025-03-05,6.88
2025-03-06,6.8
2025-03-07,6.78
2025-03-08,6.79
2025-03-09,6.85
2025-03-10,6.91
2025-03-11,6.91
2025-03-12,6.9
2025-03-13,6.91
2025-03-14,6.91
2025-03-15,6.91
2025-03-16,6.95
2025-03-17,6.99
2025-03-18,7.01
2025-03-19,7.01
2025-03-20,7.01
2025-03-21,7.0
2025-03-22,6.98
2025-03-23,6.99
2025-03-24,7.0
2025-03-25,7.0
2025-03-26,7.0
2025-03-27,7.06
2025-03-28,7.04
2025-03-29,7.03
2025-03-30,7.05
2025-03-31,7.07
2025-04-01,7.06
2025-04-02,7.02
2025-04-03,7.09
2025-04-04,7.07
2025-04-05,7.09
2025-04-06,7.09
2025-04-07,7.09
2025-04-08,7.11
2025-04-09,7.11
2025-04-10,7.12
2025-04-11,7.12
2025-04-12,7.22
2025-04-13,7.15
2025-04-14,7.08
2025-04-15,7.08
2025-04-16,7.08
2025-04-17,7.08
2025-04-18,7.08
2025-04-19,7.08
2025-04-20,7.08
2025-04-21,7.08
2025-04-22,7.09
2025-04-23,7.11
2025-04-24,7.09
2025-04-25,7.08
2025-04-26,7.08
2025-04-27,7.06
2025-04-28,7.04
2025-04-29,6.95
2025-04-30,6.83
2025-05-01,6.87
2025-05-02,6.88
2025-05-03,6.93
2025-05-04,6.93
2025-05-05,6.93
2025-05-06,6.89
2025-05-07,6.67
2025-05-08,6.49
2025-05-09,6.49
2025-05-10,6.57
2025-05-11,6.57
2025-05-12,6.57
2025-05-13,6.54
2025-05-14,6.61
2025-05-15,6.6
2025-05-16,6.62
2025-05-17,6.47
2025-05-18,6.54
2025-05-19,6.62
2025-05-20,6.63
2025-05-21,6.63
2025-05-22,6.62
2025-05-23,6.67
2025-05-24,6.82
2025-05-25,6.73
2025-05-26,6.64
2025-05-27,6.67
2025-05-28,6.64
2025-05-29,6.64
2025-05-30,6.61
2025-05-31,6.64
2025-06-01,6.65
2025-06-02,6.66
2025-06-03,6.66
2025-06-04,6.7
2025-06-05,6.68
2025-06-06,6.71
2025-06-07,6.63
2025-06-08,6.64
2025-06-09,6.66
2025-06-10,6.67
2025-06-11,6.64
2025-06-12,6.49
2025-06-13,6.54
2025-06-14,6.54
2025-06-15,6.49
2025-06-16,6.44
2025-06-17,6.49
2025-06-18,6.48
2025-06-19,6.43
2025-06-20,6.44
2025-06-21,6.46
2025-06-22,6.54
2025-06-23,6.63
2025-06-24,6.71
2025-06-25,6.73
2025-06-26,6.75
2025-06-27,6.75
2025-06-28,6.78
2025-06-29,6.78
2025-06-30,6.78
2025-07-01,6.82
2025-07-02,6.8
2025-07-03,6.8
2025-07-04,6.84
2025-07-05,6.82
2025-07-06,6.87
2025-07-07,6.92
2025-07-08,6.93
2025-07-09,6.96
2025-07-10,6.94
2025-07-11,6.91
2025-07-12,6.9
2025-07-13,6.94
2025-07-14,6.97
2025-07-15,7.0
2025-07-16,6.99
2025-07-17,7.01
2025-07-18,6.95
2025-07-19,6.94
2025-07-20,6.97
2025-07-21,6.99
2025-07-22,7.29
2025-07-23,7.13
2025-07-24,7.1
2025-07-25,7.05
2025-07-26,7.17
2025-07-27,7.13
2025-07-28,7.12
2025-07-29,7.12
2025-07-30,7.12
2025-07-31,7.12
2025-08-01,7.18
2025-08-02,7.25
2025-08-03,7.0
2025-08-04,6.75
2025-08-05,7.25
2025-08-06,7.25
2025-08-07,7.25
2025-08-08,7.25
2025-08-09,6.75
2025-08-10,7.06
2025-08-11,7.38
2025-08-12,7.08
2025-08-13,7.38
2025-08-14,7.08
2025-08-15,6.58
2025-08-16,6.58
2025-08-17,6.58
2025-08-18,6.58
2025-08-19,6.58
2025-08-20,6.58
2025-08-21,6.58
2025-08-22,6.58
2025-08-23,7.08
2025-08-24,7.08
2025-08-25,7.08
2025-08-26,7.08
2025-08-27,6.58
2025-08-28,6.88
2025-08-29,6.88
2025-08-30,6.88
2025-08-31,6.88
2025-09-01,6.88
2025-09-02,6.88
2025-09-03,6.88
2025-09-04,6.88
2025-09-05,6.58
2025-09-06,6.58
2025-09-07,7.04
2025-09-08,7.5
2025-09-09,7.38
2025-09-10,7.38
2025-09-11,7.38
2025-09-12,7.92
2025-09-13,7.16
2025-09-14,7.16
2025-09-15,7.16
2025-09-16,7.16
2025-09-17,7.16
2025-09-18,7.16
2025-09-19,7.16
2025-09-20,7.16
2025-09-21,7.29
2025-09-22,7.42
2025-09-23,7.42
2025-09-24,7.16
2025-09-25,7.16
2025-09-26,7.42
2025-09-27,7.42
2025-09-28,7.42
2025-09-29,7.42
2025-09-30,7.42
2025-10-01,7.28
2025-10-02,7.25
2025-10-03,7.25
2025-10-04,7.25
2025-10-05,7.32
2025-10-06,7.39
2025-10-07,7.44
2025-10-08,7.44
2025-10-09,7.4
2025-10-10,7.38
2025-10-11,7.41
2025-10-12,7.42
2025-10-13,7.42
2025-10-14,7.42
2025-10-15,7.42
2025-10-16,7.44
2025-10-17,7.48
2025-10-18,7.4
2025-10-19,7.43
2025-10-20,7.45
2025-10-21,7.45
2025-10-22,7.45
