date,price
2024-01-01,249.7
2024-01-02,245.0
2024-01-03,255.0
2024-01-04,245.0
2024-01-05,249.7
2024-01-06,255.0
2024-01-07,255.0
2024-01-08,255.0
2024-01-09,240.0
2024-01-10,240.0
2024-01-11,255.0
2024-01-12,249.7
2024-01-13,245.0
2024-01-14,255.0
2024-01-15,255.0
2024-01-16,250.14
2024-01-17,247.78
2024-01-18,254.42
2024-01-19,249.7
2024-01-20,248.47
2024-01-21,248.7
2024-01-22,248.7
2024-01-23,248.91
2024-01-24,249.27
2024-01-25,249.49
2024-01-26,249.7
2024-01-27,249.13
2024-01-28,253.67
2024-01-29,250.83
2024-01-30,252.5
2024-01-31,250.73
2024-02-01,250.94
2024-02-02,251.14
2024-02-03,251.33
2024-02-04,251.33
2024-02-05,251.94
2024-02-06,251.94
2024-02-07,251.94
2024-02-08,251.07
2024-02-09,255.0
2024-02-10,253.56
2024-02-11,255.69
2024-02-12,255.74
2024-02-13,255.79
2024-02-14,255.83
2024-02-15,255.83
2024-02-16,255.0
2024-02-17,254.79
2024-02-18,255.85
2024-02-19,255.91
2024-02-20,256.06
2024-02-21,254.52
2024-02-22,254.91
2024-02-23,255.0
2024-02-24,255.0
2024-02-25,255.0
2024-02-26,255.73
2024-02-27,255.0
2024-02-28,255.59
2024-02-29,266.15
2024-03-01,252.87
2024-03-02,254.52
2024-03-03,254.52
2024-03-04,254.52
2024-03-05,251.81
2024-03-06,251.79
2024-03-07,251.15
2024-03-08,252.87
2024-03-09,250.24
2024-03-10,252.17
2024-03-11,253.78
2024-03-12,250.83
2024-03-13,252.55
2024-03-14,252.71
2024-03-15,252.87
2024-03-16,252.77
2024-03-17,253.02
2024-03-18,252.02
2024-03-19,252.02
2024-03-20,252.87
2024-03-21,252.87
2024-03-22,252.87
2024-03-23,252.87
2024-03-24,253.84
2024-03-25,254.87
2024-03-26,253.75
2024-03-27,252.77
2024-03-28,254.58
2024-03-29,252.87
2024-03-30,253.83
2024-03-31,253.83
2024-04-01,253.69
2024-04-02,253.6
2024-04-03,250.12
2024-04-04,251.98
2024-04-05,250.91
2024-04-06,252.39
2024-04-07,250.74
2024-04-08,251.84
2024-04-09,251.41
2024-04-10,249.66
2024-04-11,248.67
2024-04-12,250.91
2024-04-13,249.66
2024-04-14,251.57
2024-04-15,250.9
2024-04-16,250.91
2024-04-17,250.91
2024-04-18,250.91
2024-04-19,250.91
2024-04-20,251.79
2024-04-21,250.45
2024-04-22,250.45
2024-04-23,250.68
2024-04-24,250.91
2024-04-25,250.75
2024-04-26,250.91
2024-04-27,250.81
2024-04-28,251.14
2024-04-29,254.08
2024-04-30,250.0
2024-05-01,251.56
2024-05-02,253.75
2024-05-03,255.64
2024-05-04,255.0
2024-05-05,254.39
2024-05-06,253.78
2024-05-07,256.56
2024-05-08,254.13
2024-05-09,252.43
2024-05-10,255.64
2024-05-11,261.71
2024-05-12,257.3
2024-05-13,253.86
2024-05-14,254.7
2024-05-15,254.04
2024-05-16,254.84
2024-05-17,255.64
2024-05-18,254.88
2024-05-19,260.49
2024-05-20,257.5
2024-05-21,257.69
2024-05-22,259.22
2024-05-23,257.57
2024-05-24,255.64
2024-05-25,255.64
2024-05-26,257.98
2024-05-27,257.98
2024-05-28,257.81
