date,price
2024-01-01,310.0
2024-01-02,305.0
2024-01-03,305.0
2024-01-04,305.0
2024-01-05,310.0
2024-01-06,305.0
2024-01-07,310.0
2024-01-08,310.0
2024-01-09,310.0
2024-01-10,310.0
2024-01-11,320.0
2024-01-12,310.0
2024-01-13,310.0
2024-01-14,305.0
2024-01-15,310.0
2024-01-16,314.55
2024-01-17,307.62
2024-01-18,318.7
2024-01-19,310.0
2024-01-20,309.09
2024-01-21,308.37
2024-01-22,310.24
2024-01-23,309.3
2024-01-24,309.47
2024-01-25,309.68
2024-01-26,310.0
2024-01-27,310.23
2024-01-28,311.78
2024-01-29,311.59
2024-01-30,311.36
2024-01-31,311.14
2024-02-01,310.91
2024-02-02,311.56
2024-02-03,310.45
2024-02-04,309.77
2024-02-05,310.91
2024-02-06,310.45
2024-02-07,310.45
2024-02-08,309.2
2024-02-09,311.56
2024-02-10,311.33
2024-02-11,311.59
2024-02-12,311.5
2024-02-13,314.05
2024-02-14,312.44
2024-02-15,312.44
2024-02-16,311.56
2024-02-17,312.05
2024-02-18,313.25
2024-02-19,313.4
2024-02-20,313.25
2024-02-21,311.78
2024-02-22,311.67
2024-02-23,311.56
2024-02-24,311.32
2024-02-25,311.78
2024-02-26,311.54
2024-02-27,311.78
2024-02-28,311.67
2024-02-29,321.82
2024-03-01,311.4
2024-03-02,311.14
2024-03-03,311.14
2024-03-04,311.14
2024-03-05,310.24
2024-03-06,310.81
2024-03-07,310.54
2024-03-08,311.4
2024-03-09,311.52
2024-03-10,311.63
2024-03-11,314.71
2024-03-12,308.42
2024-03-13,311.63
2024-03-14,311.52
2024-03-15,311.4
2024-03-16,311.4
2024-03-17,312.56
2024-03-18,311.4
2024-03-19,311.4
2024-03-20,311.4
2024-03-21,311.4
2024-03-22,311.4
2024-03-23,311.63
2024-03-24,312.82
2024-03-25,314.71
2024-03-26,308.42
2024-03-27,311.63
2024-03-28,313.44
2024-03-29,311.4
2024-03-30,310.7
2024-03-31,310.7
2024-04-01,312.11
2024-04-02,312.56
2024-04-03,306.76
2024-04-04,311.28
2024-04-05,310.0
2024-04-06,309.51
2024-04-07,310.0
2024-04-08,310.93
2024-04-09,309.76
2024-04-10,309.76
2024-04-11,309.88
2024-04-12,310.0
2024-04-13,309.52
2024-04-14,313.94
2024-04-15,312.16
2024-04-16,310.0
2024-04-17,310.0
2024-04-18,310.0
2024-04-19,310.0
2024-04-20,312.16
2024-04-21,309.76
2024-04-22,309.76
2024-04-23,309.76
2024-04-24,309.76
2024-04-25,310.79
2024-04-26,310.0
2024-04-27,311.71
2024-04-28,309.76
2024-04-29,310.27
2024-04-30,310.79
2024-05-01,310.24
2024-05-02,311.62
2024-05-03,313.1
2024-05-04,311.25
2024-05-05,311.08
2024-05-06,309.76
2024-05-07,313.1
2024-05-08,311.36
2024-05-09,309.73
2024-05-10,313.1
2024-05-11,320.86
2024-05-12,315.71
2024-05-13,313.62
2024-05-14,315.0
2024-05-15,315.71
2024-05-16,311.36
2024-05-17,313.1
2024-05-18,311.75
2024-05-19,311.59
2024-05-20,315.81
2024-05-21,314.04
2024-05-22,314.25
2024-05-23,313.13
2024-05-24,313.1
2024-05-25,311.59
2024-05-26,314.04
2024-05-27,314.04
2024-05-28,314.88
2024-05-29,311.59
2024-05-30,314.04
2024-05-31,313.1
2024-06-01,312.25
2024-06-02,311.59
2024-06-03,314.04
2024-06-04,314.04
2024-06-05,312.68
2024-06-06,315.15
2024-06-07,314.04
2024-06-08,314.04
2024-06-09,314.04
2024-06-10,314.04
2024-06-11,314.0
2024-06-12,314.04
2024-06-13,314.13
2024-06-14,314.04
2024-06-15,314.04
2024-06-16,314.04
2024-06-17,314.13
2024-06-18,311.59
2024-06-19,315.68
2024-06-20,310.31
2024-06-21,314.04
2024-06-22,314.04
2024-06-23,314.04
2024-06-24,314.04
2024-06-25,314.26
2024-06-26,314.04
2024-06-27,314.04
2024-06-28,314.04
2024-06-29,314.26
2024-06-30,314.26
2024-07-01,314.26
2024-07-02,314.26
2024-07-03,312.05
2024-07-04,316.47
2024-07-05,313.86
2024-07-06,309.21
2024-07-07,312.33
2024-07-08,311.46
2024-07-09,312.73
2024-07-10,311.86
2024-07-11,312.95
2024-07-12,313.86
2024-07-13,313.08
2024-07-14,313.47
2024-07-15,313.86
2024-07-16,314.67
2024-07-17,313.64
2024-07-18,313.75
2024-07-19,313.86
2024-07-20,313.41
2024-07-21,315.71
2024-07-22,314.71
2024-07-23,311.94
2024-07-24,320.34
2024-07-25,315.88
2024-07-26,313.86
2024-07-27,314.32
2024-07-28,314.78
2024-07-29,315.22
2024-07-30,315.22
2024-07-31,325.0
2024-08-01,335.0
2024-08-02,325.0
2024-08-03,325.0
2024-08-04,325.0
2024-08-05,320.0
2024-08-06,320.0
2024-08-07,320.0
2024-08-08,320.0
2024-08-09,325.0
2024-08-10,320.0
2024-08-11,325.0
2024-08-12,325.0
2024-08-13,325.0
2024-08-14,325.0
2024-08-15,325.0
2024-08-16,325.0
2024-08-17,320.0
2024-08-18,335.0
2024-08-19,335.0
2024-08-20,335.0
2024-08-21,335.0
2024-08-22,335.0
2024-08-23,325.0
2024-08-24,335.0
2024-08-25,335.0
2024-08-26,335.0
2024-08-27,335.0
2024-08-28,335.0
2024-08-29,320.0
2024-08-30,325.0
2024-08-31,325.0
2024-09-01,335.0
2024-09-02,335.0
2024-09-03,335.0
2024-09-04,335.0
2024-09-05,335.0
2024-09-06,325.0
2024-09-07,330.0
2024-09-08,330.0
2024-09-09,330.0
2024-09-10,330.0
2024-09-11,325.0
2024-09-12,325.0
2024-09-13,325.0
2024-09-14,325.0
2024-09-15,325.0
2024-09-16,325.0
2024-09-17,325.0
2024-09-18,325.0
2024-09-19,325.0
2024-09-20,325.0
2024-09-21,325.0
2024-09-22,325.0
2024-09-23,325.0
2024-09-24,325.0
2024-09-25,325.0
2024-09-26,325.0
2024-09-27,325.0
2024-09-28,325.0
2024-09-29,325.0
2024-09-30,310.97
2024-10-01,315.7
2024-10-02,315.5
2024-10-03,315.48
2024-10-04,315.45
2024-10-05,312.22
2024-10-06,314.83
2024-10-07,313.51
2024-10-08,317.18
2024-10-09,315.58
2024-10-10,314.17
2024-10-11,315.45
2024-10-12,315.4
2024-10-13,315.34
2024-10-14,315.34
2024-10-15,314.66
2024-10-16,316.36
2024-10-17,318.24
2024-10-18,315.45
2024-10-19,315.45
2024-10-20,315.45
2024-10-21,315.45
2024-10-22,315.45
2024-10-23,315.45
2024-10-24,315.45
2024-10-25,315.45
2024-10-26,315.45
2024-10-27,315.45
2024-10-28,315.45
2024-10-29,315.45
2024-10-30,315.45
2024-10-31,315.45
2024-11-01,312.77
2024-11-02,312.77
2024-11-03,312.77
2024-11-04,312.77
2024-11-05,312.77
2024-11-06,312.77
2024-11-07,312.77
2024-11-08,312.77
2024-11-09,312.77
2024-11-10,312.77
2024-11-11,312.77
2024-11-12,312.77
2024-11-13,312.77
2024-11-14,312.77
2024-11-15,312.77
2024-11-16,312.77
2024-11-17,312.77
2024-11-18,312.77
2024-11-19,312.77
2024-11-20,312.77
2024-11-21,312.77
2024-11-22,312.77
2024-11-23,312.77
2024-11-24,312.77
2024-11-25,312.77
2024-11-26,312.77
2024-11-27,312.77
2024-11-28,312.77
2024-11-29,312.77
2024-11-30,312.77
2024-12-01,305.0
2024-12-02,305.0
2024-12-03,305.0
2024-12-04,305.0
2024-12-05,305.0
2024-12-06,305.0
2024-12-07,305.0
2024-12-08,305.0
2024-12-09,305.0
2024-12-10,310.0
2024-12-11,305.0
2024-12-12,305.0
2024-12-13,305.0
2024-12-14,305.0
2024-12-15,305.0
2024-12-16,305.0
2024-12-17,305.0
2024-12-18,305.0
2024-12-19,305.0
2024-12-20,305.0
2024-12-21,310.0
2024-12-22,305.0
2024-12-23,310.0
2024-12-24,305.0
2024-12-25,305.0
2024-12-26,305.0
2024-12-27,305.0
2024-12-28,305.0
2024-12-29,305.0
2024-12-30,305.0
2024-12-31,305.0
