date,price
2021-01-01,140.0
2021-01-02,163.53
2021-01-03,159.48
2021-01-04,152.2
2021-01-05,151.25
2021-01-06,169.88
2021-01-07,159.37
2021-01-08,170.4
2021-01-09,141.86
2021-01-10,153.54
2021-01-11,140.13
2021-01-12,141.67
2021-01-13,158.33
2021-01-14,146.28
2021-01-15,141.18
2021-01-16,136.08
2021-01-17,153.93
2021-01-18,137.7
2021-01-19,140.0
2021-01-20,151.17
2021-01-21,138.88
2021-01-22,155.62
2021-01-23,132.34
2021-01-24,140.05
2021-01-25,134.73
2021-01-26,130.0
2021-01-27,139.35
2021-01-28,136.53
2021-01-29,134.75
2021-01-30,132.98
2021-01-31,138.77
2021-02-01,133.72
2021-02-02,130.0
2021-02-03,137.98
2021-02-04,134.22
2021-02-05,131.62
2021-02-06,129.03
2021-02-07,136.31
2021-02-08,131.32
2021-02-09,123.75
2021-02-10,137.59
2021-02-11,135.54
2021-02-12,149.44
2021-02-13,127.5
2021-02-14,135.64
2021-02-15,129.06
2021-02-16,128.33
2021-02-17,136.23
2021-02-18,135.44
2021-02-19,143.42
2021-02-20,125.76
2021-02-21,133.43
2021-02-22,126.33
2021-02-23,125.0
2021-02-24,134.01
2021-02-25,145.48
2021-02-26,149.89
2021-02-27,129.58
2021-02-28,132.49
2021-03-01,128.49
2021-03-02,127.5
2021-03-03,134.43
2021-03-04,134.53
2021-03-05,151.79
2021-03-06,127.73
2021-03-07,133.81
2021-03-08,129.24
2021-03-09,126.25
2021-03-10,136.04
2021-03-11,132.76
2021-03-12,148.64
2021-03-13,127.84
2021-03-14,135.15
2021-03-15,126.87
2021-03-16,118.75
2021-03-17,132.71
2021-03-18,128.47
2021-03-19,165.93
2021-03-20,144.07
2021-03-21,153.34
2021-03-22,143.27
2021-03-23,118.75
2021-03-24,158.83
2021-03-25,129.67
2021-03-26,176.62
2021-03-27,149.95
2021-03-28,152.38
2021-03-29,142.76
2021-03-30,118.33
2021-03-31,152.17
2021-04-01,154.62
2021-04-02,154.66
2021-04-03,154.71
2021-04-04,153.42
2021-04-05,144.33
2021-04-06,133.33
2021-04-07,166.06
2021-04-08,168.6
2021-04-09,163.22
2021-04-10,145.61
2021-04-11,132.87
2021-04-12,134.22
2021-04-13,122.5
2021-04-14,166.63
2021-04-15,146.56
2021-04-16,158.62
2021-04-17,119.95
2021-04-18,113.33
2021-04-19,122.5
2021-04-20,123.75
2021-04-21,135.08
2021-04-22,137.53
2021-04-23,138.89
2021-04-24,140.24
2021-04-25,131.81
2021-04-26,136.29
2021-04-27,139.73
2021-04-28,143.18
2021-04-29,144.92
2021-04-30,146.03
2021-05-01,147.14
2021-05-02,141.4
2021-05-03,143.15
2021-05-04,145.25
2021-05-05,147.34
2021-05-06,149.74
2021-05-07,154.01
2021-05-08,158.28
2021-05-09,165.28
2021-05-10,148.56
2021-05-11,141.25
2021-05-12,119.94
2021-05-13,153.26
2021-05-14,187.15
2021-05-15,165.52
2021-05-16,152.76
2021-05-17,153.84
2021-05-18,153.38
2021-05-19,152.93
2021-05-20,153.83
2021-05-21,192.18
2021-05-22,170.77
2021-05-23,156.48
2021-05-24,154.96
2021-05-25,155.4
2021-05-26,155.84
2021-05-27,153.38
2021-05-28,194.13
2021-05-29,171.58
2021-05-30,158.24
2021-05-31,155.81
2021-06-01,145.0
2021-06-02,170.94
2021-06-03,166.05
2021-06-04,206.7
2021-06-05,197.58
2021-06-06,175.63
2021-06-07,150.39
2021-06-08,157.5
2021-06-09,174.96
2021-06-10,168.29
2021-06-11,205.74
2021-06-12,186.73
2021-06-13,170.74
2021-06-14,161.78
2021-06-15,155.0
2021-06-16,171.76
2021-06-17,163.23
2021-06-18,172.57
2021-06-19,181.91
2021-06-20,176.11
2021-06-21,145.58
2021-06-22,156.25
2021-06-23,170.44
2021-06-24,156.39
2021-06-25,197.37
2021-06-26,178.9
2021-06-27,167.36
2021-06-28,160.78
