date,price
2022-01-01,124.2
2022-01-02,140.44
2022-01-03,140.52
2022-01-04,123.53
2022-01-05,118.75
2022-01-06,126.94
2022-01-07,120.11
2022-01-08,136.14
2022-01-09,125.68
2022-01-10,136.46
2022-01-11,122.4
2022-01-12,118.33
2022-01-13,125.71
2022-01-14,121.38
2022-01-15,137.18
2022-01-16,126.73
2022-01-17,133.81
2022-01-18,122.74
2022-01-19,121.25
2022-01-20,124.64
2022-01-21,118.0
2022-01-22,134.42
2022-01-23,127.27
2022-01-24,125.17
2022-01-25,123.06
2022-01-26,120.0
2022-01-27,123.16
2022-01-28,118.61
2022-01-29,135.42
2022-01-30,127.52
2022-01-31,134.71
2022-02-01,122.42
2022-02-02,120.0
2022-02-03,126.83
2022-02-04,122.38
2022-02-05,140.5
2022-02-06,132.63
2022-02-07,139.37
2022-02-08,125.25
2022-02-09,118.12
2022-02-10,129.75
2022-02-11,125.09
2022-02-12,142.13
2022-02-13,133.26
2022-02-14,140.98
2022-02-15,127.37
2022-02-16,129.29
2022-02-17,131.22
2022-02-18,125.87
2022-02-19,126.07
2022-02-20,126.27
2022-02-21,140.17
2022-02-22,127.19
2022-02-23,118.12
2022-02-24,127.87
2022-02-25,135.28
2022-02-26,140.86
2022-02-27,132.63
2022-02-28,137.89
2022-03-01,126.6
2022-03-02,127.05
2022-03-03,127.49
2022-03-04,124.87
2022-03-05,127.52
2022-03-06,130.18
2022-03-07,128.19
2022-03-08,126.2
2022-03-09,125.29
2022-03-10,124.39
2022-03-11,125.32
2022-03-12,139.95
2022-03-13,134.04
2022-03-14,134.94
2022-03-15,126.65
2022-03-16,118.75
2022-03-17,123.61
2022-03-18,114.84
2022-03-19,141.05
2022-03-20,134.93
2022-03-21,138.04
2022-03-22,125.08
2022-03-23,113.75
2022-03-24,123.58
2022-03-25,116.03
2022-03-26,142.02
2022-03-27,135.34
2022-03-28,133.53
2022-03-29,119.64
2022-03-30,101.67
2022-03-31,124.19
2022-04-01,129.68
2022-04-02,132.53
2022-04-03,135.39
2022-04-04,134.86
2022-04-05,125.62
2022-04-06,127.1
2022-04-07,128.59
2022-04-08,129.48
2022-04-09,129.58
2022-04-10,133.96
2022-04-11,121.47
2022-04-12,120.7
2022-04-13,115.0
2022-04-14,130.37
2022-04-15,120.65
2022-04-16,120.43
2022-04-17,120.22
2022-04-18,120.0
2022-04-19,115.0
2022-04-20,115.0
2022-04-21,123.26
2022-04-22,115.98
2022-04-23,135.89
2022-04-24,134.16
2022-04-25,129.35
2022-04-26,121.91
2022-04-27,116.25
2022-04-28,123.58
2022-04-29,116.54
2022-04-30,135.58
2022-05-01,131.7
2022-05-02,129.08
2022-05-03,121.81
2022-05-04,115.62
2022-05-05,125.33
2022-05-06,118.61
2022-05-07,126.25
2022-05-08,133.89
2022-05-09,142.75
2022-05-10,123.79
2022-05-11,118.75
2022-05-12,122.16
2022-05-13,125.57
2022-05-14,136.7
2022-05-15,141.36
2022-05-16,137.03
2022-05-17,131.77
2022-05-18,124.38
2022-05-19,129.13
2022-05-20,130.22
2022-05-21,141.09
2022-05-22,145.04
2022-05-23,139.51
2022-05-24,133.24
2022-05-25,125.0
2022-05-26,131.08
2022-05-27,130.74
2022-05-28,140.97
2022-05-29,146.86
2022-05-30,139.39
2022-05-31,132.54
2022-06-01,125.0
2022-06-02,131.28
2022-06-03,132.07
2022-06-04,132.86
2022-06-05,131.9
2022-06-06,130.94
2022-06-07,132.93
2022-06-08,124.38
2022-06-09,127.48
2022-06-10,121.62
2022-06-11,128.78
2022-06-12,134.59
2022-06-13,138.72
2022-06-14,131.39
2022-06-15,125.62
2022-06-16,128.2
2022-06-17,122.03
2022-06-18,127.49
2022-06-19,134.2
2022-06-20,133.42
2022-06-21,124.63
2022-06-22,125.62
2022-06-23,126.63
2022-06-24,122.12
2022-06-25,353.18
2022-06-26,134.14
2022-06-27,139.88
2022-06-28,132.26
2022-06-29,124.38
2022-06-30,128.26
2022-07-01,122.11
2022-07-02,127.35
2022-07-03,135.29
2022-07-04,132.12
2022-07-05,132.36
2022-07-06,125.0
2022-07-07,128.26
2022-07-08,118.92
2022-07-09,126.74
2022-07-10,135.23
2022-07-11,131.46
2022-07-12,133.53
2022-07-13,128.36
2022-07-14,128.2
2022-07-15,119.19
2022-07-16,127.81
2022-07-17,135.54
2022-07-18,132.14
2022-07-19,130.58
2022-07-20,121.59
2022-07-21,126.35
2022-07-22,127.22
2022-07-23,128.08
2022-07-24,127.0
2022-07-25,125.93
2022-07-26,129.0
2022-07-27,122.6
2022-07-28,124.41
2022-07-29,122.96
2022-07-30,121.5
2022-07-31,131.42
2022-08-01,138.38
2022-08-02,133.3
2022-08-03,127.39
2022-08-04,129.0
2022-08-05,127.62
2022-08-06,126.25
2022-08-07,141.77
2022-08-08,130.58
2022-08-09,139.43
2022-08-10,135.7
2022-08-11,127.92
2022-08-12,127.08
2022-08-13,126.25
2022-08-14,133.96
2022-08-15,130.62
2022-08-16,136.7
2022-08-17,131.25
2022-08-18,129.17
2022-08-19,126.25
2022-08-20,133.75
2022-08-21,134.5
2022-08-22,131.67
2022-08-23,140.08
2022-08-24,128.26
2022-08-25,127.5
2022-08-26,123.75
2022-08-27,136.88
2022-08-28,134.3
2022-08-29,128.12
2022-08-30,135.2
2022-08-31,130.3
2022-09-01,130.83
2022-09-02,126.25
2022-09-03,136.25
2022-09-04,133.78
2022-09-05,130.03
2022-09-06,138.57
2022-09-07,131.38
2022-09-08,130.0
2022-09-09,130.62
2022-09-10,131.25
2022-09-11,134.8
2022-09-12,131.42
2022-09-13,131.14
2022-09-14,130.86
2022-09-15,129.58
2022-09-16,129.39
2022-09-17,129.2
2022-09-18,130.69
2022-09-19,132.19
2022-09-20,131.82
2022-09-21,131.45
2022-09-22,131.67
2022-09-23,121.65
2022-09-24,127.63
2022-09-25,132.63
2022-09-26,129.65
2022-09-27,134.58
2022-09-28,131.58
2022-09-29,132.92
2022-09-30,131.19
2022-10-01,129.46
2022-10-02,133.04
2022-10-03,129.06
2022-10-04,134.82
2022-10-05,130.75
2022-10-06,130.04
2022-10-07,121.61
2022-10-08,128.51
2022-10-09,131.56
2022-10-10,131.52
2022-10-11,135.05
2022-10-12,131.84
2022-10-13,124.26
2022-10-14,122.72
2022-10-15,126.88
2022-10-16,131.55
2022-10-17,127.8
2022-10-18,133.64
2022-10-19,130.27
2022-10-20,130.02
2022-10-21,129.62
2022-10-22,129.22
2022-10-23,123.33
2022-10-24,133.01
2022-10-25,128.88
2022-10-26,130.38
2022-10-27,124.0
2022-10-28,114.88
2022-10-29,149.97
2022-10-30,150.44
2022-10-31,150.17
2022-11-01,148.82
2022-11-02,158.33
2022-11-03,150.84
2022-11-04,151.11
2022-11-05,151.31
2022-11-06,151.51
2022-11-07,151.68
2022-11-08,151.16
2022-11-09,156.67
2022-11-10,154.77
2022-11-11,153.37
2022-11-12,153.3
2022-11-13,154.03
2022-11-14,153.72
2022-11-15,130.83
2022-11-16,130.49
2022-11-17,125.0
2022-11-18,124.22
2022-11-19,123.44
2022-11-20,130.16
2022-11-21,126.25
2022-11-22,128.08
2022-11-23,128.21
2022-11-24,124.5
2022-11-25,124.7
2022-11-26,124.9
2022-11-27,125.01
2022-11-28,125.13
2022-11-29,128.94
2022-11-30,129.29
2022-12-01,130.0
2022-12-02,106.67
2022-12-03,124.17
2022-12-04,130.83
2022-12-05,131.88
2022-12-06,128.12
2022-12-07,133.12
2022-12-08,125.5
2022-12-09,124.83
2022-12-10,124.17
2022-12-11,136.67
2022-12-12,129.38
2022-12-13,134.38
2022-12-14,134.38
2022-12-15,125.0
2022-12-16,106.67
2022-12-17,172.5
2022-12-18,145.0
2022-12-19,141.67
2022-12-20,136.25
2022-12-21,136.25
2022-12-22,126.5
2022-12-23,106.67
2022-12-24,132.5
2022-12-25,131.25
2022-12-26,130.0
2022-12-27,136.25
2022-12-28,137.5
2022-12-29,132.0
2022-12-30,110.0
2022-12-31,147.5
