date,price
2023-01-01,47.5
2023-01-02,50.75
2023-01-03,50.71
2023-01-04,49.8
2023-01-05,49.62
2023-01-06,48.45
2023-01-07,48.42
2023-01-08,50.6
2023-01-09,51.23
2023-01-10,50.29
2023-01-11,49.17
2023-01-12,49.83
2023-01-13,47.6
2023-01-14,47.4
2023-01-15,50.81
2023-01-16,51.6
2023-01-17,50.18
2023-01-18,49.35
2023-01-19,50.17
2023-01-20,48.1
2023-01-21,48.17
2023-01-22,50.54
2023-01-23,50.6
2023-01-24,50.01
2023-01-25,49.69
2023-01-26,49.38
2023-01-27,48.0
2023-01-28,48.15
2023-01-29,50.72
2023-01-30,51.38
2023-01-31,50.49
2023-02-01,49.51
2023-02-02,49.75
2023-02-03,48.26
2023-02-04,48.32
2023-02-05,50.87
2023-02-06,50.88
2023-02-07,50.17
2023-02-08,49.41
2023-02-09,49.12
2023-02-10,47.76
2023-02-11,47.8
2023-02-12,50.52
2023-02-13,51.06
2023-02-14,49.79
2023-02-15,48.86
2023-02-16,50.0
2023-02-17,48.15
2023-02-18,47.85
2023-02-19,50.62
2023-02-20,50.43
2023-02-21,50.23
2023-02-22,49.1
2023-02-23,49.38
2023-02-24,47.14
2023-02-25,46.62
2023-02-26,49.99
2023-02-27,50.71
2023-02-28,50.08
2023-03-01,50.23
2023-03-02,49.62
2023-03-03,47.55
2023-03-04,47.48
2023-03-05,50.2
2023-03-06,50.34
2023-03-07,49.53
2023-03-08,49.42
2023-03-09,49.75
2023-03-10,47.35
2023-03-11,47.26
2023-03-12,49.72
2023-03-13,49.69
2023-03-14,50.79
2023-03-15,48.96
2023-03-16,49.5
2023-03-17,45.49
2023-03-18,46.63
2023-03-19,48.71
2023-03-20,49.31
2023-03-21,48.59
2023-03-22,48.37
2023-03-23,49.0
2023-03-24,46.12
2023-03-25,46.54
2023-03-26,48.28
2023-03-27,49.01
2023-03-28,47.78
2023-03-29,45.31
2023-03-30,45.83
2023-03-31,46.65
2023-04-01,45.63
2023-04-02,52.92
2023-04-03,48.72
2023-04-04,48.18
2023-04-05,49.25
2023-04-06,49.5
2023-04-07,45.19
2023-04-08,46.38
2023-04-09,46.18
2023-04-10,47.42
2023-04-11,46.63
2023-04-12,48.39
2023-04-13,48.62
2023-04-14,45.66
2023-04-15,45.98
2023-04-16,49.69
2023-04-17,52.25
2023-04-18,49.83
2023-04-19,48.62
2023-04-20,48.62
2023-04-21,48.5
2023-04-22,45.96
2023-04-23,49.97
2023-04-24,50.11
2023-04-25,49.07
2023-04-26,48.47
2023-04-27,48.88
2023-04-28,48.68
2023-04-29,49.13
2023-04-30,49.57
2023-05-01,50.18
2023-05-02,49.68
2023-05-03,48.75
2023-05-04,48.88
2023-05-05,47.97
2023-05-06,45.6
2023-05-07,51.88
2023-05-08,50.43
2023-05-09,49.73
2023-05-10,48.46
