date,price
2022-01-01,37.5
2022-01-02,38.75
2022-01-03,39.78
2022-01-04,39.39
2022-01-05,37.5
2022-01-06,38.75
2022-01-07,39.38
2022-01-08,39.06
2022-01-09,38.75
2022-01-10,38.81
2022-01-11,38.42
2022-01-12,38.61
2022-01-13,38.79
2022-01-14,38.58
2022-01-15,38.5
2022-01-16,37.89
2022-01-17,37.91
2022-01-18,37.71
2022-01-19,37.25
2022-01-20,37.61
2022-01-21,37.95
2022-01-22,38.08
2022-01-23,38.2
2022-01-24,37.96
2022-01-25,38.22
2022-01-26,37.5
2022-01-27,38.62
2022-01-28,37.94
2022-01-29,38.42
2022-01-30,38.14
2022-01-31,37.81
2022-02-01,37.81
2022-02-02,37.25
2022-02-03,38.5
2022-02-04,38.0
2022-02-05,38.54
2022-02-06,38.11
2022-02-07,38.12
2022-02-08,38.42
2022-02-09,37.75
2022-02-10,38.17
2022-02-11,38.03
2022-02-12,38.74
2022-02-13,41.52
2022-02-14,37.53
2022-02-15,40.48
2022-02-16,44.25
2022-02-17,38.0
2022-02-18,37.78
2022-02-19,43.4
2022-02-20,43.09
2022-02-21,41.23
2022-02-22,40.43
2022-02-23,42.0
2022-02-24,39.26
2022-02-25,39.43
2022-02-26,43.85
2022-02-27,42.52
2022-02-28,41.41
2022-03-01,41.03
2022-03-02,42.5
2022-03-03,38.28
2022-03-04,37.54
2022-03-05,42.37
2022-03-06,41.66
2022-03-07,40.43
2022-03-08,40.52
2022-03-09,42.33
2022-03-10,39.58
2022-03-11,38.56
2022-03-12,42.79
2022-03-13,42.06
2022-03-14,41.77
2022-03-15,40.71
2022-03-16,42.33
2022-03-17,38.94
2022-03-18,38.78
2022-03-19,43.25
2022-03-20,42.46
2022-03-21,41.47
2022-03-22,41.47
2022-03-23,42.33
2022-03-24,39.28
2022-03-25,38.76
2022-03-26,43.26
2022-03-27,42.01
2022-03-28,41.01
2022-03-29,39.53
2022-03-30,38.75
2022-03-31,38.38
2022-04-01,38.94
2022-04-02,39.85
2022-04-03,42.03
2022-04-04,40.98
2022-04-05,40.98
2022-04-06,43.5
2022-04-07,37.71
2022-04-08,38.06
2022-04-09,40.24
2022-04-10,40.16
2022-04-11,39.22
2022-04-12,41.98
2022-04-13,42.5
2022-04-14,40.23
2022-04-15,38.35
2022-04-16,44.6
2022-04-17,45.25
2022-04-18,42.5
2022-04-19,42.33
2022-04-20,42.33
2022-04-21,41.62
2022-04-22,38.56
2022-04-23,45.04
2022-04-24,43.51
2022-04-25,42.01
2022-04-26,41.78
2022-04-27,42.33
