date,price
2020-01-01,52.0
2020-01-02,55.95
2020-01-03,56.3
2020-01-04,55.04
2020-01-05,54.38
2020-01-06,53.38
2020-01-07,53.36
2020-01-08,56.3
2020-01-09,55.99
2020-01-10,55.2
2020-01-11,54.53
2020-01-12,55.17
2020-01-13,52.93
2020-01-14,52.58
2020-01-15,55.45
2020-01-16,55.14
2020-01-17,54.18
2020-01-18,53.72
2020-01-19,53.38
2020-01-20,52.38
2020-01-21,52.18
2020-01-22,55.04
2020-01-23,55.28
2020-01-24,54.09
2020-01-25,53.73
2020-01-26,53.75
2020-01-27,52.63
2020-01-28,52.75
2020-01-29,55.08
2020-01-30,55.39
2020-01-31,54.26
2020-02-01,53.77
2020-02-02,53.88
2020-02-03,52.19
2020-02-04,52.29
2020-02-05,54.88
2020-02-06,54.95
2020-02-07,54.04
2020-02-08,53.66
2020-02-09,53.75
2020-02-10,52.14
2020-02-11,52.27
2020-02-12,55.06
2020-02-13,55.09
2020-02-14,54.06
2020-02-15,53.72
2020-02-16,56.5
2020-02-17,51.69
2020-02-18,51.98
2020-02-19,53.57
2020-02-20,55.89
2020-02-21,55.0
2020-02-22,53.33
2020-02-23,53.75
2020-02-24,51.82
2020-02-25,52.5
2020-02-26,54.78
2020-02-27,55.05
2020-02-28,53.78
2020-02-29,53.85
2020-03-01,54.25
2020-03-02,52.25
2020-03-03,51.86
2020-03-04,54.58
2020-03-05,55.03
2020-03-06,54.02
2020-03-07,53.69
2020-03-08,54.25
2020-03-09,52.9
2020-03-10,51.77
2020-03-11,54.6
2020-03-12,54.97
2020-03-13,55.77
2020-03-14,53.68
2020-03-15,54.25
2020-03-16,53.05
2020-03-17,53.25
2020-03-18,59.4
2020-03-19,57.19
2020-03-20,53.62
2020-03-21,54.72
2020-03-22,54.25
2020-03-23,52.62
2020-03-24,53.0
2020-03-25,54.95
2020-03-26,56.25
2020-03-27,54.32
2020-03-28,53.4
2020-03-29,52.67
2020-03-30,53.43
2020-03-31,52.25
2020-04-01,56.7
2020-04-02,55.6
2020-04-03,54.88
2020-04-04,54.78
2020-04-05,54.83
2020-04-06,52.81
2020-04-07,53.75
2020-04-08,55.02
2020-04-09,54.91
2020-04-10,54.79
2020-04-11,54.9
2020-04-12,54.62
2020-04-13,53.57
2020-04-14,55.62
2020-04-15,57.15
2020-04-16,57.0
2020-04-17,55.33
2020-04-18,54.62
2020-04-19,54.5
2020-04-20,55.36
2020-04-21,54.08
2020-04-22,56.86
2020-04-23,57.33
2020-04-24,56.0
2020-04-25,55.4
2020-04-26,54.75
2020-04-27,55.23
2020-04-28,53.94
2020-04-29,56.94
2020-04-30,59.39
2020-05-01,56.19
2020-05-02,55.34
2020-05-03,54.75
2020-05-04,55.34
2020-05-05,53.91
2020-05-06,59.89
2020-05-07,57.92
2020-05-08,57.92
2020-05-09,55.55
2020-05-10,54.75
2020-05-11,55.51
2020-05-12,53.81
2020-05-13,56.6
2020-05-14,57.43
2020-05-15,56.07
2020-05-16,55.48
2020-05-17,54.75
2020-05-18,55.45
2020-05-19,54.26
2020-05-20,56.49
2020-05-21,56.88
2020-05-22,56.08
2020-05-23,55.34
2020-05-24,54.75
2020-05-25,54.48
2020-05-26,53.63
2020-05-27,56.63
2020-05-28,57.29
2020-05-29,56.37
2020-05-30,55.28
2020-05-31,54.25
2020-06-01,54.78
2020-06-02,55.02
2020-06-03,55.26
2020-06-04,56.0
2020-06-05,55.53
2020-06-06,55.75
2020-06-07,54.25
2020-06-08,54.52
2020-06-09,54.97
2020-06-10,55.42
2020-06-11,56.18
2020-06-12,55.42
2020-06-13,54.73
2020-06-14,54.25
2020-06-15,54.58
2020-06-16,52.68
2020-06-17,55.38
2020-06-18,56.37
2020-06-19,54.53
2020-06-20,53.61
2020-06-21,54.25
2020-06-22,54.33
2020-06-23,52.68
2020-06-24,55.46
2020-06-25,55.34
2020-06-26,54.84
2020-06-27,54.27
2020-06-28,54.0
2020-06-29,53.4
2020-06-30,52.69
2020-07-01,54.99
2020-07-02,54.83
2020-07-03,54.68
2020-07-04,54.7
2020-07-05,54.0
2020-07-06,53.43
2020-07-07,53.98
2020-07-08,54.53
2020-07-09,55.03
2020-07-10,53.97
2020-07-11,54.47
2020-07-12,54.0
2020-07-13,53.47
2020-07-14,54.03
2020-07-15,54.58
2020-07-16,55.36
2020-07-17,53.98
2020-07-18,54.3
2020-07-19,53.62
2020-07-20,54.1
2020-07-21,54.44
2020-07-22,54.78
2020-07-23,55.03
2020-07-24,54.06
2020-07-25,54.12
2020-07-26,54.0
2020-07-27,53.91
2020-07-28,52.48
2020-07-29,54.98
2020-07-30,55.3
2020-07-31,55.75
2020-08-01,55.0
2020-08-02,54.38
2020-08-03,55.0
2020-08-04,55.06
2020-08-05,55.12
2020-08-06,55.36
2020-08-07,55.6
2020-08-08,55.8
2020-08-09,55.38
2020-08-10,54.25
2020-08-11,53.12
2020-08-12,54.88
2020-08-13,55.75
2020-08-14,55.2
2020-08-15,55.4
2020-08-16,54.88
2020-08-17,54.33
2020-08-18,54.48
2020-08-19,54.62
2020-08-20,56.88
2020-08-21,55.8
2020-08-22,56.0
2020-08-23,55.62
2020-08-24,54.83
2020-08-25,53.25
2020-08-26,54.75
2020-08-27,55.5
2020-08-28,55.4
2020-08-29,56.1
2020-08-30,55.75
2020-08-31,55.67
2020-09-01,55.71
2020-09-02,55.75
2020-09-03,55.72
2020-09-04,55.7
2020-09-05,55.7
2020-09-06,55.0
2020-09-07,54.5
2020-09-08,54.44
2020-09-09,54.38
2020-09-10,56.62
2020-09-11,55.3
2020-09-12,55.8
2020-09-13,55.0
2020-09-14,54.58
2020-09-15,54.48
2020-09-16,54.38
2020-09-17,54.84
2020-09-18,55.3
2020-09-19,56.62
2020-09-20,54.12
2020-09-21,54.08
2020-09-22,52.38
2020-09-23,55.0
2020-09-24,56.62
2020-09-25,55.3
2020-09-26,54.95
2020-09-27,54.27
2020-09-28,54.75
2020-09-29,53.1
2020-09-30,54.94
