date,price
2023-01-01,42.5
2023-01-02,45.38
2023-01-03,46.18
2023-01-04,45.64
2023-01-05,46.83
2023-01-06,43.69
2023-01-07,44.11
2023-01-08,46.16
2023-01-09,46.08
2023-01-10,44.83
2023-01-11,44.73
2023-01-12,48.0
2023-01-13,42.26
2023-01-14,42.99
2023-01-15,46.5
2023-01-16,46.16
2023-01-17,44.97
2023-01-18,44.8
2023-01-19,45.67
2023-01-20,41.62
2023-01-21,42.43
2023-01-22,47.96
2023-01-23,46.01
2023-01-24,44.22
2023-01-25,44.35
2023-01-26,44.67
2023-01-27,42.34
2023-01-28,42.57
2023-01-29,46.52
2023-01-30,45.42
2023-01-31,44.41
2023-02-01,44.98
2023-02-02,45.67
2023-02-03,42.7
2023-02-04,42.65
2023-02-05,46.43
2023-02-06,45.53
2023-02-07,44.87
2023-02-08,44.42
2023-02-09,45.5
2023-02-10,42.61
2023-02-11,42.24
2023-02-12,45.8
2023-02-13,45.87
2023-02-14,44.56
2023-02-15,44.18
2023-02-16,46.0
2023-02-17,42.51
2023-02-18,42.79
2023-02-19,46.04
2023-02-20,46.94
2023-02-21,44.42
2023-02-22,44.68
2023-02-23,45.25
2023-02-24,43.29
2023-02-25,42.89
2023-02-26,44.67
2023-02-27,44.72
2023-02-28,44.79
2023-03-01,44.28
2023-03-02,45.62
2023-03-03,43.04
2023-03-04,42.8
2023-03-05,46.41
2023-03-06,45.66
2023-03-07,44.63
2023-03-08,44.86
2023-03-09,45.75
2023-03-10,43.14
2023-03-11,42.97
2023-03-12,45.83
2023-03-13,45.56
2023-03-14,45.59
2023-03-15,45.48
2023-03-16,45.38
2023-03-17,42.6
2023-03-18,43.52
2023-03-19,46.33
2023-03-20,44.97
2023-03-21,44.04
2023-03-22,43.73
2023-03-23,44.62
2023-03-24,42.54
2023-03-25,43.06
2023-03-26,46.17
2023-03-27,46.04
2023-03-28,44.46
2023-03-29,43.3
2023-03-30,42.67
2023-03-31,43.48
2023-04-01,42.96
2023-04-02,47.13
2023-04-03,45.56
2023-04-04,44.31
2023-04-05,44.25
2023-04-06,45.83
2023-04-07,42.46
2023-04-08,42.27
2023-04-09,43.68
2023-04-10,43.53
2023-04-11,42.51
2023-04-12,44.74
2023-04-13,45.12
2023-04-14,43.83
2023-04-15,43.82
2023-04-16,46.66
2023-04-17,47.75
2023-04-18,45.5
2023-04-19,45.12
2023-04-20,45.25
2023-04-21,44.93
2023-04-22,42.69
2023-04-23,46.72
2023-04-24,46.35
2023-04-25,45.01
2023-04-26,44.81
2023-04-27,45.12
2023-04-28,44.91
2023-04-29,43.31
2023-04-30,46.96
2023-05-01,46.5
2023-05-02,44.66
2023-05-03,579.38
2023-05-04,713.38
2023-05-05,579.34
2023-05-06,42.73
2023-05-07,1384.34
2023-05-08,937.23
2023-05-09,937.29
2023-05-10,579.27
2023-05-11,713.38
2023-05-12,579.27
2023-05-13,42.79
2023-05-14,46.62
2023-05-15,46.31
2023-05-16,44.96
2023-05-17,44.74
2023-05-18,45.12
2023-05-19,45.14
2023-05-20,42.63
2023-05-21,46.76
2023-05-22,47.76
2023-05-23,45.1
2023-05-24,44.93
2023-05-25,45.08
2023-05-26,45.18
2023-05-27,42.93
2023-05-28,47.76
2023-05-29,46.35
2023-05-30,45.19
2023-05-31,44.72
2023-06-01,45.38
2023-06-02,44.57
2023-06-03,44.45
2023-06-04,44.33
2023-06-05,43.9
2023-06-06,43.64
2023-06-07,44.78
2023-06-08,45.88
2023-06-09,43.99
2023-06-10,44.48
2023-06-11,44.97
2023-06-12,44.41
2023-06-13,45.72
2023-06-14,45.38
2023-06-15,45.38
