date,price
2024-01-01,235.0
2024-01-02,235.0
2024-01-03,235.0
2024-01-04,235.0
2024-01-05,235.0
2024-01-06,235.0
2024-01-07,235.0
2024-01-08,235.0
2024-01-09,235.0
2024-01-10,235.0
2024-01-11,235.0
2024-01-12,235.0
2024-01-13,235.0
2024-01-14,235.0
2024-01-15,235.0
2024-01-16,235.0
2024-01-17,235.0
2024-01-18,235.0
2024-01-19,235.0
2024-01-20,235.0
2024-01-21,235.0
2024-01-22,235.0
2024-01-23,235.0
2024-01-24,235.0
2024-01-25,235.0
2024-01-26,235.0
2024-01-27,235.0
2024-01-28,235.0
2024-01-29,235.0
2024-01-30,235.0
2024-01-31,235.0
2024-02-01,235.0
2024-02-02,235.0
2024-02-03,235.0
2024-02-04,235.0
2024-02-05,235.0
2024-02-06,235.0
2024-02-07,235.0
2024-02-08,235.0
2024-02-09,235.0
2024-02-10,235.0
2024-02-11,235.0
2024-02-12,235.0
2024-02-13,235.0
2024-02-14,235.0
2024-02-15,235.0
2024-02-16,235.0
2024-02-17,235.0
2024-02-18,235.0
2024-02-19,235.0
2024-02-20,235.0
2024-02-21,235.0
2024-02-22,235.0
2024-02-23,235.0
2024-02-24,235.0
2024-02-25,235.0
2024-02-26,235.0
2024-02-27,235.0
2024-02-28,235.0
2024-02-29,235.0
2024-03-01,235.0
2024-03-02,235.0
2024-03-03,235.0
2024-03-04,235.0
2024-03-05,235.0
2024-03-06,235.0
2024-03-07,235.0
2024-03-08,235.0
2024-03-09,235.0
2024-03-10,235.0
2024-03-11,235.0
2024-03-12,235.0
2024-03-13,235.0
2024-03-14,235.0
2024-03-15,235.0
2024-03-16,235.0
2024-03-17,235.0
2024-03-18,235.0
2024-03-19,235.0
2024-03-20,235.0
2024-03-21,235.0
2024-03-22,235.0
2024-03-23,235.0
2024-03-24,235.0
2024-03-25,235.0
2024-03-26,235.0
2024-03-27,235.0
2024-03-28,235.0
2024-03-29,235.0
2024-03-30,235.0
2024-03-31,235.0
2024-04-01,235.0
2024-04-02,235.0
2024-04-03,235.0
2024-04-04,235.0
2024-04-05,235.0
2024-04-06,235.0
2024-04-07,235.0
2024-04-08,235.0
2024-04-09,235.0
2024-04-10,235.0
2024-04-11,235.0
2024-04-12,235.0
2024-04-13,235.0
2024-04-14,235.0
2024-04-15,235.0
2024-04-16,235.0
2024-04-17,235.0
2024-04-18,235.0
2024-04-19,235.0
2024-04-20,235.0
2024-04-21,235.0
2024-04-22,235.0
2024-04-23,235.0
2024-04-24,235.0
2024-04-25,235.0
2024-04-26,235.0
2024-04-27,235.0
2024-04-28,235.0
2024-04-29,235.0
2024-04-30,235.0
2024-05-01,235.0
2024-05-02,235.0
2024-05-03,235.0
2024-05-04,235.0
2024-05-05,235.0
2024-05-06,235.0
2024-05-07,235.0
2024-05-08,235.0
2024-05-09,235.0
2024-05-10,235.0
2024-05-11,235.0
2024-05-12,235.0
2024-05-13,235.0
2024-05-14,235.0
2024-05-15,235.0
2024-05-16,235.0
2024-05-17,235.0
2024-05-18,235.0
2024-05-19,235.0
2024-05-20,235.0
2024-05-21,235.0
2024-05-22,235.0
2024-05-23,235.0
2024-05-24,235.0
2024-05-25,235.0
2024-05-26,235.0
2024-05-27,235.0
2024-05-28,235.0
2024-05-29,235.0
2024-05-30,235.0
