date,price
2025-01-01,235.0
2025-01-02,235.0
2025-01-03,235.0
2025-01-04,235.0
2025-01-05,235.0
2025-01-06,235.0
2025-01-07,235.0
2025-01-08,235.0
2025-01-09,235.0
2025-01-10,235.0
2025-01-11,235.0
2025-01-12,235.0
2025-01-13,235.0
2025-01-14,235.0
2025-01-15,235.0
2025-01-16,235.0
2025-01-17,235.0
2025-01-18,235.0
2025-01-19,235.0
2025-01-20,235.0
2025-01-21,235.0
2025-01-22,235.0
2025-01-23,235.0
2025-01-24,235.0
2025-01-25,235.0
2025-01-26,235.0
2025-01-27,235.0
2025-01-28,235.0
2025-01-29,235.0
2025-01-30,235.0
2025-01-31,235.0
2025-02-01,235.0
2025-02-02,235.0
2025-02-03,235.0
2025-02-04,235.0
2025-02-05,235.0
2025-02-06,235.0
2025-02-07,235.0
2025-02-08,235.0
2025-02-09,235.0
2025-02-10,235.0
2025-02-11,235.0
2025-02-12,235.0
2025-02-13,235.0
2025-02-14,235.0
2025-02-15,235.0
2025-02-16,235.0
2025-02-17,235.0
2025-02-18,235.0
2025-02-19,235.0
2025-02-20,235.0
2025-02-21,235.0
2025-02-22,235.0
2025-02-23,235.0
2025-02-24,235.0
2025-02-25,235.0
2025-02-26,235.0
2025-02-27,235.0
2025-02-28,235.0
2025-03-01,235.0
2025-03-02,235.0
2025-03-03,235.0
2025-03-04,235.0
2025-03-05,235.0
2025-03-06,235.0
2025-03-07,235.0
2025-03-08,235.0
2025-03-09,235.0
2025-03-10,235.0
2025-03-11,235.0
2025-03-12,235.0
2025-03-13,235.0
2025-03-14,235.0
2025-03-15,235.0
2025-03-16,235.0
2025-03-17,235.0
2025-03-18,235.0
2025-03-19,235.0
2025-03-20,235.0
2025-03-21,235.0
2025-03-22,235.0
2025-03-23,235.0
2025-03-24,235.0
2025-03-25,235.0
2025-03-26,235.0
2025-03-27,235.0
2025-03-28,235.0
2025-03-29,235.0
2025-03-30,235.0
2025-03-31,235.0
2025-04-01,235.0
2025-04-02,235.0
2025-04-03,235.0
2025-04-04,235.0
2025-04-05,235.0
2025-04-06,235.0
2025-04-07,235.0
2025-04-08,235.0
2025-04-09,235.0
2025-04-10,235.0
2025-04-11,235.0
2025-04-12,235.0
2025-04-13,235.0
2025-04-14,235.0
2025-04-15,235.0
2025-04-16,235.0
2025-04-17,235.0
2025-04-18,235.0
2025-04-19,235.0
2025-04-20,235.0
2025-04-21,235.0
2025-04-22,235.0
2025-04-23,235.0
2025-04-24,235.0
2025-04-25,235.0
2025-04-26,235.0
2025-04-27,235.0
2025-04-28,235.0
2025-04-29,235.0
2025-04-30,235.0
2025-05-01,235.0
2025-05-02,235.0
2025-05-03,235.0
2025-05-04,235.0
2025-05-05,235.0
2025-05-06,235.0
2025-05-07,235.0
2025-05-08,235.0
2025-05-09,235.0
2025-05-10,235.0
2025-05-11,235.0
2025-05-12,235.0
2025-05-13,235.0
2025-05-14,235.0
2025-05-15,235.0
2025-05-16,235.0
2025-05-17,235.0
2025-05-18,235.0
2025-05-19,235.0
2025-05-20,235.0
2025-05-21,235.0
2025-05-22,235.0
2025-05-23,235.0
2025-05-24,235.0
2025-05-25,235.0
2025-05-26,235.0
2025-05-27,235.0
2025-05-28,235.0
2025-05-29,235.0
2025-05-30,235.0
2025-05-31,235.0
2025-06-01,235.0
2025-06-02,235.0
2025-06-03,235.0
2025-06-04,235.0
2025-06-05,235.0
2025-06-06,235.0
2025-06-07,235.0
2025-06-08,235.0
2025-06-09,235.0
2025-06-10,235.0
2025-06-11,235.0
2025-06-12,235.0
2025-06-13,235.0
2025-06-14,235.0
2025-06-15,235.0
2025-06-16,235.0
2025-06-17,235.0
2025-06-18,235.0
2025-06-19,235.0
2025-06-20,235.0
2025-06-21,235.0
2025-06-22,235.0
2025-06-23,235.0
2025-06-24,235.0
2025-06-25,235.0
2025-06-26,235.0
2025-06-27,235.0
2025-06-28,235.0
2025-06-29,235.0
2025-06-30,235.0
2025-07-01,235.0
2025-07-02,235.0
2025-07-03,235.0
2025-07-04,235.0
2025-07-05,235.0
2025-07-06,235.0
2025-07-07,235.0
2025-07-08,235.0
2025-07-09,235.0
2025-07-10,235.0
2025-07-11,235.0
2025-07-12,235.0
2025-07-13,235.0
2025-07-14,235.0
2025-07-15,235.0
2025-07-16,235.0
2025-07-17,235.0
2025-07-18,235.0
2025-07-19,235.0
2025-07-20,235.0
2025-07-21,235.0
2025-07-22,235.0
2025-07-23,235.0
2025-07-24,235.0
2025-07-25,235.0
2025-07-26,235.0
2025-07-27,235.0
2025-07-28,235.0
2025-07-29,235.0
2025-07-30,235.0
2025-07-31,235.0
2025-08-01,235.0
2025-08-02,235.0
2025-08-03,235.0
2025-08-04,235.0
2025-08-05,235.0
2025-08-06,235.0
2025-08-07,235.0
2025-08-08,235.0
2025-08-09,235.0
2025-08-10,235.0
2025-08-11,235.0
2025-08-12,235.0
2025-08-13,235.0
2025-08-14,235.0
2025-08-15,235.0
2025-08-16,235.0
2025-08-17,235.0
2025-08-18,235.0
2025-08-19,235.0
2025-08-20,235.0
2025-08-21,235.0
2025-08-22,235.0
2025-08-23,235.0
2025-08-24,235.0
2025-08-25,235.0
2025-08-26,235.0
2025-08-27,235.0
2025-08-28,235.0
2025-08-29,235.0
2025-08-30,235.0
2025-08-31,235.0
2025-09-01,235.0
2025-09-02,235.0
2025-09-03,235.0
2025-09-04,235.0
2025-09-05,235.0
2025-09-06,235.0
2025-09-07,235.0
2025-09-08,235.0
2025-09-09,235.0
2025-09-10,235.0
2025-09-11,235.0
2025-09-12,235.0
2025-09-13,235.0
2025-09-14,235.0
2025-09-15,235.0
2025-09-16,235.0
2025-09-17,235.0
2025-09-18,235.0
2025-09-19,235.0
2025-09-20,235.0
2025-09-21,235.0
2025-09-22,235.0
2025-09-23,235.0
2025-09-24,235.0
2025-09-25,235.0
2025-09-26,235.0
2025-09-27,235.0
2025-09-28,235.0
2025-09-29,235.0
2025-09-30,235.0
2025-10-01,193.26
2025-10-02,193.26
2025-10-03,193.26
2025-10-04,193.26
2025-10-05,193.26
2025-10-06,193.26
2025-10-07,193.26
2025-10-08,193.26
2025-10-09,193.26
2025-10-10,193.26
2025-10-11,193.26
2025-10-12,193.26
2025-10-13,193.26
2025-10-14,193.26
2025-10-15,197.05
2025-10-16,197.05
2025-10-17,197.05
2025-10-18,197.05
2025-10-19,197.05
2025-10-20,197.05
2025-10-21,197.05
2025-10-22,197.05
2025-10-23,197.05
2025-10-24,197.05
2025-10-25,197.05
2025-10-26,197.05
2025-10-27,197.05
2025-10-28,197.05
2025-10-29,197.05
2025-10-30,193.26
2025-10-31,193.1
2025-11-01,194.36
2025-11-02,215.0
2025-11-03,200.49
2025-11-04,206.75
2025-11-05,205.0
2025-11-06,201.59
2025-11-07,197.56
2025-11-08,197.5
2025-11-09,200.0
2025-11-10,206.76
2025-11-11,206.81
2025-11-12,262.42
2025-11-13,273.5
2025-11-14,267.86
2025-11-15,
2025-11-16,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-22,
2025-11-23,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-11-29,
2025-11-30,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-06,
2025-12-07,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-13,
2025-12-14,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-20,
2025-12-21,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-27,
2025-12-28,
2025-12-29,
2025-12-30,
2025-12-31,
