date,price
2021-01-01,340.0
2021-01-02,320.0
2021-01-03,365.0
2021-01-04,344.17
2021-01-05,330.0
2021-01-06,321.25
2021-01-07,308.12
2021-01-08,405.0
2021-01-09,330.0
2021-01-10,327.0
2021-01-11,325.17
2021-01-12,225.0
2021-01-13,241.67
2021-01-14,324.58
2021-01-15,299.96
2021-01-16,275.33
2021-01-17,311.33
2021-01-18,284.58
2021-01-19,266.67
2021-01-20,260.0
2021-01-21,326.58
2021-01-22,313.65
2021-01-23,300.71
2021-01-24,309.43
2021-01-25,300.97
2021-01-26,266.67
2021-01-27,261.78
2021-01-28,326.12
2021-01-29,418.89
2021-01-30,379.14
2021-01-31,379.43
2021-02-01,364.44
2021-02-02,383.33
2021-02-03,351.78
2021-02-04,321.99
2021-02-05,402.22
2021-02-06,293.64
2021-02-07,368.96
2021-02-08,342.97
2021-02-09,366.25
2021-02-10,345.56
2021-02-11,320.0
2021-02-12,380.56
2021-02-13,364.72
2021-02-14,370.62
2021-02-15,335.0
2021-02-16,450.0
2021-02-17,330.0
2021-02-18,311.04
2021-02-19,420.0
2021-02-20,372.74
2021-02-21,380.42
2021-02-22,340.26
2021-02-23,342.5
2021-02-24,303.33
2021-02-25,342.78
2021-02-26,397.78
2021-02-27,365.13
2021-02-28,350.42
2021-03-01,328.6
2021-03-02,340.0
2021-03-03,302.78
2021-03-04,315.82
2021-03-05,388.1
2021-03-06,364.86
2021-03-07,376.25
2021-03-08,303.0
2021-03-09,375.0
2021-03-10,336.67
2021-03-11,315.42
2021-03-12,351.25
2021-03-13,339.69
2021-03-14,339.84
2021-03-15,340.0
2021-03-16,350.0
2021-03-17,335.0
2021-03-18,323.89
2021-03-19,370.83
2021-03-20,363.12
2021-03-21,381.25
2021-03-22,353.0
2021-03-23,350.0
2021-03-24,340.48
2021-03-25,340.36
2021-03-26,366.67
2021-03-27,345.0
2021-03-28,388.1
2021-03-29,312.36
2021-03-30,250.0
2021-03-31,332.14
2021-04-01,277.26
2021-04-02,432.14
2021-04-03,327.26
2021-04-04,354.76
2021-04-05,305.45
2021-04-06,375.0
2021-04-07,332.14
2021-04-08,285.9
2021-04-09,420.0
2021-04-10,284.64
2021-04-11,344.64
2021-04-12,280.0
2021-04-13,375.0
2021-04-14,414.29
2021-04-15,207.14
2021-04-16,388.1
2021-04-17,369.05
2021-04-18,350.0
2021-04-19,350.0
2021-04-20,375.0
2021-04-21,388.1
2021-04-22,394.05
2021-04-23,400.0
2021-04-24,266.67
2021-04-25,366.67
2021-04-26,275.0
2021-04-27,350.0
2021-04-28,366.67
2021-04-29,233.33
2021-04-30,432.14
2021-05-01,271.43
2021-05-02,388.1
2021-05-03,278.57
2021-05-04,350.0
2021-05-05,366.67
2021-05-06,282.22
2021-05-07,400.0
2021-05-08,380.0
2021-05-09,400.0
2021-05-10,353.75
2021-05-11,350.0
2021-05-12,343.75
2021-05-13,337.5
2021-05-14,351.25
2021-05-15,365.0
2021-05-16,358.33
2021-05-17,346.07
2021-05-18,325.0
2021-05-19,329.76
2021-05-20,328.1
2021-05-21,407.14
2021-05-22,369.76
2021-05-23,358.33
2021-05-24,316.25
2021-05-25,292.5
2021-05-26,363.1
2021-05-27,333.1
2021-05-28,332.6
2021-05-29,332.1
2021-05-30,363.1
2021-05-31,346.07
2021-06-01,337.5
2021-06-02,363.1
2021-06-03,328.1
2021-06-04,407.14
2021-06-05,407.14
2021-06-06,371.43
2021-06-07,319.11
2021-06-08,337.5
2021-06-09,356.25
2021-06-10,291.67
2021-06-11,407.14
2021-06-12,334.76
2021-06-13,363.1
2021-06-14,349.82
2021-06-15,337.5
2021-06-16,362.78
2021-06-17,330.0
2021-06-18,405.0
2021-06-19,368.33
2021-06-20,370.0
2021-06-21,326.11
2021-06-22,350.0
2021-06-23,321.88
2021-06-24,320.62
2021-06-25,379.17
2021-06-26,332.41
2021-06-27,331.67
2021-06-28,334.17
2021-06-29,325.0
2021-06-30,348.33
