date,price
2023-01-01,45.52
2023-01-02,50.86
2023-01-03,49.98
2023-01-04,48.24
2023-01-05,48.12
2023-01-06,46.98
2023-01-07,47.38
2023-01-08,50.0
2023-01-09,50.0
2023-01-10,49.08
2023-01-11,48.41
2023-01-12,48.5
2023-01-13,47.04
2023-01-14,47.11
2023-01-15,49.82
2023-01-16,49.63
2023-01-17,48.82
2023-01-18,48.26
2023-01-19,47.88
2023-01-20,46.82
2023-01-21,47.35
2023-01-22,49.85
2023-01-23,49.65
2023-01-24,49.08
2023-01-25,48.33
2023-01-26,47.88
2023-01-27,46.9
2023-01-28,45.77
2023-01-29,49.78
2023-01-30,49.68
2023-01-31,48.97
2023-02-01,48.07
2023-02-02,47.38
2023-02-03,46.67
2023-02-04,47.0
2023-02-05,49.94
2023-02-06,49.61
2023-02-07,48.82
2023-02-08,48.39
2023-02-09,47.75
2023-02-10,46.59
2023-02-11,46.9
2023-02-12,50.0
2023-02-13,50.16
2023-02-14,49.04
2023-02-15,48.39
2023-02-16,49.0
2023-02-17,46.72
2023-02-18,47.32
2023-02-19,49.83
2023-02-20,51.09
2023-02-21,48.83
2023-02-22,48.28
2023-02-23,47.75
2023-02-24,46.86
2023-02-25,47.24
2023-02-26,49.83
2023-02-27,49.74
2023-02-28,48.74
2023-03-01,48.27
2023-03-02,47.75
2023-03-03,46.67
2023-03-04,46.94
2023-03-05,49.55
2023-03-06,49.69
2023-03-07,48.76
2023-03-08,48.22
2023-03-09,48.0
2023-03-10,46.89
2023-03-11,47.24
2023-03-12,50.04
2023-03-13,49.7
2023-03-14,49.64
2023-03-15,48.32
2023-03-16,48.0
2023-03-17,46.83
2023-03-18,48.0
2023-03-19,49.46
2023-03-20,49.54
2023-03-21,48.55
2023-03-22,48.24
2023-03-23,48.0
2023-03-24,46.59
2023-03-25,47.56
2023-03-26,49.91
2023-03-27,49.73
2023-03-28,48.43
2023-03-29,46.64
2023-03-30,45.5
2023-03-31,46.9
2023-04-01,47.54
2023-04-02,51.26
2023-04-03,49.42
2023-04-04,48.68
2023-04-05,48.18
2023-04-06,48.67
2023-04-07,46.73
2023-04-08,47.39
2023-04-09,48.5
2023-04-10,47.98
2023-04-11,47.46
2023-04-12,48.48
2023-04-13,47.62
2023-04-14,46.87
2023-04-15,48.42
2023-04-16,50.49
2023-04-17,50.0
2023-04-18,48.33
2023-04-19,47.5
2023-04-20,47.5
2023-04-21,48.41
2023-04-22,47.3
2023-04-23,50.41
2023-04-24,50.71
2023-04-25,49.16
2023-04-26,48.42
2023-04-27,47.5
2023-04-28,48.36
2023-04-29,47.21
2023-04-30,50.58
2023-05-01,51.03
2023-05-02,49.17
