date,price
2025-01-01,135.0
2025-01-02,135.0
2025-01-03,135.0
2025-01-04,130.0
2025-01-05,135.0
2025-01-06,140.0
2025-01-07,140.0
2025-01-08,140.0
2025-01-09,140.0
2025-01-10,140.0
2025-01-11,140.0
2025-01-12,147.5
2025-01-13,155.0
2025-01-14,150.0
2025-01-15,150.0
2025-01-16,144.48
2025-01-17,143.42
2025-01-18,145.36
2025-01-19,144.96
2025-01-20,144.55
2025-01-21,142.66
2025-01-22,143.46
2025-01-23,143.54
2025-01-24,143.14
2025-01-25,143.5
2025-01-26,143.86
2025-01-27,141.77
2025-01-28,141.73
2025-01-29,142.15
2025-01-30,142.5
2025-01-31,144.33
2025-02-01,144.78
2025-02-02,146.11
2025-02-03,147.43
2025-02-04,152.01
2025-02-05,164.83
2025-02-06,168.94
2025-02-07,172.6
2025-02-08,175.1
2025-02-09,177.09
2025-02-10,179.08
2025-02-11,180.58
2025-02-12,180.87
2025-02-13,187.09
2025-02-14,187.19
2025-02-15,186.9
2025-02-16,183.88
2025-02-17,180.85
2025-02-18,182.38
2025-02-19,181.34
2025-02-20,183.8
2025-02-21,182.73
2025-02-22,183.16
2025-02-23,183.06
2025-02-24,182.97
2025-02-25,177.53
2025-02-26,177.16
2025-02-27,174.01
2025-02-28,169.66
2025-03-01,177.79
2025-03-02,168.18
2025-03-03,158.57
2025-03-04,149.52
2025-03-05,140.96
2025-03-06,136.05
2025-03-07,134.24
2025-03-08,134.3
2025-03-09,130.0
2025-03-10,125.71
2025-03-11,122.48
2025-03-12,123.09
2025-03-13,120.12
2025-03-14,119.34
2025-03-15,117.2
2025-03-16,115.35
2025-03-17,113.5
2025-03-18,114.02
2025-03-19,111.76
2025-03-20,111.01
2025-03-21,110.26
2025-03-22,109.11
2025-03-23,109.68
2025-03-24,110.26
2025-03-25,112.5
2025-03-26,114.49
2025-03-27,110.64
2025-03-28,110.36
2025-03-29,113.14
2025-03-30,112.92
2025-03-31,112.7
2025-04-01,113.12
2025-04-02,113.55
2025-04-03,113.13
2025-04-04,112.32
2025-04-05,114.24
2025-04-06,113.74
2025-04-07,113.25
2025-04-08,113.8
2025-04-09,112.1
2025-04-10,114.05
2025-04-11,113.58
2025-04-12,113.08
2025-04-13,112.94
2025-04-14,112.81
2025-04-15,112.8
2025-04-16,112.8
2025-04-17,112.47
2025-04-18,112.14
2025-04-19,111.82
2025-04-20,111.49
2025-04-21,111.16
2025-04-22,113.43
2025-04-23,114.93
2025-04-24,115.14
2025-04-25,115.62
2025-04-26,117.05
2025-04-27,117.36
2025-04-28,117.68
2025-04-29,117.44
2025-04-30,117.17
2025-05-01,116.95
2025-05-02,119.27
2025-05-03,121.18
2025-05-04,122.84
2025-05-05,124.49
2025-05-06,124.7
2025-05-07,124.93
2025-05-08,125.61
2025-05-09,126.51
2025-05-10,127.11
2025-05-11,105.02
2025-05-12,82.93
2025-05-13,128.19
2025-05-14,131.0
2025-05-15,130.95
2025-05-16,130.67
2025-05-17,131.29
2025-05-18,131.22
2025-05-19,131.15
2025-05-20,131.23
2025-05-21,132.38
2025-05-22,131.99
2025-05-23,130.98
2025-05-24,131.98
2025-05-25,132.7
2025-05-26,133.41
2025-05-27,133.08
2025-05-28,133.17
2025-05-29,132.12
2025-05-30,132.77
2025-05-31,132.38
2025-06-01,132.88
2025-06-02,133.39
2025-06-03,132.41
2025-06-04,131.9
2025-06-05,131.42
2025-06-06,132.89
2025-06-07,131.36
2025-06-08,131.74
2025-06-09,132.13
2025-06-10,131.41
2025-06-11,130.99
2025-06-12,133.19
2025-06-13,131.4
2025-06-14,131.4
2025-06-15,131.68
2025-06-16,131.68
2025-06-17,131.68
2025-06-18,131.97
2025-06-19,131.81
2025-06-20,131.44
2025-06-21,131.17
2025-06-22,132.15
2025-06-23,133.14
2025-06-24,133.31
2025-06-25,133.17
2025-06-26,133.52
2025-06-27,133.45
2025-06-28,133.03
2025-06-29,133.1
2025-06-30,133.17
2025-07-01,135.33
2025-07-02,135.32
2025-07-03,135.32
2025-07-04,135.78
2025-07-05,135.55
2025-07-06,136.26
2025-07-07,136.98
2025-07-08,137.77
2025-07-09,137.71
2025-07-10,137.65
2025-07-11,138.23
2025-07-12,138.84
2025-07-13,139.77
2025-07-14,140.7
2025-07-15,141.75
2025-07-16,141.9
2025-07-17,142.38
2025-07-18,143.23
2025-07-19,142.73
2025-07-20,143.27
2025-07-21,143.81
2025-07-22,146.33
2025-07-23,146.31
2025-07-24,145.57
2025-07-25,147.09
2025-07-26,145.98
2025-07-27,147.18
2025-07-28,148.39
2025-07-29,147.84
2025-07-30,149.16
2025-07-31,148.5
2025-08-01,145.0
2025-08-02,145.0
2025-08-03,145.0
2025-08-04,145.0
2025-08-05,145.0
2025-08-06,145.0
2025-08-07,145.0
2025-08-08,145.0
2025-08-09,145.0
2025-08-10,145.0
2025-08-11,145.0
2025-08-12,145.0
2025-08-13,150.0
2025-08-14,150.0
2025-08-15,150.0
2025-08-16,150.0
2025-08-17,150.0
2025-08-18,150.0
2025-08-19,150.0
2025-08-20,150.0
2025-08-21,155.0
2025-08-22,155.0
2025-08-23,155.0
2025-08-24,152.5
2025-08-25,150.0
2025-08-26,145.0
2025-08-27,150.0
2025-08-28,152.5
2025-08-29,152.5
2025-08-30,152.5
2025-08-31,151.25
2025-09-01,150.0
2025-09-02,152.5
2025-09-03,152.5
2025-09-04,152.5
2025-09-05,152.5
2025-09-06,152.5
2025-09-07,152.5
2025-09-08,152.5
2025-09-09,152.5
2025-09-10,152.5
2025-09-11,152.5
2025-09-12,152.5
2025-09-13,152.5
2025-09-14,151.25
2025-09-15,150.0
2025-09-16,152.5
2025-09-17,152.5
2025-09-18,152.5
2025-09-19,155.0
2025-09-20,150.0
2025-09-21,150.0
2025-09-22,150.0
2025-09-23,152.5
2025-09-24,150.0
2025-09-25,150.0
2025-09-26,150.0
2025-09-27,152.5
2025-09-28,151.25
2025-09-29,150.0
2025-09-30,150.0
2025-10-01,155.23
2025-10-02,155.2
2025-10-03,155.18
2025-10-04,156.05
2025-10-05,156.5
2025-10-06,156.96
2025-10-07,156.41
2025-10-08,156.49
2025-10-09,155.66
2025-10-10,153.85
2025-10-11,154.73
2025-10-12,154.06
2025-10-13,153.39
2025-10-14,156.15
2025-10-15,155.44
2025-10-16,155.24
2025-10-17,153.19
2025-10-18,153.67
2025-10-19,154.02
2025-10-20,154.38
2025-10-21,153.98
2025-10-22,153.94
2025-10-23,154.1
2025-10-24,154.26
2025-10-25,154.42
2025-10-26,154.59
2025-10-27,154.75
2025-10-28,154.91
2025-10-29,155.07
2025-10-30,155.24
2025-10-31,155.24
2025-11-01,153.85
2025-11-02,159.17
2025-11-03,157.74
2025-11-04,159.63
2025-11-05,163.15
2025-11-06,166.44
2025-11-07,178.16
2025-11-08,183.94
2025-11-09,205.0
2025-11-10,203.24
2025-11-11,215.11
2025-11-12,225.75
2025-11-13,241.03
2025-11-14,247.13
2025-11-15,
2025-11-16,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-22,
2025-11-23,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-11-29,
2025-11-30,
2025-12-01,
