date,price
2021-01-01,38.0
2021-01-02,41.96
2021-01-03,41.83
2021-01-04,40.89
2021-01-05,41.12
2021-01-06,38.51
2021-01-07,38.38
2021-01-08,41.38
2021-01-09,40.7
2021-01-10,40.02
2021-01-11,40.34
2021-01-12,41.17
2021-01-13,38.32
2021-01-14,38.64
2021-01-15,41.22
2021-01-16,41.24
2021-01-17,40.13
2021-01-18,39.94
2021-01-19,41.5
2021-01-20,38.4
2021-01-21,38.15
2021-01-22,41.46
2021-01-23,41.15
2021-01-24,39.78
2021-01-25,40.11
2021-01-26,41.62
2021-01-27,37.78
2021-01-28,27.61
2021-01-29,41.3
2021-01-30,40.95
2021-01-31,40.41
2021-02-01,40.31
2021-02-02,41.12
2021-02-03,37.5
2021-02-04,37.86
2021-02-05,41.3
2021-02-06,40.56
2021-02-07,40.01
2021-02-08,40.21
2021-02-09,40.62
2021-02-10,37.41
2021-02-11,38.04
2021-02-12,41.48
2021-02-13,41.11
2021-02-14,40.42
2021-02-15,39.99
2021-02-16,41.67
2021-02-17,37.72
2021-02-18,38.09
2021-02-19,41.37
2021-02-20,42.38
2021-02-21,40.0
2021-02-22,39.97
2021-02-23,40.5
2021-02-24,37.55
2021-02-25,37.91
2021-02-26,40.88
2021-02-27,40.4
2021-02-28,39.94
2021-03-01,40.01
2021-03-02,40.5
2021-03-03,37.82
2021-03-04,38.14
2021-03-05,40.91
2021-03-06,40.69
2021-03-07,40.14
2021-03-08,40.09
2021-03-09,41.25
2021-03-10,37.72
2021-03-11,37.89
2021-03-12,40.84
2021-03-13,40.63
2021-03-14,41.35
2021-03-15,40.02
2021-03-16,40.75
2021-03-17,37.65
2021-03-18,38.95
2021-03-19,40.68
2021-03-20,40.57
2021-03-21,39.93
2021-03-22,40.03
2021-03-23,41.25
2021-03-24,37.6
2021-03-25,38.9
2021-03-26,41.46
2021-03-27,40.57
2021-03-28,40.09
2021-03-29,38.17
2021-03-30,37.67
2021-03-31,37.7
2021-04-01,37.88
2021-04-02,41.77
2021-04-03,40.93
2021-04-04,40.44
2021-04-05,40.23
2021-04-06,41.83
2021-04-07,38.14
2021-04-08,38.19
2021-04-09,39.12
2021-04-10,40.14
2021-04-11,38.7
2021-04-12,41.17
2021-04-13,41.0
2021-04-14,38.08
2021-04-15,39.08
2021-04-16,42.72
2021-04-17,43.25
2021-04-18,41.33
2021-04-19,40.5
2021-04-20,40.75
2021-04-21,40.67
2021-04-22,38.39
2021-04-23,42.41
2021-04-24,42.08
2021-04-25,41.02
2021-04-26,40.52
2021-04-27,41.0
2021-04-28,40.63
2021-04-29,38.32
2021-04-30,42.05
2021-05-01,42.51
2021-05-02,40.9
2021-05-03,40.63
2021-05-04,40.75
2021-05-05,40.64
2021-05-06,38.37
2021-05-07,44.3
2021-05-08,42.66
2021-05-09,42.33
2021-05-10,41.03
2021-05-11,40.88
2021-05-12,40.7
2021-05-13,38.26
2021-05-14,42.15
2021-05-15,41.98
2021-05-16,40.98
2021-05-17,40.47
2021-05-18,40.75
2021-05-19,40.58
2021-05-20,38.26
2021-05-21,42.46
2021-05-22,41.95
2021-05-23,41.16
2021-05-24,40.29
2021-05-25,40.75
2021-05-26,40.9
2021-05-27,38.22
2021-05-28,41.89
2021-05-29,41.82
2021-05-30,40.73
2021-05-31,40.36
2021-06-01,40.62
2021-06-02,40.21
2021-06-03,38.55
2021-06-04,41.2
2021-06-05,41.24
2021-06-06,40.55
2021-06-07,40.04
2021-06-08,40.62
2021-06-09,40.13
2021-06-10,40.69
2021-06-11,41.26
2021-06-12,41.32
2021-06-13,40.76
2021-06-14,40.2
2021-06-15,40.62
2021-06-16,40.12
2021-06-17,40.71
2021-06-18,41.3
2021-06-19,41.2
2021-06-20,40.59
2021-06-21,40.61
2021-06-22,40.62
2021-06-23,40.14
2021-06-24,40.64
2021-06-25,41.14
2021-06-26,41.14
2021-06-27,40.87
2021-06-28,40.36
2021-06-29,40.75
2021-06-30,40.24
2021-07-01,40.5
2021-07-02,40.75
2021-07-03,41.84
2021-07-04,41.18
2021-07-05,41.16
2021-07-06,42.0
2021-07-07,39.7
2021-07-08,37.91
2021-07-09,40.3
2021-07-10,40.54
2021-07-11,40.04
2021-07-12,40.44
2021-07-13,40.62
2021-07-14,39.87
2021-07-15,40.31
2021-07-16,40.74
2021-07-17,41.24
2021-07-18,40.09
2021-07-19,40.64
2021-07-20,41.12
2021-07-21,39.99
2021-07-22,38.11
2021-07-23,40.52
2021-07-24,40.84
2021-07-25,40.5
2021-07-26,40.56
2021-07-27,41.0
2021-07-28,40.08
2021-07-29,40.28
2021-07-30,40.48
2021-07-31,41.13
2021-08-01,41.12
2021-08-02,40.7
2021-08-03,41.0
2021-08-04,40.3
2021-08-05,40.28
2021-08-06,40.25
2021-08-07,42.17
2021-08-08,40.8
2021-08-09,40.9
2021-08-10,41.75
2021-08-11,40.42
2021-08-12,40.65
2021-08-13,40.88
2021-08-14,42.38
2021-08-15,41.1
2021-08-16,41.3
2021-08-17,42.88
2021-08-18,40.58
2021-08-19,37.88
2021-08-20,40.25
2021-08-21,44.38
2021-08-22,41.8
2021-08-23,41.8
2021-08-24,42.88
2021-08-25,41.17
2021-08-26,37.88
2021-08-27,40.0
2021-08-28,42.62
2021-08-29,41.9
2021-08-30,41.9
2021-08-31,43.0
2021-09-01,41.25
2021-09-02,40.62
2021-09-03,40.0
2021-09-04,40.65
2021-09-05,41.3
2021-09-06,41.2
2021-09-07,42.12
2021-09-08,40.67
2021-09-09,40.4
2021-09-10,40.12
2021-09-11,41.38
2021-09-12,40.9
2021-09-13,40.7
2021-09-14,40.38
2021-09-15,40.33
2021-09-16,37.51
2021-09-17,39.37
2021-09-18,40.68
2021-09-19,39.99
2021-09-20,40.34
2021-09-21,40.46
2021-09-22,40.67
2021-09-23,37.78
2021-09-24,39.26
2021-09-25,39.33
2021-09-26,39.27
2021-09-27,39.55
2021-09-28,39.96
2021-09-29,40.58
2021-09-30,38.16
2021-10-01,39.71
2021-10-02,39.85
2021-10-03,39.82
2021-10-04,39.78
2021-10-05,39.86
2021-10-06,40.25
2021-10-07,37.44
2021-10-08,39.22
2021-10-09,40.19
2021-10-10,39.83
2021-10-11,39.86
2021-10-12,40.24
2021-10-13,40.2
2021-10-14,37.66
2021-10-15,38.47
2021-10-16,39.85
2021-10-17,39.54
2021-10-18,39.59
2021-10-19,40.0
2021-10-20,39.87
2021-10-21,37.3
2021-10-22,38.77
2021-10-23,39.9
2021-10-24,40.36
2021-10-25,39.78
2021-10-26,39.67
2021-10-27,40.4
2021-10-28,37.28
2021-10-29,37.04
2021-10-30,37.13
2021-10-31,37.07
2021-11-01,37.15
2021-11-02,37.67
2021-11-03,37.0
2021-11-04,37.02
2021-11-05,37.02
2021-11-06,37.02
2021-11-07,37.02
2021-11-08,36.99
2021-11-09,37.25
2021-11-10,37.21
2021-11-11,37.25
2021-11-12,37.32
2021-11-13,37.28
2021-11-14,37.3
2021-11-15,39.43
2021-11-16,39.51
2021-11-17,40.7
2021-11-18,37.69
2021-11-19,38.93
2021-11-20,39.92
2021-11-21,40.75
2021-11-22,39.5
2021-11-23,39.47
2021-11-24,40.1
2021-11-25,39.4
2021-11-26,38.69
2021-11-27,39.97
2021-11-28,39.38
2021-11-29,39.39
2021-11-30,39.48
2021-12-01,40.62
2021-12-02,37.26
2021-12-03,38.82
2021-12-04,40.05
2021-12-05,38.98
2021-12-06,39.53
2021-12-07,39.53
2021-12-08,41.0
2021-12-09,37.14
2021-12-10,39.18
2021-12-11,40.59
2021-12-12,40.13
2021-12-13,39.88
2021-12-14,39.66
2021-12-15,41.2
2021-12-16,37.74
2021-12-17,38.96
2021-12-18,40.67
2021-12-19,40.68
2021-12-20,39.94
2021-12-21,39.95
2021-12-22,41.4
2021-12-23,37.18
2021-12-24,40.75
2021-12-25,43.5
2021-12-26,39.3
2021-12-27,41.28
2021-12-28,40.78
2021-12-29,41.4
2021-12-30,40.95
2021-12-31,40.5
