date,price
2020-01-01,54.0
2020-01-02,56.12
2020-01-03,56.76
2020-01-04,54.49
2020-01-05,53.75
2020-01-06,53.22
2020-01-07,53.04
2020-01-08,55.74
2020-01-09,56.79
2020-01-10,55.37
2020-01-11,54.52
2020-01-12,55.0
2020-01-13,53.26
2020-01-14,52.94
2020-01-15,55.76
2020-01-16,56.43
2020-01-17,55.73
2020-01-18,54.72
2020-01-19,54.88
2020-01-20,53.24
2020-01-21,53.11
2020-01-22,55.8
2020-01-23,56.78
2020-01-24,55.5
2020-01-25,54.58
2020-01-26,53.75
2020-01-27,53.25
2020-01-28,51.5
2020-01-29,55.88
2020-01-30,56.78
2020-01-31,55.43
2020-02-01,54.46
2020-02-02,53.75
2020-02-03,53.15
2020-02-04,53.0
2020-02-05,55.23
2020-02-06,56.29
2020-02-07,55.06
2020-02-08,54.38
2020-02-09,53.5
2020-02-10,53.09
2020-02-11,52.91
2020-02-12,55.48
2020-02-13,56.64
2020-02-14,55.27
2020-02-15,54.46
2020-02-16,54.67
2020-02-17,53.14
2020-02-18,52.98
2020-02-19,55.59
2020-02-20,55.4
2020-02-21,55.22
2020-02-22,54.47
2020-02-23,53.88
2020-02-24,53.0
2020-02-25,52.76
2020-02-26,55.83
2020-02-27,56.61
2020-02-28,55.19
2020-02-29,54.38
2020-03-01,53.62
2020-03-02,53.09
2020-03-03,52.88
2020-03-04,55.46
2020-03-05,56.43
2020-03-06,55.23
2020-03-07,54.46
2020-03-08,53.75
2020-03-09,53.09
2020-03-10,52.88
2020-03-11,55.76
2020-03-12,56.61
2020-03-13,55.88
2020-03-14,54.43
2020-03-15,53.75
2020-03-16,52.99
2020-03-17,52.95
2020-03-18,54.91
2020-03-19,55.98
2020-03-20,54.98
2020-03-21,54.06
2020-03-22,53.75
2020-03-23,53.03
2020-03-24,52.87
2020-03-25,55.8
2020-03-26,56.36
2020-03-27,55.19
2020-03-28,52.82
2020-03-29,51.33
2020-03-30,53.05
2020-03-31,53.68
2020-04-01,57.5
2020-04-02,56.74
2020-04-03,55.34
2020-04-04,54.35
2020-04-05,54.0
2020-04-06,52.93
2020-04-07,53.52
2020-04-08,54.07
2020-04-09,54.06
2020-04-10,54.05
2020-04-11,54.75
2020-04-12,54.0
2020-04-13,53.85
2020-04-14,54.15
2020-04-15,56.75
2020-04-16,58.0
2020-04-17,55.5
2020-04-18,54.0
2020-04-19,54.0
2020-04-20,54.78
2020-04-21,52.66
2020-04-22,56.63
2020-04-23,57.94
2020-04-24,55.94
2020-04-25,54.86
2020-04-26,54.0
2020-04-27,54.4
2020-04-28,52.51
2020-04-29,56.5
2020-04-30,57.75
2020-05-01,55.66
2020-05-02,54.51
2020-05-03,53.75
2020-05-04,54.45
2020-05-05,52.62
2020-05-06,59.68
2020-05-07,57.81
2020-05-08,57.78
2020-05-09,54.63
2020-05-10,53.88
2020-05-11,54.52
2020-05-12,52.64
2020-05-13,56.51
2020-05-14,57.81
2020-05-15,55.88
2020-05-16,54.68
2020-05-17,53.88
2020-05-18,54.39
2020-05-19,52.64
2020-05-20,56.48
2020-05-21,57.63
2020-05-22,55.72
2020-05-23,54.54
2020-05-24,53.75
2020-05-25,54.53
2020-05-26,52.56
2020-05-27,56.41
2020-05-28,57.79
2020-05-29,55.7
2020-05-30,54.58
2020-05-31,53.75
2020-06-01,53.89
2020-06-02,54.43
2020-06-03,54.96
2020-06-04,54.73
2020-06-05,54.49
2020-06-06,54.45
2020-06-07,53.5
2020-06-08,53.54
2020-06-09,51.97
2020-06-10,54.6
2020-06-11,55.83
2020-06-12,55.6
2020-06-13,54.48
2020-06-14,53.75
2020-06-15,53.96
2020-06-16,52.6
2020-06-17,55.82
2020-06-18,56.13
2020-06-19,55.46
2020-06-20,52.7
2020-06-21,53.75
2020-06-22,54.63
2020-06-23,53.19
2020-06-24,54.69
2020-06-25,55.69
2020-06-26,55.69
2020-06-27,54.53
2020-06-28,53.75
2020-06-29,53.78
2020-06-30,53.15
2020-07-01,54.81
2020-07-02,54.74
2020-07-03,54.68
2020-07-04,54.69
2020-07-05,53.67
2020-07-06,53.79
2020-07-07,52.59
2020-07-08,54.7
2020-07-09,55.7
2020-07-10,54.56
2020-07-11,54.56
2020-07-12,53.75
2020-07-13,53.85
2020-07-14,54.25
2020-07-15,54.65
2020-07-16,55.64
2020-07-17,54.4
2020-07-18,54.6
2020-07-19,53.75
2020-07-20,53.68
2020-07-21,53.94
2020-07-22,54.2
2020-07-23,55.41
2020-07-24,54.3
2020-07-25,54.61
2020-07-26,53.38
2020-07-27,54.58
2020-07-28,54.41
2020-07-29,54.25
2020-07-30,55.22
2020-07-31,55.0
2020-08-01,55.0
2020-08-02,53.62
2020-08-03,54.3
2020-08-04,54.15
2020-08-05,54.0
2020-08-06,54.0
2020-08-07,54.0
2020-08-08,53.9
2020-08-09,53.5
2020-08-10,53.25
2020-08-11,51.62
2020-08-12,53.88
2020-08-13,54.09
2020-08-14,54.3
2020-08-15,54.6
2020-08-16,53.88
2020-08-17,54.42
2020-08-18,54.4
2020-08-19,54.38
2020-08-20,56.38
2020-08-21,55.0
2020-08-22,54.4
2020-08-23,54.75
2020-08-24,54.25
2020-08-25,54.31
2020-08-26,54.38
2020-08-27,54.79
2020-08-28,55.2
2020-08-29,55.3
2020-08-30,54.88
2020-08-31,54.5
2020-09-01,54.44
2020-09-02,54.38
2020-09-03,55.88
2020-09-04,56.0
2020-09-05,55.1
2020-09-06,54.75
2020-09-07,54.5
2020-09-08,54.38
2020-09-09,54.25
2020-09-10,57.5
2020-09-11,55.9
2020-09-12,54.9
2020-09-13,54.13
2020-09-14,54.67
2020-09-15,54.3
2020-09-16,53.94
2020-09-17,54.29
2020-09-18,54.64
2020-09-19,55.6
2020-09-20,54.25
2020-09-21,54.0
2020-09-22,54.02
2020-09-23,54.05
2020-09-24,55.44
2020-09-25,55.07
2020-09-26,54.3
2020-09-27,54.28
2020-09-28,54.42
2020-09-29,54.3
2020-09-30,54.17
2020-10-01,54.55
2020-10-02,54.92
2020-10-03,54.94
2020-10-04,54.43
2020-10-05,54.34
2020-10-06,54.17
2020-10-07,54.01
2020-10-08,54.32
2020-10-09,54.64
