date,price
2019-01-01,42.0
2019-01-02,43.89
2019-01-03,43.77
2019-01-04,43.56
2019-01-05,44.62
2019-01-06,42.38
2019-01-07,42.47
2019-01-08,44.35
2019-01-09,44.22
2019-01-10,43.54
2019-01-11,43.82
2019-01-12,45.67
2019-01-13,42.39
2019-01-14,42.7
2019-01-15,45.68
2019-01-16,44.92
2019-01-17,44.08
2019-01-18,43.88
2019-01-19,44.25
2019-01-20,41.7
2019-01-21,42.6
2019-01-22,45.64
2019-01-23,44.92
2019-01-24,43.43
2019-01-25,44.47
2019-01-26,44.25
2019-01-27,42.31
2019-01-28,41.25
2019-01-29,45.74
2019-01-30,45.02
2019-01-31,43.77
2019-02-01,43.31
2019-02-02,44.25
2019-02-03,42.34
2019-02-04,42.7
2019-02-05,45.94
2019-02-06,45.04
2019-02-07,43.97
2019-02-08,44.01
2019-02-09,44.25
2019-02-10,42.25
2019-02-11,42.7
2019-02-12,45.84
2019-02-13,44.98
2019-02-14,44.06
2019-02-15,44.08
2019-02-16,45.83
2019-02-17,42.43
2019-02-18,42.72
2019-02-19,45.66
2019-02-20,46.27
2019-02-21,44.31
2019-02-22,43.44
2019-02-23,43.5
2019-02-24,41.54
2019-02-25,42.7
2019-02-26,45.62
2019-02-27,45.34
2019-02-28,44.21
2019-03-01,43.22
2019-03-02,44.12
2019-03-03,42.43
2019-03-04,42.72
2019-03-05,44.58
2019-03-06,45.24
2019-03-07,43.77
2019-03-08,44.06
2019-03-09,43.38
2019-03-10,41.8
2019-03-11,42.12
2019-03-12,43.43
2019-03-13,42.81
2019-03-14,42.73
2019-03-15,42.51
2019-03-16,42.46
2019-03-17,42.41
2019-03-18,43.34
2019-03-19,43.16
2019-03-20,45.07
2019-03-21,44.31
2019-03-22,43.51
2019-03-23,45.0
2019-03-24,42.3
2019-03-25,43.42
2019-03-26,46.1
2019-03-27,45.31
2019-03-28,44.07
2019-03-29,42.24
2019-03-30,42.17
2019-03-31,42.27
2019-04-01,41.8
2019-04-02,46.55
2019-04-03,44.97
2019-04-04,44.2
2019-04-05,44.2
2019-04-06,45.67
2019-04-07,42.0
2019-04-08,42.63
2019-04-09,44.12
2019-04-10,45.33
2019-04-11,42.76
2019-04-12,44.72
2019-04-13,44.5
2019-04-14,42.66
2019-04-15,43.69
2019-04-16,47.04
2019-04-17,47.0
2019-04-18,44.67
2019-04-19,43.5
2019-04-20,43.5
2019-04-21,43.4
2019-04-22,42.37
2019-04-23,45.58
2019-04-24,46.34
2019-04-25,44.74
2019-04-26,43.84
2019-04-27,44.5
2019-04-28,44.64
2019-04-29,44.87
2019-04-30,45.11
2019-05-01,44.95
2019-05-02,44.78
2019-05-03,43.85
2019-05-04,43.5
2019-05-05,43.86
2019-05-06,43.07
2019-05-07,48.25
2019-05-08,46.4
2019-05-09,46.28
2019-05-10,43.8
2019-05-11,44.5
