date,price
2023-01-01,60.0
2023-01-02,61.7
2023-01-03,60.62
2023-01-04,57.66
2023-01-05,58.75
2023-01-06,57.92
2023-01-07,57.51
2023-01-08,61.74
2023-01-09,56.86
2023-01-10,58.12
2023-01-11,56.72
2023-01-12,55.83
2023-01-13,60.83
2023-01-14,57.59
2023-01-15,60.65
2023-01-16,56.25
2023-01-17,58.23
2023-01-18,55.91
2023-01-19,56.88
2023-01-20,59.01
2023-01-21,57.46
2023-01-22,60.16
2023-01-23,55.92
2023-01-24,58.46
2023-01-25,57.36
2023-01-26,58.12
2023-01-27,58.6
2023-01-28,57.25
2023-01-29,60.14
2023-01-30,55.64
2023-01-31,57.47
2023-02-01,56.39
2023-02-02,56.88
2023-02-03,57.4
2023-02-04,58.02
2023-02-05,60.92
2023-02-06,56.46
2023-02-07,57.88
2023-02-08,57.4
2023-02-09,56.88
2023-02-10,57.55
2023-02-11,57.5
2023-02-12,57.36
2023-02-13,57.22
2023-02-14,57.55
2023-02-15,55.68
2023-02-16,55.0
2023-02-17,59.01
2023-02-18,59.11
2023-02-19,61.08
2023-02-20,57.0
2023-02-21,58.59
2023-02-22,56.88
2023-02-23,56.88
2023-02-24,58.32
2023-02-25,61.0
2023-02-26,61.3
2023-02-27,56.25
2023-02-28,58.4
2023-03-01,56.39
2023-03-02,58.12
2023-03-03,58.3
2023-03-04,57.4
2023-03-05,61.48
2023-03-06,56.49
2023-03-07,59.32
2023-03-08,55.73
2023-03-09,58.12
2023-03-10,55.49
2023-03-11,56.56
2023-03-12,56.7
2023-03-13,56.84
2023-03-14,61.53
2023-03-15,57.4
2023-03-16,58.12
2023-03-17,58.03
2023-03-18,61.53
2023-03-19,63.37
2023-03-20,60.9
2023-03-21,59.59
2023-03-22,58.87
2023-03-23,58.12
2023-03-24,59.11
2023-03-25,61.22
2023-03-26,63.34
2023-03-27,58.63
2023-03-28,60.9
2023-03-29,59.17
2023-03-30,58.33
2023-03-31,61.04
2023-04-01,58.98
2023-04-02,58.99
2023-04-03,58.99
2023-04-04,60.83
2023-04-05,59.36
2023-04-06,61.67
2023-04-07,61.66
2023-04-08,60.26
2023-04-09,66.69
2023-04-10,61.14
2023-04-11,62.52
2023-04-12,60.22
2023-04-13,60.0
2023-04-14,60.45
2023-04-15,60.26
2023-04-16,65.92
2023-04-17,56.42
2023-04-18,60.0
2023-04-19,60.0
2023-04-20,58.75
2023-04-21,61.43
2023-04-22,60.76
2023-04-23,60.77
2023-04-24,60.78
2023-04-25,61.99
2023-04-26,60.34
2023-04-27,58.75
2023-04-28,62.81
2023-04-29,60.76
2023-04-30,63.43
2023-05-01,58.38
2023-05-02,61.29
2023-05-03,59.76
2023-05-04,60.0
2023-05-05,62.79
2023-05-06,61.2
2023-05-07,61.1
2023-05-08,61.01
2023-05-09,67.72
2023-05-10,60.13
2023-05-11,63.12
2023-05-12,63.57
2023-05-13,63.85
2023-05-14,65.83
2023-05-15,61.24
2023-05-16,63.79
2023-05-17,60.34
