date,price
2022-01-01,70.0
2022-01-02,71.56
2022-01-03,73.12
2022-01-04,72.35
2022-01-05,70.0
2022-01-06,67.31
2022-01-07,71.15
2022-01-08,68.16
2022-01-09,67.04
2022-01-10,69.46
2022-01-11,68.1
2022-01-12,65.0
2022-01-13,67.0
2022-01-14,68.17
2022-01-15,68.86
2022-01-16,67.16
2022-01-17,67.02
2022-01-18,68.77
2022-01-19,65.0
2022-01-20,62.96
2022-01-21,64.56
2022-01-22,68.21
2022-01-23,67.77
2022-01-24,63.27
2022-01-25,61.61
2022-01-26,63.75
2022-01-27,58.71
2022-01-28,63.49
2022-01-29,64.34
2022-01-30,59.79
2022-01-31,59.2
2022-02-01,62.43
2022-02-02,68.75
2022-02-03,61.58
2022-02-04,65.49
2022-02-05,66.74
2022-02-06,58.78
2022-02-07,60.01
2022-02-08,61.26
2022-02-09,63.75
2022-02-10,58.7
2022-02-11,64.53
2022-02-12,67.05
2022-02-13,60.21
2022-02-14,58.55
2022-02-15,57.77
2022-02-16,58.33
2022-02-17,56.24
2022-02-18,60.0
2022-02-19,60.78
2022-02-20,61.14
2022-02-21,58.97
2022-02-22,57.27
2022-02-23,55.0
2022-02-24,56.64
2022-02-25,60.41
2022-02-26,60.1
2022-02-27,54.91
2022-02-28,56.34
2022-03-01,55.76
2022-03-02,55.25
2022-03-03,54.74
2022-03-04,59.0
2022-03-05,57.45
2022-03-06,54.56
2022-03-07,61.07
2022-03-08,58.18
2022-03-09,56.88
2022-03-10,58.61
2022-03-11,58.08
2022-03-12,58.92
2022-03-13,60.88
2022-03-14,64.02
2022-03-15,59.05
2022-03-16,58.75
2022-03-17,57.33
2022-03-18,56.97
2022-03-19,60.04
2022-03-20,62.0
2022-03-21,62.75
2022-03-22,60.56
2022-03-23,58.75
2022-03-24,61.36
2022-03-25,60.06
2022-03-26,65.27
2022-03-27,67.63
2022-03-28,65.52
2022-03-29,59.58
2022-03-30,55.0
2022-03-31,61.5
2022-04-01,65.66
2022-04-02,70.11
2022-04-03,68.64
2022-04-04,66.82
2022-04-05,66.63
2022-04-06,65.83
2022-04-07,65.19
2022-04-08,63.99
2022-04-09,65.1
2022-04-10,65.69
2022-04-11,66.29
2022-04-12,67.31
2022-04-13,67.06
2022-04-14,66.81
2022-04-15,62.77
2022-04-16,65.94
2022-04-17,80.0
2022-04-18,75.83
2022-04-19,70.0
2022-04-20,72.5
2022-04-21,77.08
2022-04-22,69.16
2022-04-23,71.22
2022-04-24,87.18
2022-04-25,85.36
2022-04-26,72.5
2022-04-27,68.12
2022-04-28,78.72
2022-04-29,67.01
2022-04-30,73.3
2022-05-01,89.89
2022-05-02,82.23
2022-05-03,77.95
2022-05-04,74.38
2022-05-05,76.81
2022-05-06,71.03
2022-05-07,80.86
2022-05-08,85.83
2022-05-09,91.96
2022-05-10,79.22
2022-05-11,75.0
2022-05-12,78.91
2022-05-13,71.39
2022-05-14,76.2
2022-05-15,86.41
2022-05-16,82.34
2022-05-17,77.88
2022-05-18,71.25
2022-05-19,75.76
2022-05-20,67.6
2022-05-21,79.76
2022-05-22,79.11
2022-05-23,74.43
2022-05-24,72.23
2022-05-25,70.0
2022-05-26,76.44
2022-05-27,67.02
2022-05-28,90.22
2022-05-29,104.28
2022-05-30,95.89
2022-05-31,91.65
2022-06-01,90.0
2022-06-02,88.29
2022-06-03,71.7
2022-06-04,91.88
2022-06-05,108.22
2022-06-06,99.6
2022-06-07,98.65
2022-06-08,102.5
2022-06-09,93.99
2022-06-10,77.4
2022-06-11,101.1
2022-06-12,98.1
2022-06-13,100.78
2022-06-14,100.68
2022-06-15,108.75
2022-06-16,95.94
2022-06-17,86.89
2022-06-18,106.1
2022-06-19,101.77
2022-06-20,96.86
2022-06-21,90.28
2022-06-22,112.5
2022-06-23,100.3
2022-06-24,92.95
2022-06-25,104.1
2022-06-26,98.77
2022-06-27,91.09
2022-06-28,96.45
2022-06-29,96.88
2022-06-30,89.71
2022-07-01,86.85
2022-07-02,93.18
2022-07-03,83.41
2022-07-04,76.89
2022-07-05,82.23
2022-07-06,80.0
2022-07-07,77.62
2022-07-08,73.27
2022-07-09,75.85
2022-07-10,74.48
2022-07-11,73.21
2022-07-12,74.49
2022-07-13,66.88
2022-07-14,68.18
2022-07-15,69.83
2022-07-16,69.44
2022-07-17,73.18
2022-07-18,74.44
2022-07-19,73.63
2022-07-20,67.5
2022-07-21,71.4
2022-07-22,71.01
2022-07-23,71.64
2022-07-24,83.6
2022-07-25,82.0
2022-07-26,96.87
2022-07-27,92.5
2022-07-28,99.78
2022-07-29,88.89
2022-07-30,115.21
2022-07-31,119.7
2022-08-01,127.5
2022-08-02,125.0
2022-08-03,127.5
2022-08-04,130.0
2022-08-05,127.5
2022-08-06,125.0
2022-08-07,124.5
2022-08-08,124.0
2022-08-09,127.0
2022-08-10,108.75
2022-08-11,117.5
2022-08-12,97.5
2022-08-13,108.75
2022-08-14,106.62
2022-08-15,104.5
2022-08-16,99.0
2022-08-17,102.5
2022-08-18,90.83
2022-08-19,83.75
2022-08-20,83.75
2022-08-21,96.25
2022-08-22,91.0
2022-08-23,87.0
2022-08-24,80.0
2022-08-25,83.33
2022-08-26,76.25
2022-08-27,82.5
2022-08-28,84.38
2022-08-29,81.0
2022-08-30,77.0
2022-08-31,75.0
2022-09-01,80.83
2022-09-02,73.75
2022-09-03,80.0
2022-09-04,86.25
2022-09-05,85.0
2022-09-06,79.5
2022-09-07,76.25
2022-09-08,77.5
2022-09-09,73.75
2022-09-10,85.0
2022-09-11,93.75
2022-09-12,93.0
2022-09-13,92.66
2022-09-14,92.32
2022-09-15,90.83
2022-09-16,88.23
2022-09-17,85.63
2022-09-18,102.26
2022-09-19,89.86
2022-09-20,99.16
2022-09-21,97.79
2022-09-22,93.75
2022-09-23,94.42
2022-09-24,95.09
2022-09-25,93.0
2022-09-26,88.26
2022-09-27,95.24
2022-09-28,89.11
2022-09-29,92.5
2022-09-30,80.83
2022-10-01,89.39
2022-10-02,89.67
2022-10-03,86.8
2022-10-04,87.28
2022-10-05,87.77
2022-10-06,88.38
2022-10-07,85.07
2022-10-08,84.61
2022-10-09,84.94
2022-10-10,90.56
2022-10-11,91.23
2022-10-12,81.71
2022-10-13,92.21
2022-10-14,85.5
2022-10-15,85.92
2022-10-16,86.33
2022-10-17,87.34
2022-10-18,85.19
2022-10-19,77.21
2022-10-20,88.99
2022-10-21,88.31
2022-10-22,83.27
2022-10-23,75.13
2022-10-24,69.47
2022-10-25,67.63
2022-10-26,72.83
2022-10-27,81.88
2022-10-28,74.39
2022-10-29,103.17
2022-10-30,102.52
2022-10-31,100.92
2022-11-01,100.08
2022-11-02,109.09
2022-11-03,103.88
2022-11-04,103.77
2022-11-05,102.26
2022-11-06,101.37
2022-11-07,98.83
2022-11-08,97.87
2022-11-09,95.83
2022-11-10,101.91
2022-11-11,121.74
2022-11-12,130.37
2022-11-13,129.17
2022-11-14,131.1
2022-11-15,78.96
2022-11-16,79.42
2022-11-17,103.0
2022-11-18,100.96
2022-11-19,104.27
2022-11-20,108.57
2022-11-21,110.0
2022-11-22,76.79
2022-11-23,73.88
2022-11-24,95.0
2022-11-25,96.77
2022-11-26,96.79
2022-11-27,96.82
2022-11-28,89.4
2022-11-29,74.19
2022-11-30,73.96
2022-12-01,78.75
2022-12-02,74.56
2022-12-03,83.34
2022-12-04,80.69
2022-12-05,79.25
2022-12-06,73.92
2022-12-07,72.88
2022-12-08,74.0
2022-12-09,73.64
2022-12-10,73.29
2022-12-11,73.04
2022-12-12,71.42
2022-12-13,71.04
2022-12-14,71.87
2022-12-15,71.0
2022-12-16,70.88
2022-12-17,70.76
2022-12-18,71.41
2022-12-19,70.21
2022-12-20,70.15
2022-12-21,69.86
2022-12-22,68.0
2022-12-23,63.33
2022-12-24,75.0
2022-12-25,73.69
2022-12-26,72.38
2022-12-27,75.52
2022-12-28,78.2
2022-12-29,76.0
2022-12-30,73.33
2022-12-31,82.5
