date,price
2024-01-01,315.0
2024-01-02,291.52
2024-01-03,292.7
2024-01-04,294.99
2024-01-05,300.59
2024-01-06,306.19
2024-01-07,282.46
2024-01-08,298.15
2024-01-09,273.94
2024-01-10,302.26
2024-01-11,293.78
2024-01-12,301.71
2024-01-13,309.63
2024-01-14,290.65
2024-01-15,307.5
2024-01-16,305.04
2024-01-17,302.57
2024-01-18,296.5
2024-01-19,303.5
2024-01-20,310.51
2024-01-21,292.17
2024-01-22,309.81
2024-01-23,306.96
2024-01-24,304.12
2024-01-25,301.58
2024-01-26,333.12
2024-01-27,317.72
2024-01-28,293.58
2024-01-29,313.0
2024-01-30,278.5
2024-01-31,309.05
2024-02-01,302.03
2024-02-02,307.31
2024-02-03,312.59
2024-02-04,294.46
2024-02-05,309.9
2024-02-06,281.7
2024-02-07,308.88
2024-02-08,289.1
2024-02-09,308.75
2024-02-10,296.79
2024-02-11,278.38
2024-02-12,292.88
2024-02-13,280.85
2024-02-14,307.31
2024-02-15,286.45
2024-02-16,296.67
2024-02-17,293.21
2024-02-18,296.74
2024-02-19,300.27
2024-02-20,306.71
2024-02-21,309.03
2024-02-22,290.56
2024-02-23,315.0
2024-02-24,298.93
2024-02-25,299.14
2024-02-26,301.95
2024-02-27,282.85
2024-02-28,307.3
2024-02-29,292.33
2024-03-01,320.0
2024-03-02,304.95
2024-03-03,286.43
2024-03-04,300.54
2024-03-05,282.61
2024-03-06,307.23
2024-03-07,298.39
2024-03-08,321.25
2024-03-09,303.91
2024-03-10,283.7
2024-03-11,303.62
2024-03-12,282.2
2024-03-13,338.07
2024-03-14,294.03
2024-03-15,323.12
2024-03-16,305.73
2024-03-17,308.56
2024-03-18,308.77
2024-03-19,309.4
2024-03-20,310.03
2024-03-21,297.68
2024-03-22,329.38
2024-03-23,304.94
2024-03-24,312.44
2024-03-25,310.22
2024-03-26,310.63
2024-03-27,311.05
2024-03-28,292.17
2024-03-29,338.33
2024-03-30,310.17
2024-03-31,275.88
2024-04-01,298.13
2024-04-02,286.95
2024-04-03,309.42
2024-04-04,301.87
2024-04-05,340.0
2024-04-06,313.05
2024-04-07,279.74
2024-04-08,362.76
2024-04-09,285.43
2024-04-10,341.96
2024-04-11,323.54
2024-04-12,342.5
2024-04-13,312.35
2024-04-14,314.69
2024-04-15,356.76
2024-04-16,292.94
2024-04-17,339.17
2024-04-18,346.88
2024-04-19,346.88
2024-04-20,352.27
2024-04-21,323.08
2024-04-22,357.84
2024-04-23,311.38
2024-04-24,346.06
2024-04-25,326.59
2024-04-26,340.62
2024-04-27,348.83
2024-04-28,325.03
2024-04-29,360.57
2024-04-30,311.21
2024-05-01,352.87
2024-05-02,324.56
2024-05-03,346.88
2024-05-04,350.17
2024-05-05,321.13
2024-05-06,357.85
2024-05-07,314.56
2024-05-08,348.66
2024-05-09,345.27
2024-05-10,341.88
2024-05-11,350.45
2024-05-12,357.87
2024-05-13,357.73
2024-05-14,355.48
2024-05-15,353.24
2024-05-16,324.59
2024-05-17,336.25
2024-05-18,347.87
2024-05-19,324.78
2024-05-20,359.19
2024-05-21,313.08
2024-05-22,351.89
2024-05-23,323.55
2024-05-24,335.62
2024-05-25,347.42
2024-05-26,320.76
2024-05-27,359.45
2024-05-28,312.36
2024-05-29,351.02
2024-05-30,323.38
2024-05-31,333.12
2024-06-01,324.44
2024-06-02,324.11
2024-06-03,323.78
2024-06-04,322.38
2024-06-05,320.98
2024-06-06,322.91
2024-06-07,324.98
2024-06-08,327.06
