date,price
2020-01-01,55.0
2020-01-02,51.96
2020-01-03,52.84
2020-01-04,61.68
2020-01-05,57.5
2020-01-06,53.84
2020-01-07,56.0
2020-01-08,56.07
2020-01-09,56.15
2020-01-10,54.33
2020-01-11,59.21
2020-01-12,70.0
2020-01-13,62.93
2020-01-14,64.94
2020-01-15,68.56
2020-01-16,55.16
2020-01-17,51.79
2020-01-18,59.69
2020-01-19,58.75
2020-01-20,61.06
2020-01-21,62.91
2020-01-22,65.78
2020-01-23,54.73
2020-01-24,51.14
2020-01-25,60.01
2020-01-26,62.5
2020-01-27,60.5
2020-01-28,59.41
2020-01-29,62.34
2020-01-30,53.74
2020-01-31,51.47
2020-02-01,59.71
2020-02-02,59.17
2020-02-03,58.63
2020-02-04,58.0
2020-02-05,58.97
2020-02-06,56.23
2020-02-07,51.62
2020-02-08,56.95
2020-02-09,58.12
2020-02-10,57.74
2020-02-11,55.35
2020-02-12,58.69
2020-02-13,54.47
2020-02-14,50.67
2020-02-15,55.65
2020-02-16,55.04
2020-02-17,54.42
2020-02-18,54.98
2020-02-19,59.16
2020-02-20,58.38
2020-02-21,49.07
2020-02-22,52.38
2020-02-23,52.76
2020-02-24,53.14
2020-02-25,51.58
2020-02-26,52.97
2020-02-27,48.83
2020-02-28,46.81
2020-02-29,49.66
2020-03-01,50.62
2020-03-02,49.57
2020-03-03,47.92
2020-03-04,46.98
2020-03-05,48.36
2020-03-06,46.78
2020-03-07,48.92
2020-03-08,48.12
2020-03-09,48.72
2020-03-10,44.8
2020-03-11,47.11
2020-03-12,46.95
2020-03-13,46.98
2020-03-14,47.0
2020-03-15,46.88
2020-03-16,47.22
2020-03-17,47.28
2020-03-18,47.35
2020-03-19,47.68
2020-03-20,45.49
2020-03-21,46.65
2020-03-22,46.88
2020-03-23,45.84
2020-03-24,47.33
2020-03-25,47.16
2020-03-26,47.07
2020-03-27,47.7
2020-03-28,46.68
2020-03-29,45.83
2020-03-30,46.58
2020-03-31,47.13
2020-04-01,46.36
2020-04-02,45.77
2020-04-03,47.02
2020-04-04,46.09
2020-04-05,48.0
2020-04-06,44.48
2020-04-07,44.08
2020-04-08,44.96
2020-04-09,50.37
2020-04-10,49.13
2020-04-11,46.67
2020-04-12,48.75
2020-04-13,44.17
2020-04-14,46.5
2020-04-15,44.81
2020-04-16,46.25
2020-04-17,46.33
2020-04-18,45.25
2020-04-19,45.25
2020-04-20,46.23
2020-04-21,46.55
2020-04-22,46.24
2020-04-23,47.97
2020-04-24,49.06
2020-04-25,47.06
2020-04-26,46.0
2020-04-27,46.47
2020-04-28,46.46
2020-04-29,42.21
2020-04-30,49.23
2020-05-01,48.71
2020-05-02,45.16
2020-05-03,43.75
2020-05-04,47.77
2020-05-05,43.57
2020-05-06,51.2
2020-05-07,48.54
2020-05-08,49.02
2020-05-09,44.98
2020-05-10,45.08
2020-05-11,45.19
2020-05-12,40.05
2020-05-13,44.23
2020-05-14,49.35
2020-05-15,46.94
2020-05-16,43.03
2020-05-17,41.25
2020-05-18,42.56
2020-05-19,40.22
2020-05-20,47.96
2020-05-21,49.45
2020-05-22,46.43
2020-05-23,43.24
2020-05-24,41.88
2020-05-25,43.66
2020-05-26,43.57
2020-05-27,48.5
2020-05-28,49.29
2020-05-29,49.42
2020-05-30,46.07
2020-05-31,48.12
2020-06-01,45.55
2020-06-02,46.02
2020-06-03,46.49
2020-06-04,50.14
2020-06-05,49.18
2020-06-06,48.01
2020-06-07,45.0
2020-06-08,43.85
2020-06-09,46.39
2020-06-10,48.93
2020-06-11,49.82
2020-06-12,52.64
2020-06-13,47.08
2020-06-14,44.38
2020-06-15,44.62
2020-06-16,46.7
2020-06-17,48.77
2020-06-18,50.74
2020-06-19,47.86
2020-06-20,48.44
2020-06-21,48.12
2020-06-22,48.69
2020-06-23,48.67
2020-06-24,48.65
2020-06-25,49.84
2020-06-26,49.56
2020-06-27,49.28
2020-06-28,50.62
2020-06-29,46.04
2020-06-30,42.14
2020-07-01,46.41
2020-07-02,50.22
2020-07-03,50.18
2020-07-04,50.34
2020-07-05,47.5
2020-07-06,47.73
2020-07-07,43.25
2020-07-08,45.7
2020-07-09,46.8
2020-07-10,47.44
2020-07-11,49.44
2020-07-12,50.0
2020-07-13,46.65
2020-07-14,42.84
