date,price
2025-01-01,125.0
2025-01-02,125.0
2025-01-03,125.0
2025-01-04,125.0
2025-01-05,125.0
2025-01-06,125.0
2025-01-07,125.0
2025-01-08,135.0
2025-01-09,135.0
2025-01-10,135.0
2025-01-11,135.0
2025-01-12,135.0
2025-01-13,135.0
2025-01-14,135.0
2025-01-15,135.0
2025-01-16,130.92
2025-01-17,131.02
2025-01-18,131.24
2025-01-19,130.11
2025-01-20,128.98
2025-01-21,127.1
2025-01-22,125.07
2025-01-23,122.55
2025-01-24,122.85
2025-01-25,121.67
2025-01-26,121.27
2025-01-27,120.87
2025-01-28,118.57
2025-01-29,115.42
2025-01-30,116.89
2025-01-31,113.5
2025-02-01,112.42
2025-02-02,112.03
2025-02-03,111.64
2025-02-04,111.95
2025-02-05,111.09
2025-02-06,110.36
2025-02-07,110.17
2025-02-08,108.44
2025-02-09,108.56
2025-02-10,108.67
2025-02-11,108.29
2025-02-12,109.5
2025-02-13,110.67
2025-02-14,110.08
2025-02-15,108.4
2025-02-16,108.56
2025-02-17,108.73
2025-02-18,110.59
2025-02-19,110.5
2025-02-20,109.4
2025-02-21,110.0
2025-02-22,108.84
2025-02-23,110.12
2025-02-24,111.39
2025-02-25,110.77
2025-02-26,110.42
2025-02-27,110.64
2025-02-28,112.48
2025-03-01,111.4
2025-03-02,111.82
2025-03-03,112.23
2025-03-04,112.7
2025-03-05,111.4
2025-03-06,111.63
2025-03-07,111.4
2025-03-08,111.36
2025-03-09,109.42
2025-03-10,107.48
2025-03-11,107.52
2025-03-12,108.55
2025-03-13,106.27
2025-03-14,106.05
2025-03-15,104.75
2025-03-16,105.86
2025-03-17,106.98
2025-03-18,107.44
2025-03-19,106.58
2025-03-20,106.15
2025-03-21,105.7
2025-03-22,105.85
2025-03-23,106.04
2025-03-24,106.23
2025-03-25,105.96
2025-03-26,107.04
2025-03-27,103.49
2025-03-28,104.85
2025-03-29,104.13
2025-03-30,104.16
2025-03-31,104.19
2025-04-01,102.68
2025-04-02,103.13
2025-04-03,102.95
2025-04-04,101.08
2025-04-05,101.58
2025-04-06,100.79
2025-04-07,100.0
2025-04-08,99.58
2025-04-09,97.48
2025-04-10,98.37
2025-04-11,96.42
2025-04-12,98.33
2025-04-13,96.74
2025-04-14,95.16
2025-04-15,92.44
2025-04-16,93.8
2025-04-17,94.4
2025-04-18,95.01
2025-04-19,95.61
2025-04-20,96.22
2025-04-21,96.82
2025-04-22,97.61
2025-04-23,98.93
2025-04-24,100.31
2025-04-25,99.54
2025-04-26,99.13
2025-04-27,101.7
2025-04-28,104.27
2025-04-29,104.54
2025-04-30,104.57
2025-05-01,104.6
2025-05-02,105.76
2025-05-03,105.98
2025-05-04,105.51
2025-05-05,105.04
2025-05-06,103.67
2025-05-07,102.83
2025-05-08,102.03
2025-05-09,103.67
2025-05-10,106.83
2025-05-11,108.23
2025-05-12,109.63
2025-05-13,105.73
2025-05-14,106.06
2025-05-15,104.32
2025-05-16,104.63
2025-05-17,104.19
2025-05-18,104.72
2025-05-19,105.25
2025-05-20,105.65
2025-05-21,105.95
2025-05-22,105.26
2025-05-23,104.68
2025-05-24,105.6
2025-05-25,105.16
2025-05-26,104.73
2025-05-27,105.7
2025-05-28,105.15
2025-05-29,105.32
2025-05-30,104.5
2025-05-31,104.67
2025-06-01,105.0
2025-06-02,105.34
2025-06-03,106.74
2025-06-04,111.05
2025-06-05,112.56
2025-06-06,113.99
2025-06-07,115.82
2025-06-08,117.6
2025-06-09,119.38
2025-06-10,119.85
2025-06-11,120.07
2025-06-12,118.9
2025-06-13,117.72
2025-06-14,118.01
2025-06-15,117.16
2025-06-16,116.31
2025-06-17,117.13
2025-06-18,114.12
2025-06-19,114.47
2025-06-20,112.8
2025-06-21,112.36
2025-06-22,112.94
2025-06-23,113.51
2025-06-24,112.41
2025-06-25,113.16
2025-06-26,115.91
2025-06-27,114.45
2025-06-28,114.8
2025-06-29,115.74
2025-06-30,116.67
2025-07-01,116.44
2025-07-02,115.04
2025-07-03,115.04
2025-07-04,114.09
2025-07-05,113.23
2025-07-06,112.55
2025-07-07,111.87
2025-07-08,112.45
2025-07-09,113.41
2025-07-10,112.88
2025-07-11,112.7
2025-07-12,113.14
2025-07-13,112.34
2025-07-14,111.53
2025-07-15,110.0
2025-07-16,109.15
2025-07-17,109.02
2025-07-18,108.25
2025-07-19,109.66
2025-07-20,111.98
2025-07-21,114.29
2025-07-22,119.09
2025-07-23,121.57
2025-07-24,123.28
2025-07-25,122.46
2025-07-26,127.62
2025-07-27,131.31
2025-07-28,135.0
2025-07-29,137.84
2025-07-30,140.64
2025-07-31,137.65
2025-08-01,136.32
2025-08-02,135.0
2025-08-03,135.0
2025-08-04,135.0
2025-08-05,130.0
2025-08-06,130.0
2025-08-07,130.0
2025-08-08,132.5
2025-08-09,140.0
2025-08-10,140.0
2025-08-11,140.0
2025-08-12,140.0
2025-08-13,130.0
2025-08-14,125.0
2025-08-15,130.0
2025-08-16,125.0
2025-08-17,117.5
2025-08-18,110.0
2025-08-19,110.0
2025-08-20,110.0
2025-08-21,110.0
2025-08-22,110.0
2025-08-23,110.0
2025-08-24,110.0
2025-08-25,110.0
2025-08-26,110.0
2025-08-27,100.0
2025-08-28,110.0
2025-08-29,110.0
2025-08-30,105.0
2025-08-31,105.0
2025-09-01,105.0
2025-09-02,110.0
2025-09-03,110.0
2025-09-04,110.0
2025-09-05,112.5
2025-09-06,112.5
2025-09-07,111.25
2025-09-08,110.0
2025-09-09,110.0
2025-09-10,112.5
2025-09-11,110.0
2025-09-12,110.0
2025-09-13,110.0
2025-09-14,111.25
2025-09-15,112.5
2025-09-16,112.5
2025-09-17,112.5
2025-09-18,110.0
2025-09-19,110.0
2025-09-20,110.0
2025-09-21,107.5
2025-09-22,105.0
2025-09-23,110.0
2025-09-24,115.0
2025-09-25,110.0
2025-09-26,117.5
2025-09-27,120.0
2025-09-28,120.0
2025-09-29,120.0
2025-09-30,125.0
2025-10-01,118.44
2025-10-02,116.42
2025-10-03,115.0
2025-10-04,114.25
2025-10-05,116.91
2025-10-06,119.57
2025-10-07,116.37
2025-10-08,116.76
2025-10-09,118.03
2025-10-10,115.51
2025-10-11,114.84
2025-10-12,114.21
2025-10-13,113.58
2025-10-14,114.04
2025-10-15,113.08
2025-10-16,111.99
2025-10-17,109.69
2025-10-18,110.4
2025-10-19,110.13
2025-10-20,109.86
2025-10-21,108.41
2025-10-22,107.03
2025-10-23,107.93
2025-10-24,105.48
2025-10-25,104.04
2025-10-26,105.75
2025-10-27,107.46
2025-10-28,106.29
2025-10-29,105.82
2025-10-30,107.12
2025-10-31,106.55
2025-11-01,106.06
2025-11-02,106.52
2025-11-03,106.99
2025-11-04,106.37
2025-11-05,105.51
2025-11-06,105.17
2025-11-07,105.03
2025-11-08,104.93
2025-11-09,109.17
2025-11-10,109.72
2025-11-11,120.86
2025-11-12,129.93
2025-11-13,151.88
2025-11-14,155.24
2025-11-15,153.7
2025-11-16,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-22,
2025-11-23,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-11-29,
2025-11-30,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-06,
2025-12-07,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-13,
2025-12-14,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-20,
2025-12-21,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-27,
2025-12-28,
2025-12-29,
2025-12-30,
2025-12-31,
