date,price
2020-01-01,72.5
2020-01-02,130.82
2020-01-03,127.71
2020-01-04,119.28
2020-01-05,120.84
2020-01-06,122.41
2020-01-07,129.05
2020-01-08,132.73
2020-01-09,114.11
2020-01-10,101.67
2020-01-11,107.36
2020-01-12,93.33
2020-01-13,96.64
2020-01-14,95.94
2020-01-15,94.39
2020-01-16,79.11
2020-01-17,73.12
2020-01-18,74.78
2020-01-19,74.55
2020-01-20,74.32
2020-01-21,84.09
2020-01-22,95.8
2020-01-23,83.19
2020-01-24,77.01
2020-01-25,77.61
2020-01-26,80.62
2020-01-27,73.31
2020-01-28,75.89
2020-01-29,91.38
2020-01-30,84.15
2020-01-31,77.6
2020-02-01,77.6
2020-02-02,74.38
2020-02-03,65.41
2020-02-04,63.37
2020-02-05,78.13
2020-02-06,76.4
2020-02-07,72.8
2020-02-08,70.49
2020-02-09,73.12
2020-02-10,56.91
2020-02-11,60.46
2020-02-12,73.05
2020-02-13,69.54
2020-02-14,66.08
2020-02-15,64.37
2020-02-16,70.0
2020-02-17,54.48
2020-02-18,55.1
2020-02-19,62.21
2020-02-20,65.72
2020-02-21,64.28
2020-02-22,62.27
2020-02-23,63.75
2020-02-24,49.69
2020-02-25,50.69
2020-02-26,62.11
2020-02-27,62.2
2020-02-28,62.3
2020-02-29,56.89
2020-03-01,60.0
2020-03-02,50.37
2020-03-03,50.14
2020-03-04,55.7
2020-03-05,59.31
2020-03-06,63.02
2020-03-07,60.33
2020-03-08,64.38
2020-03-09,54.8
2020-03-10,53.9
2020-03-11,53.41
2020-03-12,56.75
2020-03-13,56.19
2020-03-14,55.64
2020-03-15,56.88
2020-03-16,52.01
2020-03-17,51.48
2020-03-18,48.18
2020-03-19,54.06
2020-03-20,60.98
2020-03-21,54.53
2020-03-22,56.25
2020-03-23,50.95
2020-03-24,54.54
2020-03-25,50.9
2020-03-26,51.92
2020-03-27,52.4
2020-03-28,52.87
2020-03-29,55.0
2020-03-30,51.57
2020-03-31,62.31
2020-04-01,60.15
2020-04-02,53.46
2020-04-03,64.17
2020-04-04,60.34
2020-04-05,68.33
2020-04-06,59.07
2020-04-07,46.55
2020-04-08,46.96
2020-04-09,54.23
2020-04-10,65.5
2020-04-11,62.23
2020-04-12,63.75
2020-04-13,44.68
2020-04-14,42.94
2020-04-15,49.63
2020-04-16,51.25
2020-04-17,80.0
2020-04-18,63.75
2020-04-19,64.38
2020-04-20,67.11
2020-04-21,74.23
2020-04-22,56.45
2020-04-23,59.71
2020-04-24,59.89
