date,price
2020-01-01,170.0
2020-01-02,189.56
2020-01-03,187.0
2020-01-04,174.23
2020-01-05,175.0
2020-01-06,178.22
2020-01-07,166.46
2020-01-08,173.4
2020-01-09,173.26
2020-01-10,174.29
2020-01-11,170.85
2020-01-12,178.33
2020-01-13,175.53
2020-01-14,173.33
2020-01-15,171.12
2020-01-16,174.79
2020-01-17,179.69
2020-01-18,172.53
2020-01-19,176.25
2020-01-20,176.36
2020-01-21,177.4
2020-01-22,178.44
2020-01-23,173.99
2020-01-24,177.21
2020-01-25,170.59
2020-01-26,173.75
2020-01-27,174.79
2020-01-28,164.44
2020-01-29,177.83
2020-01-30,172.83
2020-01-31,177.6
2020-02-01,171.68
2020-02-02,173.75
2020-02-03,174.53
2020-02-04,168.16
2020-02-05,184.12
2020-02-06,177.27
2020-02-07,182.75
2020-02-08,177.11
2020-02-09,181.25
2020-02-10,178.04
2020-02-11,170.61
2020-02-12,179.15
2020-02-13,171.84
2020-02-14,172.86
2020-02-15,169.67
2020-02-16,180.0
2020-02-17,176.29
2020-02-18,173.37
2020-02-19,170.45
2020-02-20,174.87
2020-02-21,172.78
2020-02-22,172.95
2020-02-23,173.12
2020-02-24,174.92
2020-02-25,174.34
2020-02-26,173.39
2020-02-27,169.57
2020-02-28,175.74
2020-02-29,170.8
2020-03-01,170.0
2020-03-02,172.64
2020-03-03,166.61
2020-03-04,175.14
2020-03-05,170.94
2020-03-06,175.9
2020-03-07,173.66
2020-03-08,178.0
2020-03-09,175.53
2020-03-10,169.4
2020-03-11,177.0
2020-03-12,168.96
2020-03-13,182.58
2020-03-14,171.56
2020-03-15,178.12
2020-03-16,175.42
2020-03-17,176.56
2020-03-18,177.34
2020-03-19,176.64
2020-03-20,175.94
2020-03-21,168.67
2020-03-22,178.12
2020-03-23,178.44
2020-03-24,175.58
2020-03-25,172.91
2020-03-26,170.35
2020-03-27,175.92
2020-03-28,169.54
2020-03-29,171.67
2020-03-30,175.27
2020-03-31,163.84
2020-04-01,171.04
2020-04-02,164.81
2020-04-03,171.25
2020-04-04,169.1
2020-04-05,168.33
2020-04-06,163.84
2020-04-07,169.08
2020-04-08,174.32
2020-04-09,167.8
2020-04-10,168.12
2020-04-11,168.43
2020-04-12,168.75
2020-04-13,163.59
2020-04-14,164.86
2020-04-15,175.93
2020-04-16,175.46
2020-04-17,175.0
2020-04-18,171.25
2020-04-19,171.25
2020-04-20,176.13
2020-04-21,168.09
2020-04-22,175.76
2020-04-23,168.83
2020-04-24,168.14
2020-04-25,167.45
2020-04-26,168.12
2020-04-27,172.14
2020-04-28,162.03
2020-04-29,168.21
2020-04-30,166.58
2020-05-01,166.66
2020-05-02,166.74
2020-05-03,171.25
2020-05-04,175.54
2020-05-05,167.92
2020-05-06,184.81
2020-05-07,173.77
2020-05-08,185.42
2020-05-09,173.65
2020-05-10,177.5
2020-05-11,179.14
2020-05-12,177.69
2020-05-13,177.12
2020-05-14,176.56
2020-05-15,186.74
2020-05-16,171.55
2020-05-17,178.75
2020-05-18,182.02
2020-05-19,168.97
2020-05-20,185.45
2020-05-21,175.3
2020-05-22,174.89
2020-05-23,174.48
2020-05-24,176.25
2020-05-25,180.89
2020-05-26,173.26
2020-05-27,184.75
2020-05-28,177.75
2020-05-29,177.73
2020-05-30,177.71
2020-05-31,180.0
2020-06-01,177.52
2020-06-02,171.27
2020-06-03,176.23
2020-06-04,181.32
2020-06-05,184.37
2020-06-06,179.95
2020-06-07,178.75
2020-06-08,178.98
2020-06-09,173.53
2020-06-10,175.71
2020-06-11,174.61
2020-06-12,196.39
2020-06-13,183.93
2020-06-14,181.25
2020-06-15,183.64
2020-06-16,176.37
2020-06-17,179.54
2020-06-18,179.9
2020-06-19,186.76
2020-06-20,185.23
2020-06-21,182.5
2020-06-22,184.3
2020-06-23,182.63
2020-06-24,181.76
2020-06-25,184.35
2020-06-26,185.93
2020-06-27,187.51
2020-06-28,181.88
