date,price
2025-01-01,75.0
2025-01-02,75.0
2025-01-03,72.5
2025-01-04,72.5
2025-01-05,72.5
2025-01-06,72.5
2025-01-07,72.5
2025-01-08,75.0
2025-01-09,75.0
2025-01-10,75.0
2025-01-11,75.0
2025-01-12,75.0
2025-01-13,75.0
2025-01-14,75.0
2025-01-15,75.0
2025-01-16,72.76
2025-01-17,73.68
2025-01-18,72.63
2025-01-19,73.85499999999999
2025-01-20,75.08
2025-01-21,73.92
2025-01-22,73.81
2025-01-23,73.94
2025-01-24,75.0
2025-01-25,75.66
2025-01-26,74.895
2025-01-27,74.13
2025-01-28,73.87
2025-01-29,73.56
2025-01-30,73.93
2025-01-31,73.84
2025-02-01,73.86
2025-02-02,73.75999999999999
2025-02-03,73.66
2025-02-04,73.84
2025-02-05,74.01
2025-02-06,73.93
2025-02-07,73.84
2025-02-08,73.89
2025-02-09,72.5
2025-02-10,73.84
2025-02-11,73.84
2025-02-12,74.51
2025-02-13,74.66
2025-02-14,74.02
2025-02-15,74.19
2025-02-16,74.08
2025-02-17,73.97
2025-02-18,74.04
2025-02-19,73.6
2025-02-20,73.41
2025-02-21,73.66
2025-02-22,73.77
2025-02-23,74.00999999999999
2025-02-24,74.25
2025-02-25,73.86
2025-02-26,74.05
2025-02-27,73.58
2025-02-28,73.24
2025-03-01,73.64
2025-03-02,73.44
2025-03-03,73.24
2025-03-04,73.43
2025-03-05,73.51
2025-03-06,73.46
2025-03-07,73.41
2025-03-08,73.33
2025-03-09,72.5
2025-03-10,72.7
2025-03-11,72.84
2025-03-12,73.48
2025-03-13,72.75
2025-03-14,73.09
2025-03-15,71.9
2025-03-16,72.715
2025-03-17,73.53
2025-03-18,74.22
2025-03-19,73.53
2025-03-20,72.94
2025-03-21,73.59
2025-03-22,73.22
2025-03-23,73.315
2025-03-24,73.41
2025-03-25,74.17
2025-03-26,74.17
2025-03-27,73.44
2025-03-28,73.5
2025-03-29,74.61
2025-03-30,74.00999999999999
2025-03-31,73.41
2025-04-01,73.6
2025-04-02,73.6
2025-04-03,74.48
2025-04-04,73.6
2025-04-05,74.02
2025-04-06,73.975
2025-04-07,73.93
2025-04-08,73.93
2025-04-09,73.83
2025-04-10,73.86
2025-04-11,74.08
2025-04-12,75.0
2025-04-13,74.46000000000001
2025-04-14,73.92
2025-04-15,73.13
2025-04-16,73.47
2025-04-17,73.384
2025-04-18,73.298
2025-04-19,73.212
2025-04-20,73.126
2025-04-21,73.04
2025-04-22,74.09
2025-04-23,73.82
2025-04-24,74.49
2025-04-25,74.56
2025-04-26,74.91
2025-04-27,74.705
2025-04-28,74.5
2025-04-29,74.0
2025-04-30,74.15
2025-05-01,73.86
2025-05-02,73.97
2025-05-03,73.97
2025-05-04,74.25
2025-05-05,74.53
2025-05-06,74.86
2025-05-07,74.79
2025-05-08,75.66
2025-05-09,74.93
2025-05-10,74.47
2025-05-11,74.815
2025-05-12,75.16
2025-05-13,73.15
2025-05-14,74.24
2025-05-15,74.24
2025-05-16,74.23
2025-05-17,74.2
2025-05-18,74.065
2025-05-19,73.93
2025-05-20,73.64
2025-05-21,73.85
2025-05-22,73.84
2025-05-23,74.61
2025-05-24,75.25
2025-05-25,74.66499999999999
2025-05-26,74.08
2025-05-27,74.08
2025-05-28,74.15
2025-05-29,73.79
2025-05-30,73.9
2025-05-31,73.9
2025-06-01,74.045
2025-06-02,74.19
2025-06-03,73.9
2025-06-04,74.01
2025-06-05,73.08
2025-06-06,73.99
2025-06-07,72.16
2025-06-08,72.5
2025-06-09,75.0
2025-06-10,74.93
2025-06-11,74.11
2025-06-12,75.09
2025-06-13,74.04
2025-06-14,74.1
2025-06-15,73.97999999999999
2025-06-16,73.86
2025-06-17,73.82
2025-06-18,73.84
2025-06-19,73.75
2025-06-20,74.17
2025-06-21,74.51
2025-06-22,74.13
2025-06-23,73.75
2025-06-24,73.89
2025-06-25,73.97
2025-06-26,73.9
2025-06-27,74.93
2025-06-28,75.64
2025-06-29,74.775
2025-06-30,73.91
2025-07-01,73.5
2025-07-02,74.94
2025-07-03,74.94
2025-07-04,75.5
2025-07-05,74.71
2025-07-06,75.005
2025-07-07,75.3
2025-07-08,75.25
2025-07-09,75.26
2025-07-10,75.38
2025-07-11,75.38
2025-07-12,75.82
2025-07-13,75.745
2025-07-14,75.67
2025-07-15,76.87
2025-07-16,75.77
2025-07-17,75.77
2025-07-18,76.08
2025-07-19,76.61
2025-07-20,76.39500000000001
2025-07-21,76.18
2025-07-22,77.6
2025-07-23,77.76
2025-07-24,78.22
2025-07-25,78.23
2025-07-26,77.87
2025-07-27,76.88
2025-07-28,75.89
2025-07-29,75.52
2025-07-30,75.0
2025-07-31,74.62
2025-08-01,74.355
2025-08-02,74.09
2025-08-03,73.825
2025-08-04,73.56
2025-08-05,73.295
2025-08-06,73.03
2025-08-07,72.765
2025-08-08,72.5
2025-08-09,72.5
2025-08-10,74.81
2025-08-11,74.04
2025-08-12,73.27
2025-08-13,72.5
2025-08-14,72.5
2025-08-15,72.5
2025-08-16,72.5
2025-08-17,72.5
2025-08-18,72.5
2025-08-19,72.5
2025-08-20,72.5
2025-08-21,72.5
2025-08-22,72.5
2025-08-23,72.5
2025-08-24,72.5
2025-08-25,72.5
2025-08-26,72.5
2025-08-27,72.5
2025-08-28,72.5
2025-08-29,72.5
2025-08-30,72.5
2025-08-31,72.5
2025-09-01,72.5
2025-09-02,72.5
2025-09-03,72.5
2025-09-04,72.5
2025-09-05,72.5
2025-09-06,72.5
2025-09-07,72.5
2025-09-08,72.5
2025-09-09,72.5
2025-09-10,98.33
2025-09-11,89.72
2025-09-12,81.11
2025-09-13,72.5
2025-09-14,72.5
2025-09-15,72.5
2025-09-16,72.5
2025-09-17,72.5
2025-09-18,72.5
2025-09-19,72.5
2025-09-20,72.5
2025-09-21,72.5
2025-09-22,72.5
2025-09-23,85.0
2025-09-24,72.5
2025-09-25,72.5
2025-09-26,72.5
2025-09-27,72.5
2025-09-28,72.5
2025-09-29,72.5
2025-09-30,72.5
2025-10-01,72.5
2025-10-02,72.5
2025-10-03,72.5
2025-10-04,72.5
2025-10-05,72.5
2025-10-06,72.5
2025-10-07,72.5
2025-10-08,72.5
2025-10-09,72.5
2025-10-10,74.23
2025-10-11,74.26666666666667
2025-10-12,74.30333333333334
2025-10-13,74.34
2025-10-14,74.81
2025-10-15,74.82
2025-10-16,74.82
2025-10-17,74.18
2025-10-18,73.99
2025-10-19,74.435
2025-10-20,74.88
2025-10-21,74.94
2025-10-22,75.0
2025-10-23,74.8529411764706
2025-10-24,74.70588235294117
2025-10-25,74.55882352941177
2025-10-26,74.41176470588235
2025-10-27,74.26470588235294
2025-10-28,74.11764705882354
2025-10-29,73.97058823529412
2025-10-30,73.82352941176471
2025-10-31,73.67647058823529
2025-11-01,73.52941176470588
2025-11-02,73.38235294117646
2025-11-03,73.23529411764706
2025-11-04,73.08823529411765
2025-11-05,72.94117647058823
2025-11-06,72.79411764705883
2025-11-07,72.6470588235294
2025-11-08,72.5
2025-11-09,72.5
2025-11-10,75.53
2025-11-11,75.42178571428572
2025-11-12,75.31357142857144
2025-11-13,75.20535714285714
2025-11-14,75.09714285714286
2025-11-15,74.98892857142857
2025-11-16,74.88071428571429
2025-11-17,74.77250000000001
2025-11-18,74.66428571428573
2025-11-19,74.55607142857143
2025-11-20,74.44785714285715
2025-11-21,74.33964285714286
2025-11-22,74.23142857142858
2025-11-23,74.12321428571428
2025-11-24,74.015
2025-11-25,73.90678571428572
2025-11-26,73.79857142857142
2025-11-27,73.69035714285714
2025-11-28,73.58214285714286
2025-11-29,73.47392857142857
2025-11-30,73.36571428571428
2025-12-01,73.2575
2025-12-02,73.14928571428571
2025-12-03,73.04107142857143
2025-12-04,72.93285714285715
2025-12-05,72.82464285714286
2025-12-06,72.71642857142857
2025-12-07,72.60821428571428
2025-12-08,72.5
2025-12-09,72.5
2025-12-10,72.5
2025-12-11,72.5
2025-12-12,72.5
2025-12-13,72.5
2025-12-14,72.5
2025-12-15,72.5
2025-12-16,72.5
2025-12-17,72.5
2025-12-18,72.5
2025-12-19,72.5
2025-12-20,72.5
2025-12-21,72.5
2025-12-22,72.5
2025-12-23,72.5
2025-12-24,72.5
2025-12-25,72.5
2025-12-26,72.5
2025-12-27,72.5
2025-12-28,72.5
2025-12-29,72.5
2025-12-30,72.5
2025-12-31,72.5
