date,price
2025-01-01,42.5
2025-01-02,42.5
2025-01-03,55.0
2025-01-04,52.5
2025-01-05,52.5
2025-01-06,52.5
2025-01-07,55.0
2025-01-08,44.0
2025-01-09,54.0
2025-01-10,44.0
2025-01-11,44.0
2025-01-12,49.5
2025-01-13,55.0
2025-01-14,44.0
2025-01-15,49.0
2025-01-16,46.0
2025-01-17,47.27
2025-01-18,46.32
2025-01-19,47.525
2025-01-20,48.73
2025-01-21,48.18
2025-01-22,48.37
2025-01-23,47.67
2025-01-24,50.04
2025-01-25,51.05
2025-01-26,49.265
2025-01-27,47.48
2025-01-28,47.45
2025-01-29,46.95
2025-01-30,49.13
2025-01-31,47.42
2025-02-01,46.99
2025-02-02,47.235
2025-02-03,47.48
2025-02-04,47.8
2025-02-05,47.45
2025-02-06,47.45
2025-02-07,47.91
2025-02-08,50.11
2025-02-09,55.0
2025-02-10,48.14
2025-02-11,48.55
2025-02-12,50.88
2025-02-13,51.1
2025-02-14,48.72
2025-02-15,49.11
2025-02-16,48.745000000000005
2025-02-17,48.38
2025-02-18,49.94
2025-02-19,49.45
2025-02-20,49.23
2025-02-21,49.44
2025-02-22,48.59
2025-02-23,49.085
2025-02-24,49.58
2025-02-25,49.27
2025-02-26,51.45
2025-02-27,49.67
2025-02-28,49.78
2025-03-01,53.86
2025-03-02,51.82
2025-03-03,49.78
2025-03-04,49.66
2025-03-05,50.06
2025-03-06,49.35
2025-03-07,49.21
2025-03-08,51.42
2025-03-09,55.0
2025-03-10,49.87
2025-03-11,50.18
2025-03-12,52.54
2025-03-13,48.42
2025-03-14,49.13
2025-03-15,48.38
2025-03-16,48.355000000000004
2025-03-17,48.33
2025-03-18,50.22
2025-03-19,48.23
2025-03-20,48.23
2025-03-21,48.21
2025-03-22,48.14
2025-03-23,48.28
2025-03-24,48.42
2025-03-25,50.3
2025-03-26,51.85
2025-03-27,47.62
2025-03-28,48.51
2025-03-29,50.76
2025-03-30,49.62
2025-03-31,48.48
2025-04-01,48.52
2025-04-02,49.75
2025-04-03,50.49
2025-04-04,48.61
2025-04-05,48.83
2025-04-06,48.64
2025-04-07,48.45
2025-04-08,48.75
2025-04-09,49.0
2025-04-10,48.76
2025-04-11,48.69
2025-04-12,49.3
2025-04-13,48.985
2025-04-14,48.67
2025-04-15,48.27
2025-04-16,48.63
2025-04-17,48.586
2025-04-18,48.542
2025-04-19,48.498
2025-04-20,48.454
2025-04-21,48.41
2025-04-22,48.67
2025-04-23,48.69
2025-04-24,49.57
2025-04-25,49.57
2025-04-26,50.57
2025-04-27,50.85
2025-04-28,51.13
2025-04-29,49.37
2025-04-30,49.51
2025-05-01,50.77
2025-05-02,49.51
2025-05-03,50.76
2025-05-04,50.86
2025-05-05,50.96
2025-05-06,50.72
2025-05-07,49.51
2025-05-08,51.21
2025-05-09,49.51
2025-05-10,49.43
2025-05-11,49.46
2025-05-12,49.49
2025-05-13,49.31
2025-05-14,50.12
2025-05-15,50.88
2025-05-16,50.18
2025-05-17,50.51
2025-05-18,51.215
2025-05-19,51.92
2025-05-20,50.43
