date,price
2024-01-01,220.0
2024-01-02,220.0
2024-01-03,220.0
2024-01-04,220.0
2024-01-05,220.0
2024-01-06,220.0
2024-01-07,220.0
2024-01-08,220.0
2024-01-09,220.0
2024-01-10,220.0
2024-01-11,220.0
2024-01-12,220.0
2024-01-13,220.0
2024-01-14,220.0
2024-01-15,220.0
2024-01-16,220.0
2024-01-17,220.0
2024-01-18,220.0
2024-01-19,220.0
2024-01-20,220.0
2024-01-21,220.0
2024-01-22,220.0
2024-01-23,220.0
2024-01-24,220.0
2024-01-25,220.0
2024-01-26,220.0
2024-01-27,220.0
2024-01-28,220.0
2024-01-29,220.0
2024-01-30,220.0
2024-01-31,220.0
2024-02-01,220.0
2024-02-02,220.0
2024-02-03,220.0
2024-02-04,220.0
2024-02-05,220.0
2024-02-06,220.0
2024-02-07,220.0
2024-02-08,220.0
2024-02-09,220.0
2024-02-10,220.0
2024-02-11,220.0
2024-02-12,220.0
2024-02-13,220.0
2024-02-14,220.0
2024-02-15,220.0
2024-02-16,220.0
2024-02-17,220.0
2024-02-18,220.0
2024-02-19,220.0
2024-02-20,220.0
2024-02-21,220.0
2024-02-22,222.5
2024-02-23,225.0
2024-02-24,225.0
2024-02-25,225.0
2024-02-26,225.0
2024-02-27,225.0
2024-02-28,225.0
2024-02-29,225.0
2024-03-01,225.0
2024-03-02,224.16666666666666
2024-03-03,223.33333333333334
2024-03-04,222.5
2024-03-05,222.5
2024-03-06,225.0
2024-03-07,225.0
2024-03-08,225.0
2024-03-09,225.0
2024-03-10,225.0
2024-03-11,225.0
2024-03-12,225.0
2024-03-13,225.0
2024-03-14,225.0
2024-03-15,225.0
2024-03-16,225.0
2024-03-17,225.0
2024-03-18,225.0
2024-03-19,225.0
2024-03-20,220.0
2024-03-21,225.0
2024-03-22,225.0
2024-03-23,225.0
2024-03-24,225.0
2024-03-25,225.0
2024-03-26,225.0
2024-03-27,225.0
2024-03-28,226.5
2024-03-29,228.0
2024-03-30,229.5
2024-03-31,231.0
2024-04-01,232.5
2024-04-02,230.0
2024-04-03,235.0
2024-04-04,235.0
2024-04-05,225.0
