date,price
2025-01-01,8.5
2025-01-02,8.5
2025-01-03,8.5
2025-01-04,8.5
2025-01-05,8.5
2025-01-06,8.5
2025-01-07,8.5
2025-01-08,8.5
2025-01-09,8.5
2025-01-10,8.5
2025-01-11,8.5
2025-01-12,8.5
2025-01-13,8.5
2025-01-14,8.5
2025-01-15,8.5
2025-01-16,8.5
2025-01-17,8.5
2025-01-18,8.5
2025-01-19,8.5
2025-01-20,8.5
2025-01-21,8.5
2025-01-22,8.5
2025-01-23,8.5
2025-01-24,8.5
2025-01-25,8.5
2025-01-26,8.5
2025-01-27,8.5
2025-01-28,8.5
2025-01-29,8.5
2025-01-30,8.5
2025-01-31,8.5
2025-02-01,8.5
2025-02-02,8.5
2025-02-03,8.5
2025-02-04,8.5
2025-02-05,8.5
2025-02-06,8.5
2025-02-07,8.5
2025-02-08,8.5
2025-02-09,8.5
2025-02-10,8.5
2025-02-11,8.5
2025-02-12,8.5
2025-02-13,8.5
2025-02-14,8.5
2025-02-15,8.5
2025-02-16,8.5
2025-02-17,8.5
2025-02-18,8.5
2025-02-19,8.5
2025-02-20,8.5
2025-02-21,8.5
2025-02-22,8.5
2025-02-23,8.5
2025-02-24,8.5
2025-02-25,8.5
2025-02-26,8.5
2025-02-27,8.5
2025-02-28,8.5
2025-03-01,8.5
2025-03-02,8.5
2025-03-03,8.5
2025-03-04,8.5
2025-03-05,8.5
2025-03-06,8.5
2025-03-07,8.5
2025-03-08,8.5
2025-03-09,8.5
2025-03-10,8.5
2025-03-11,8.5
2025-03-12,8.5
2025-03-13,8.5
2025-03-14,8.5
2025-03-15,8.5
2025-03-16,8.5
2025-03-17,8.5
2025-03-18,8.5
2025-03-19,8.5
2025-03-20,8.5
2025-03-21,8.5
2025-03-22,8.5
2025-03-23,8.5
2025-03-24,8.5
2025-03-25,8.5
2025-03-26,8.5
2025-03-27,8.5
2025-03-28,8.5
2025-03-29,8.5
2025-03-30,8.5
2025-03-31,8.5
2025-04-01,8.5
2025-04-02,8.5
2025-04-03,8.5
2025-04-04,8.5
2025-04-05,8.5
2025-04-06,8.5
2025-04-07,8.5
2025-04-08,8.5
2025-04-09,8.5
2025-04-10,8.5
2025-04-11,8.5
2025-04-12,8.5
