date,price
2025-01-01,6.8
2025-01-02,6.8
2025-01-03,7.25
2025-01-04,7.25
2025-01-05,7.125
2025-01-06,7.0
2025-01-07,7.0
2025-01-08,6.83
2025-01-09,7.0
2025-01-10,6.83
2025-01-11,6.83
2025-01-12,6.79
2025-01-13,6.75
2025-01-14,6.83
2025-01-15,7.0
2025-01-16,6.51
2025-01-17,6.69
2025-01-18,6.43
2025-01-19,6.715
2025-01-20,7.0
2025-01-21,6.97
2025-01-22,6.96
2025-01-23,6.96
2025-01-24,7.07
2025-01-25,6.96
2025-01-26,6.93
2025-01-27,6.9
2025-01-28,6.9
2025-01-29,6.79
2025-01-30,6.89
2025-01-31,6.74
2025-02-01,6.75
2025-02-02,6.785
2025-02-03,6.82
2025-02-04,6.83
2025-02-05,6.83
2025-02-06,6.76
2025-02-07,6.76
2025-02-08,7.0
2025-02-09,6.885
2025-02-10,6.77
2025-02-11,6.6
2025-02-12,6.68
2025-02-13,6.73
2025-02-14,6.66
2025-02-15,6.67
2025-02-16,6.695
2025-02-17,6.72
2025-02-18,6.64
2025-02-19,6.72
2025-02-20,6.77
2025-02-21,36.73
2025-02-22,6.74
2025-02-23,6.785
2025-02-24,6.83
2025-02-25,6.79
2025-02-26,6.71
2025-02-27,6.82
2025-02-28,6.82
2025-03-01,6.33
2025-03-02,6.585
2025-03-03,6.84
2025-03-04,6.76
2025-03-05,6.76
2025-03-06,6.8
2025-03-07,6.8
2025-03-08,6.83
2025-03-09,6.79
2025-03-10,6.75
2025-03-11,6.75
2025-03-12,6.8
2025-03-13,6.77
2025-03-14,6.77
2025-03-15,6.29
2025-03-16,6.54
2025-03-17,6.79
2025-03-18,6.82
2025-03-19,6.77
2025-03-20,6.79
2025-03-21,6.82
2025-03-22,6.82
2025-03-23,6.805
2025-03-24,6.79
2025-03-25,6.82
2025-03-26,6.82
2025-03-27,6.71
2025-03-28,6.71
2025-03-29,6.94
2025-03-30,6.825
2025-03-31,6.71
2025-04-01,6.75
2025-04-02,6.75
2025-04-03,6.76
2025-04-04,6.77
2025-04-05,6.79
2025-04-06,6.785
2025-04-07,6.78
2025-04-08,6.78
2025-04-09,6.79
2025-04-10,6.75
2025-04-11,6.75
2025-04-12,6.86
2025-04-13,6.805
2025-04-14,6.75
2025-04-15,6.58
2025-04-16,6.65
2025-04-17,6.636
2025-04-18,6.622
2025-04-19,6.6080000000000005
2025-04-20,6.594
2025-04-21,6.58
2025-04-22,6.54
2025-04-23,6.57
2025-04-24,6.58
2025-04-25,6.58
2025-04-26,6.63
2025-04-27,6.5649999999999995
2025-04-28,6.5
2025-04-29,6.58
2025-04-30,6.44
2025-05-01,6.22
2025-05-02,6.11
2025-05-03,6.31
2025-05-04,6.33
2025-05-05,6.35
2025-05-06,6.31
2025-05-07,5.95
2025-05-08,5.81
2025-05-09,5.88
2025-05-10,5.93
2025-05-11,5.93
2025-05-12,5.93
2025-05-13,5.69
2025-05-14,5.96
2025-05-15,5.98
2025-05-16,5.96
2025-05-17,5.82
2025-05-18,5.83
2025-05-19,5.84
2025-05-20,5.87
2025-05-21,5.84
2025-05-22,5.86
2025-05-23,5.86
2025-05-24,6.1
