date,price
2025-01-01,345.0
2025-01-02,345.0
2025-01-03,300.0
2025-01-04,255.0
2025-01-05,260.0
2025-01-06,255.0
2025-01-07,250.0
2025-01-08,245.0
2025-01-09,275.0
2025-01-10,290.0
2025-01-11,275.0
2025-01-12,280.0
2025-01-13,275.0
2025-01-14,270.0
2025-01-15,265.0
2025-01-16,265.0
2025-01-17,275.0
2025-01-18,275.0
2025-01-19,275.0
2025-01-20,275.0
2025-01-21,275.0
2025-01-22,275.0
2025-01-23,275.0
2025-01-24,300.0
2025-01-25,275.0
2025-01-26,275.0
2025-01-27,271.6666666666667
2025-01-28,268.3333333333333
2025-01-29,265.0
2025-01-30,265.0
2025-01-31,275.0
2025-02-01,275.0
2025-02-02,275.0
2025-02-03,266.6666666666667
2025-02-04,258.3333333333333
2025-02-05,250.0
2025-02-06,255.0
2025-02-07,265.0
2025-02-08,270.0
2025-02-09,230.0
2025-02-10,221.66666666666666
2025-02-11,213.33333333333334
2025-02-12,205.0
2025-02-13,230.0
2025-02-14,230.0
2025-02-15,220.0
2025-02-16,195.0
2025-02-17,188.33333333333334
2025-02-18,181.66666666666666
2025-02-19,175.0
2025-02-20,175.0
2025-02-21,180.0
2025-02-22,175.0
2025-02-23,170.0
2025-02-24,178.33333333333334
2025-02-25,186.66666666666666
2025-02-26,195.0
2025-02-27,190.0
2025-02-28,165.0
2025-03-01,165.0
2025-03-02,140.0
2025-03-03,153.33333333333334
2025-03-04,166.66666666666666
2025-03-05,180.0
2025-03-06,180.0
2025-03-07,165.0
2025-03-08,195.0
2025-03-09,190.0
2025-03-10,170.83333333333334
2025-03-11,151.66666666666666
2025-03-12,132.5
2025-03-13,142.5
2025-03-14,132.5
2025-03-15,135.0
2025-03-16,135.0
2025-03-17,135.0
2025-03-18,135.0
2025-03-19,135.0
2025-03-20,140.0
2025-03-21,145.0
2025-03-22,150.0
2025-03-23,150.0
2025-03-24,150.0
2025-03-25,150.0
2025-03-26,150.0
2025-03-27,175.0
2025-03-28,175.0
2025-03-29,180.0
2025-03-30,185.0
2025-03-31,190.0
2025-04-01,195.0
2025-04-02,200.0
2025-04-03,225.0
2025-04-04,215.0
2025-04-05,200.0
2025-04-06,175.0
2025-04-07,175.0
2025-04-08,175.0
2025-04-09,175.0
2025-04-10,175.0
2025-04-11,175.0
2025-04-12,175.0
2025-04-13,185.0
2025-04-14,176.66666666666666
2025-04-15,168.33333333333334
2025-04-16,160.0
2025-04-17,175.0
2025-04-18,155.0
2025-04-19,165.0
2025-04-20,190.0
2025-04-21,190.0
2025-04-22,177.5
2025-04-23,165.0
2025-04-24,165.0
2025-04-25,165.0
2025-04-26,165.0
2025-04-27,140.0
2025-04-28,140.0
2025-04-29,140.0
2025-04-30,140.0
2025-05-01,140.0
2025-05-02,155.0
2025-05-03,150.0
2025-05-04,150.0
2025-05-05,150.0
2025-05-06,162.5
2025-05-07,175.0
2025-05-08,175.0
2025-05-09,175.0
2025-05-10,175.0
2025-05-11,175.0
2025-05-12,175.0
2025-05-13,175.0
2025-05-14,175.0
2025-05-15,175.0
2025-05-16,175.0
2025-05-17,175.0
2025-05-18,175.0
2025-05-19,175.0
2025-05-20,175.0
2025-05-21,175.0
2025-05-22,180.0
2025-05-23,185.0
2025-05-24,185.0
2025-05-25,185.0
2025-05-26,185.0
2025-05-27,185.0
2025-05-28,185.0
2025-05-29,180.0
2025-05-30,185.0
2025-05-31,175.0
2025-06-01,185.0
2025-06-02,185.0
2025-06-03,185.0
2025-06-04,185.0
2025-06-05,190.0
2025-06-06,190.0
2025-06-07,190.0
2025-06-08,185.0
2025-06-09,190.0
2025-06-10,200.0
2025-06-11,210.0
2025-06-12,210.0
2025-06-13,220.0
2025-06-14,230.0
2025-06-15,235.0
2025-06-16,255.0
2025-06-17,247.5
2025-06-18,240.0
2025-06-19,255.0
2025-06-20,255.0
2025-06-21,257.5
2025-06-22,260.0
2025-06-23,240.0
2025-06-24,247.5
2025-06-25,255.0
2025-06-26,230.0
2025-06-27,230.0
2025-06-28,240.0
2025-06-29,230.0
2025-06-30,230.0
2025-07-01,227.5
2025-07-02,225.0
2025-07-03,235.0
2025-07-04,225.0
2025-07-05,225.0
2025-07-06,220.0
2025-07-07,220.0
2025-07-08,220.0
2025-07-09,220.0
2025-07-10,215.0
2025-07-11,210.0
2025-07-12,210.0
2025-07-13,200.0
2025-07-14,200.0
2025-07-15,182.5
2025-07-16,165.0
2025-07-17,165.0
2025-07-18,165.0
2025-07-19,190.0
2025-07-20,190.0
2025-07-21,165.0
2025-07-22,150.0
2025-07-23,135.0
2025-07-24,140.0
2025-07-25,140.0
2025-07-26,140.0
2025-07-27,175.0
2025-07-28,180.0
2025-07-29,197.5
2025-07-30,215.0
2025-07-31,215.0
2025-08-01,175.0
2025-08-02,175.0
2025-08-03,175.0
2025-08-04,175.0
2025-08-05,175.0
2025-08-06,175.0
2025-08-07,175.0
2025-08-08,175.0
2025-08-09,175.0
2025-08-10,185.0
2025-08-11,185.0
2025-08-12,187.5
2025-08-13,190.0
2025-08-14,195.0
2025-08-15,185.0
2025-08-16,210.0
2025-08-17,220.0
2025-08-18,195.0
2025-08-19,210.0
2025-08-20,225.0
2025-08-21,200.0
2025-08-22,200.0
2025-08-23,200.0
2025-08-24,210.0
2025-08-25,225.0
2025-08-26,205.0
2025-08-27,185.0
2025-08-28,185.0
2025-08-29,225.0
2025-08-30,215.0
2025-08-31,210.0
2025-09-01,225.0
2025-09-02,225.0
2025-09-03,225.0
2025-09-04,250.0
2025-09-05,275.0
2025-09-06,320.0
2025-09-07,325.0
2025-09-08,325.0
2025-09-09,307.5
2025-09-10,290.0
2025-09-11,325.0
2025-09-12,340.0
2025-09-13,325.0
2025-09-14,325.0
2025-09-15,300.0
2025-09-16,300.0
2025-09-17,300.0
2025-09-18,300.0
2025-09-19,320.0
2025-09-20,320.0
2025-09-21,320.0
2025-09-22,320.0
2025-09-23,320.0
2025-09-24,320.0
2025-09-25,320.0
2025-09-26,320.0
2025-09-27,320.0
2025-09-28,320.0
2025-09-29,320.0
2025-09-30,322.5
2025-10-01,325.0
2025-10-02,290.0
2025-10-03,290.0
2025-10-04,280.0
2025-10-05,270.0
2025-10-06,280.0
2025-10-07,275.0
2025-10-08,270.0
2025-10-09,275.0
2025-10-10,270.0
2025-10-11,265.0
2025-10-12,260.0
2025-10-13,265.0
2025-10-14,265.0
2025-10-15,265.0
2025-10-16,285.0
2025-10-17,320.0
2025-10-18,360.0
2025-10-19,365.0
2025-10-20,365.0
2025-10-21,370.0
2025-10-22,375.0
2025-10-23,375.0
2025-10-24,375.0
2025-10-25,335.0
2025-10-26,335.0
2025-10-27,365.0
2025-10-28,365.0
2025-10-29,365.0
2025-10-30,350.0
2025-10-31,350.0
2025-11-01,365.0
2025-11-02,372.5
2025-11-03,380.0
2025-11-04,410.0
2025-11-05,440.0
