date,price
2025-01-01,240.0
2025-01-02,240.0
2025-01-03,240.0
2025-01-04,240.0
2025-01-05,240.0
2025-01-06,240.0
2025-01-07,240.0
2025-01-08,240.0
2025-01-09,240.0
2025-01-10,240.0
2025-01-11,240.0
2025-01-12,240.0
2025-01-13,240.0
2025-01-14,240.0
2025-01-15,240.0
2025-01-16,240.0
2025-01-17,240.0
2025-01-18,240.0
2025-01-19,240.0
2025-01-20,240.0
2025-01-21,240.0
2025-01-22,240.0
2025-01-23,240.0
2025-01-24,240.0
2025-01-25,240.0
2025-01-26,240.0
2025-01-27,240.0
2025-01-28,240.0
2025-01-29,240.0
2025-01-30,240.0
2025-01-31,240.0
2025-02-01,240.0
2025-02-02,240.0
2025-02-03,240.0
2025-02-04,240.0
2025-02-05,240.0
2025-02-06,240.0
2025-02-07,240.0
2025-02-08,240.0
2025-02-09,240.0
2025-02-10,240.0
2025-02-11,240.0
2025-02-12,240.0
2025-02-13,240.0
2025-02-14,240.0
2025-02-15,240.0
2025-02-16,240.0
2025-02-17,240.0
2025-02-18,240.0
2025-02-19,240.0
2025-02-20,240.0
2025-02-21,240.0
2025-02-22,240.0
2025-02-23,240.0
2025-02-24,240.0
2025-02-25,240.0
2025-02-26,240.0
2025-02-27,240.0
2025-02-28,240.0
2025-03-01,240.0
2025-03-02,240.0
2025-03-03,240.0
2025-03-04,240.0
2025-03-05,240.0
2025-03-06,240.0
2025-03-07,240.0
2025-03-08,240.0
2025-03-09,240.0
2025-03-10,240.0
2025-03-11,240.0
2025-03-12,240.0
2025-03-13,240.0
2025-03-14,240.0
2025-03-15,240.0
2025-03-16,240.0
2025-03-17,240.0
2025-03-18,240.0
2025-03-19,240.0
2025-03-20,240.0
2025-03-21,240.0
2025-03-22,240.0
2025-03-23,240.0
2025-03-24,240.0
2025-03-25,240.0
2025-03-26,240.0
2025-03-27,240.0
2025-03-28,240.0
2025-03-29,240.0
2025-03-30,240.0
2025-03-31,240.0
2025-04-01,240.0
2025-04-02,240.0
2025-04-03,240.0
2025-04-04,240.0
2025-04-05,240.0
2025-04-06,240.0
2025-04-07,240.0
2025-04-08,240.0
2025-04-09,240.0
2025-04-10,240.0
2025-04-11,240.0
2025-04-12,240.0
2025-04-13,240.0
2025-04-14,240.0
2025-04-15,240.0
2025-04-16,240.0
2025-04-17,240.0
2025-04-18,240.0
2025-04-19,240.0
2025-04-20,240.0
2025-04-21,240.0
2025-04-22,240.0
2025-04-23,240.0
2025-04-24,240.0
2025-04-25,240.0
2025-04-26,240.0
2025-04-27,240.0
2025-04-28,240.0
2025-04-29,240.0
2025-04-30,240.0
2025-05-01,240.0
2025-05-02,240.0
2025-05-03,240.0
2025-05-04,240.0
2025-05-05,240.0
2025-05-06,240.0
2025-05-07,240.0
2025-05-08,240.0
2025-05-09,240.0
2025-05-10,240.0
2025-05-11,240.0
2025-05-12,240.0
2025-05-13,240.0
2025-05-14,240.0
2025-05-15,240.0
2025-05-16,240.0
2025-05-17,240.0
2025-05-18,240.0
2025-05-19,240.0
2025-05-20,240.0
2025-05-21,240.0
2025-05-22,240.0
2025-05-23,240.0
2025-05-24,240.0
2025-05-25,240.0
2025-05-26,240.0
2025-05-27,240.0
2025-05-28,240.0
2025-05-29,240.0
2025-05-30,240.0
2025-05-31,240.0
2025-06-01,240.0
2025-06-02,240.0
2025-06-03,240.0
2025-06-04,240.0
2025-06-05,240.0
2025-06-06,240.0
2025-06-07,240.0
2025-06-08,240.0
2025-06-09,240.0
2025-06-10,240.0
2025-06-11,240.0
2025-06-12,240.0
2025-06-13,240.0
2025-06-14,240.0
2025-06-15,240.0
2025-06-16,240.0
2025-06-17,240.0
2025-06-18,240.0
2025-06-19,240.0
2025-06-20,240.0
2025-06-21,240.0
2025-06-22,240.0
2025-06-23,240.0
2025-06-24,240.0
2025-06-25,240.0
2025-06-26,240.0
2025-06-27,240.0
2025-06-28,240.0
2025-06-29,240.0
2025-06-30,240.0
2025-07-01,240.0
2025-07-02,240.0
2025-07-03,240.0
2025-07-04,240.0
2025-07-05,240.0
2025-07-06,240.0
2025-07-07,240.0
2025-07-08,240.0
2025-07-09,240.0
2025-07-10,240.0
2025-07-11,240.0
2025-07-12,240.0
2025-07-13,240.0
2025-07-14,240.0
2025-07-15,240.0
2025-07-16,240.0
2025-07-17,240.0
2025-07-18,240.0
2025-07-19,240.0
2025-07-20,240.0
2025-07-21,240.0
2025-07-22,240.0
2025-07-23,240.0
2025-07-24,240.0
2025-07-25,240.0
2025-07-26,240.0
2025-07-27,240.0
2025-07-28,240.0
2025-07-29,240.0
2025-07-30,240.0
2025-07-31,240.0
2025-08-01,240.0
2025-08-02,240.0
2025-08-03,240.0
2025-08-04,240.0
2025-08-05,240.0
2025-08-06,240.0
2025-08-07,240.0
2025-08-08,240.0
2025-08-09,240.0
2025-08-10,240.0
2025-08-11,240.0
2025-08-12,240.0
2025-08-13,240.0
2025-08-14,240.0
2025-08-15,240.0
2025-08-16,240.0
2025-08-17,240.0
2025-08-18,240.0
2025-08-19,240.0
2025-08-20,240.0
2025-08-21,240.0
2025-08-22,240.0
2025-08-23,240.0
2025-08-24,240.0
2025-08-25,240.0
2025-08-26,240.0
2025-08-27,240.0
2025-08-28,240.0
2025-08-29,240.0
2025-08-30,240.0
2025-08-31,240.0
2025-09-01,240.0
2025-09-02,240.0
2025-09-03,240.0
2025-09-04,240.0
2025-09-05,240.0
2025-09-06,240.0
2025-09-07,240.0
2025-09-08,240.0
2025-09-09,240.0
2025-09-10,240.0
2025-09-11,240.0
2025-09-12,240.0
2025-09-13,240.0
2025-09-14,240.0
2025-09-15,240.0
2025-09-16,240.0
2025-09-17,240.0
2025-09-18,240.0
2025-09-19,240.0
2025-09-20,240.0
2025-09-21,240.0
2025-09-22,240.0
2025-09-23,240.0
2025-09-24,240.0
2025-09-25,240.0
2025-09-26,240.0
2025-09-27,240.0
2025-09-28,240.0
2025-09-29,240.0
2025-09-30,240.0
2025-10-01,240.0
2025-10-02,240.0
2025-10-03,240.0
2025-10-04,240.0
2025-10-05,240.0
2025-10-06,240.0
2025-10-07,240.0
2025-10-08,240.0
2025-10-09,240.0
2025-10-10,240.0
2025-10-11,240.0
2025-10-12,240.0
2025-10-13,240.0
2025-10-14,240.0
2025-10-15,240.0
2025-10-16,240.0
2025-10-17,240.0
2025-10-18,240.0
2025-10-19,240.0
2025-10-20,240.0
2025-10-21,240.0
2025-10-22,240.0
2025-10-23,240.0
2025-10-24,240.0
2025-10-25,240.0
2025-10-26,240.0
2025-10-27,240.0
2025-10-28,240.0
2025-10-29,240.0
2025-10-30,240.0
2025-10-31,240.0
2025-11-01,240.0
2025-11-02,240.0
2025-11-03,240.0
2025-11-04,240.0
2025-11-05,240.0
2025-11-06,240.0
2025-11-07,240.0
2025-11-08,240.0
2025-11-09,240.0
2025-11-10,240.0
2025-11-11,240.0
2025-11-12,240.0
2025-11-13,240.0
2025-11-14,240.0
2025-11-15,240.0
2025-11-16,240.0
2025-11-17,240.0
2025-11-18,240.0
2025-11-19,240.0
2025-11-20,240.0
2025-11-21,240.0
2025-11-22,240.0
2025-11-23,240.0
2025-11-24,240.0
2025-11-25,240.0
2025-11-26,240.0
2025-11-27,240.0
2025-11-28,240.0
2025-11-29,240.0
2025-11-30,240.0
2025-12-01,240.0
2025-12-02,240.0
2025-12-03,240.0
2025-12-04,240.0
2025-12-05,240.0
2025-12-06,240.0
2025-12-07,240.0
2025-12-08,240.0
2025-12-09,247.5
2025-12-10,255.0
2025-12-11,255.0
2025-12-12,255.0
2025-12-13,255.0
2025-12-14,255.0
2025-12-15,255.0
2025-12-16,255.0
2025-12-17,255.0
2025-12-18,255.0
2025-12-19,255.0
2025-12-20,255.0
2025-12-21,255.0
2025-12-22,255.0
2025-12-23,250.0
2025-12-24,245.0
2025-12-25,255.0
2025-12-26,255.0
2025-12-27,255.0
2025-12-28,255.0
2025-12-29,255.0
2025-12-30,255.0
2025-12-31,255.0
