date,price
2025-01-01,50.0
2025-01-02,50.0
2025-01-03,50.0
2025-01-04,50.0
2025-01-05,50.0
2025-01-06,50.0
2025-01-07,50.0
2025-01-08,50.0
2025-01-09,50.0
2025-01-10,50.0
2025-01-11,50.0
2025-01-12,50.0
2025-01-13,50.0
2025-01-14,50.0
2025-01-15,50.0
2025-01-16,50.0
2025-01-17,50.0
2025-01-18,50.0
2025-01-19,50.0
2025-01-20,50.0
2025-01-21,50.0
2025-01-22,50.0
2025-01-23,50.0
2025-01-24,50.0
2025-01-25,50.0
2025-01-26,50.0
2025-01-27,50.0
2025-01-28,50.0
2025-01-29,50.0
2025-01-30,50.0
2025-01-31,50.0
2025-02-01,50.0
2025-02-02,50.0
2025-02-03,50.0
2025-02-04,50.0
2025-02-05,50.0
2025-02-06,50.0
2025-02-07,50.0
2025-02-08,50.0
2025-02-09,50.0
2025-02-10,50.0
2025-02-11,50.0
2025-02-12,50.0
2025-02-13,50.0
2025-02-14,50.0
2025-02-15,50.0
2025-02-16,50.0
2025-02-17,50.0
2025-02-18,50.0
2025-02-19,50.0
2025-02-20,50.0
2025-02-21,50.0
2025-02-22,50.5
2025-02-23,50.5
2025-02-24,50.5
2025-02-25,50.5
2025-02-26,50.5
2025-02-27,50.5
2025-02-28,50.5
2025-03-01,50.5
2025-03-02,52.0
2025-03-03,51.833333333333336
2025-03-04,51.666666666666664
2025-03-05,51.5
2025-03-06,50.5
2025-03-07,48.0
2025-03-08,49.5
2025-03-09,49.5
2025-03-10,49.5
2025-03-11,49.5
2025-03-12,49.5
2025-03-13,49.5
2025-03-14,49.5
2025-03-15,49.5
2025-03-16,49.5
2025-03-17,49.5
2025-03-18,49.5
2025-03-19,49.5
2025-03-20,49.0
2025-03-21,49.5
2025-03-22,49.5
2025-03-23,49.5
2025-03-24,49.5
2025-03-25,49.5
2025-03-26,49.5
2025-03-27,49.5
2025-03-28,49.5
2025-03-29,47.5
2025-03-30,45.5
2025-03-31,43.5
2025-04-01,41.5
2025-04-02,39.5
2025-04-03,49.5
2025-04-04,49.5
2025-04-05,49.5
2025-04-06,50.0
2025-04-07,50.0
2025-04-08,50.0
2025-04-09,50.0
2025-04-10,50.0
2025-04-11,50.0
2025-04-12,50.0
2025-04-13,50.0
2025-04-14,50.0
2025-04-15,50.0
2025-04-16,50.0
2025-04-17,50.0
2025-04-18,50.0
2025-04-19,49.5
2025-04-20,49.5
2025-04-21,49.5
2025-04-22,49.75
2025-04-23,50.0
2025-04-24,50.0
2025-04-25,50.5
2025-04-26,49.5
2025-04-27,49.5
2025-04-28,49.0
2025-04-29,49.5
2025-04-30,50.0
2025-05-01,50.0
2025-05-02,49.5
2025-05-03,49.5
2025-05-04,49.5
2025-05-05,49.5
2025-05-06,49.5
2025-05-07,49.5
2025-05-08,49.5
2025-05-09,49.5
2025-05-10,49.5
2025-05-11,49.5
2025-05-12,50.0
2025-05-13,49.75
2025-05-14,49.5
2025-05-15,49.5
2025-05-16,49.5
2025-05-17,49.5
2025-05-18,49.5
2025-05-19,49.5
2025-05-20,49.5
2025-05-21,49.5
2025-05-22,50.0
2025-05-23,50.0
2025-05-24,50.0
2025-05-25,50.0
2025-05-26,50.0
2025-05-27,50.0
2025-05-28,50.0
2025-05-29,50.0
2025-05-30,50.0
2025-05-31,50.0
2025-06-01,50.0
2025-06-02,49.5
2025-06-03,49.75
2025-06-04,50.0
2025-06-05,50.0
2025-06-06,50.0
2025-06-07,50.0
2025-06-08,49.5
2025-06-09,50.0
2025-06-10,49.75
2025-06-11,49.5
2025-06-12,50.0
2025-06-13,49.5
2025-06-14,49.5
2025-06-15,49.5
2025-06-16,49.5
2025-06-17,49.5
2025-06-18,49.5
2025-06-19,49.5
2025-06-20,49.5
2025-06-21,49.5
2025-06-22,49.5
2025-06-23,49.5
2025-06-24,49.5
2025-06-25,49.5
2025-06-26,49.0
2025-06-27,49.0
2025-06-28,49.0
2025-06-29,49.0
2025-06-30,49.0
2025-07-01,49.5
2025-07-02,50.0
2025-07-03,49.0
2025-07-04,49.0
2025-07-05,49.0
2025-07-06,49.0
2025-07-07,49.0
2025-07-08,49.0
2025-07-09,49.0
2025-07-10,49.0
2025-07-11,48.5
2025-07-12,48.5
2025-07-13,48.5
2025-07-14,48.5
2025-07-15,48.5
2025-07-16,48.5
2025-07-17,49.0
2025-07-18,48.0
2025-07-19,48.0
2025-07-20,48.0
2025-07-21,48.0
2025-07-22,48.0
2025-07-23,48.0
2025-07-24,49.0
2025-07-25,47.0
2025-07-26,50.0
2025-07-27,48.0
2025-07-28,47.833333333333336
2025-07-29,47.666666666666664
2025-07-30,47.5
2025-07-31,47.5
2025-08-01,47.5
2025-08-02,46.0
2025-08-03,47.5
2025-08-04,47.5
2025-08-05,47.25
2025-08-06,47.0
2025-08-07,47.0
2025-08-08,47.0
2025-08-09,47.0
2025-08-10,47.5
2025-08-11,47.5
2025-08-12,48.25
2025-08-13,49.0
2025-08-14,48.5
2025-08-15,46.5
2025-08-16,47.0
2025-08-17,46.5
2025-08-18,46.5
2025-08-19,46.75
2025-08-20,47.0
2025-08-21,46.5
2025-08-22,48.0
2025-08-23,48.0
2025-08-24,46.5
2025-08-25,46.5
2025-08-26,46.5
2025-08-27,46.5
2025-08-28,46.5
2025-08-29,46.5
2025-08-30,46.5
2025-08-31,46.5
2025-09-01,46.5
2025-09-02,46.5
2025-09-03,46.5
2025-09-04,46.0
2025-09-05,48.5
2025-09-06,48.5
2025-09-07,48.5
2025-09-08,48.5
2025-09-09,48.25
2025-09-10,48.0
2025-09-11,48.5
2025-09-12,47.5
2025-09-13,47.5
2025-09-14,46.0
2025-09-15,48.5
2025-09-16,45.25
2025-09-17,42.0
2025-09-18,42.0
2025-09-19,42.0
2025-09-20,46.0
2025-09-21,46.0
2025-09-22,46.0
2025-09-23,45.5
2025-09-24,45.0
