date,price
2025-01-01,51.0
2025-01-02,51.0
2025-01-03,53.5
2025-01-04,53.5
2025-01-05,54.5
2025-01-06,54.333333333333336
2025-01-07,54.166666666666664
2025-01-08,54.0
2025-01-09,54.0
2025-01-10,54.0
2025-01-11,54.0
2025-01-12,54.0
2025-01-13,54.0
2025-01-14,54.0
2025-01-15,54.0
2025-01-16,54.0
2025-01-17,54.0
2025-01-18,54.0
2025-01-19,56.0
2025-01-20,55.666666666666664
2025-01-21,55.333333333333336
2025-01-22,55.0
2025-01-23,53.0
2025-01-24,53.0
2025-01-25,52.5
2025-01-26,52.5
2025-01-27,52.5
2025-01-28,52.5
2025-01-29,52.5
2025-01-30,52.5
2025-01-31,52.5
2025-02-01,52.5
2025-02-02,52.5
2025-02-03,52.5
2025-02-04,52.5
2025-02-05,52.5
2025-02-06,52.5
2025-02-07,54.0
2025-02-08,52.5
2025-02-09,54.0
2025-02-10,54.0
2025-02-11,54.0
2025-02-12,54.0
2025-02-13,54.0
2025-02-14,54.0
2025-02-15,54.0
2025-02-16,54.0
2025-02-17,53.666666666666664
2025-02-18,53.333333333333336
2025-02-19,53.0
2025-02-20,53.0
2025-02-21,53.0
2025-02-22,53.0
2025-02-23,53.0
2025-02-24,52.833333333333336
2025-02-25,52.666666666666664
2025-02-26,52.5
2025-02-27,52.5
2025-02-28,54.0
2025-03-01,52.5
2025-03-02,53.5
2025-03-03,54.0
2025-03-04,54.5
2025-03-05,55.0
2025-03-06,53.5
2025-03-07,53.5
2025-03-08,54.0
2025-03-09,54.0
2025-03-10,53.833333333333336
2025-03-11,53.666666666666664
2025-03-12,53.5
2025-03-13,54.0
2025-03-14,54.0
2025-03-15,54.0
2025-03-16,53.5
2025-03-17,53.333333333333336
2025-03-18,53.166666666666664
2025-03-19,53.0
2025-03-20,53.0
2025-03-21,52.5
2025-03-22,52.5
2025-03-23,52.5
2025-03-24,52.5
2025-03-25,52.5
2025-03-26,52.5
2025-03-27,52.5
2025-03-28,52.0
2025-03-29,52.0
2025-03-30,52.0
2025-03-31,52.0
2025-04-01,52.0
2025-04-02,52.0
2025-04-03,52.0
2025-04-04,52.5
2025-04-05,52.5
2025-04-06,52.5
2025-04-07,52.5
2025-04-08,52.5
2025-04-09,52.5
2025-04-10,52.5
2025-04-11,52.5
2025-04-12,52.5
2025-04-13,52.5
2025-04-14,52.5
2025-04-15,52.5
2025-04-16,52.5
2025-04-17,52.5
2025-04-18,52.5
2025-04-19,52.5
2025-04-20,54.0
2025-04-21,54.0
2025-04-22,53.25
2025-04-23,52.5
2025-04-24,52.5
2025-04-25,52.5
2025-04-26,52.5
2025-04-27,52.5
2025-04-28,53.0
2025-04-29,52.75
2025-04-30,52.5
2025-05-01,52.5
2025-05-02,51.5
2025-05-03,2725.5
2025-05-04,2725.5
2025-05-05,2725.5
2025-05-06,2725.5
2025-05-07,2725.5
2025-05-08,2725.5
2025-05-09,2725.5
2025-05-10,2725.5
2025-05-11,2725.5
2025-05-12,2725.0
2025-05-13,1388.75
2025-05-14,52.5
2025-05-15,52.5
2025-05-16,52.5
2025-05-17,52.5
2025-05-18,52.5
2025-05-19,54.0
2025-05-20,53.25
2025-05-21,52.5
2025-05-22,52.5
2025-05-23,52.5
2025-05-24,52.5
2025-05-25,53.0
2025-05-26,53.0
2025-05-27,54.25
2025-05-28,55.5
2025-05-29,53.0
2025-05-30,53.5
2025-05-31,53.5
2025-06-01,53.5
2025-06-02,53.0
2025-06-03,53.25
2025-06-04,53.5
2025-06-05,53.5
2025-06-06,54.5
2025-06-07,53.5
2025-06-08,54.5
2025-06-09,54.0
2025-06-10,53.75
2025-06-11,53.5
2025-06-12,53.5
2025-06-13,53.5
2025-06-14,53.5
2025-06-15,53.5
2025-06-16,54.5
2025-06-17,54.0
2025-06-18,53.5
2025-06-19,53.5
2025-06-20,53.5
2025-06-21,53.5
2025-06-22,53.5
2025-06-23,53.5
2025-06-24,53.5
2025-06-25,53.5
2025-06-26,53.5
2025-06-27,53.5
2025-06-28,53.5
2025-06-29,53.5
2025-06-30,53.5
2025-07-01,53.5
2025-07-02,53.5
2025-07-03,53.5
2025-07-04,53.5
2025-07-05,53.5
2025-07-06,53.5
2025-07-07,54.5
2025-07-08,54.0
2025-07-09,53.5
2025-07-10,53.5
2025-07-11,53.5
2025-07-12,53.0
2025-07-13,53.0
2025-07-14,53.5
2025-07-15,53.25
2025-07-16,53.0
2025-07-17,53.0
2025-07-18,53.0
2025-07-19,52.0
2025-07-20,52.0
2025-07-21,52.5
2025-07-22,52.25
2025-07-23,52.0
2025-07-24,52.0
2025-07-25,51.0
2025-07-26,52.5
2025-07-27,52.0
2025-07-28,52.0
2025-07-29,52.0
2025-07-30,52.0
2025-07-31,52.0
2025-08-01,52.0
2025-08-02,52.0
2025-08-03,52.0
2025-08-04,52.0
2025-08-05,52.0
2025-08-06,52.0
2025-08-07,52.0
2025-08-08,52.0
2025-08-09,52.0
2025-08-10,52.0
2025-08-11,52.0
2025-08-12,52.5
2025-08-13,53.0
2025-08-14,52.5
2025-08-15,53.0
2025-08-16,53.0
2025-08-17,53.0
2025-08-18,53.0
2025-08-19,53.0
2025-08-20,53.0
2025-08-21,52.5
2025-08-22,54.5
2025-08-23,51.5
2025-08-24,51.5
2025-08-25,51.5
2025-08-26,51.5
2025-08-27,51.5
2025-08-28,51.5
2025-08-29,51.5
2025-08-30,51.5
2025-08-31,51.5
2025-09-01,51.5
2025-09-02,51.5
2025-09-03,51.5
2025-09-04,52.0
2025-09-05,51.0
2025-09-06,51.0
2025-09-07,51.0
2025-09-08,51.0
2025-09-09,51.0
2025-09-10,51.0
2025-09-11,52.0
2025-09-12,51.0
2025-09-13,51.5
2025-09-14,50.0
2025-09-15,53.0
2025-09-16,51.5
2025-09-17,50.0
2025-09-18,50.0
2025-09-19,50.0
2025-09-20,50.0
2025-09-21,50.0
2025-09-22,50.0
2025-09-23,50.0
2025-09-24,50.0
2025-09-25,50.0
2025-09-26,50.0
2025-09-27,50.0
2025-09-28,50.0
2025-09-29,50.0
2025-09-30,50.0
2025-10-01,50.0
2025-10-02,50.0
2025-10-03,50.0
2025-10-04,50.0
2025-10-05,50.0
2025-10-06,50.0
2025-10-07,49.5
2025-10-08,49.0
2025-10-09,50.0
2025-10-10,50.0
2025-10-11,50.0
2025-10-12,50.0
2025-10-13,50.0
2025-10-14,50.0
2025-10-15,50.0
2025-10-16,50.0
2025-10-17,50.0
2025-10-18,51.5
2025-10-19,50.0
2025-10-20,50.0
2025-10-21,50.0
2025-10-22,50.0
2025-10-23,50.0
2025-10-24,50.0
2025-10-25,50.0
2025-10-26,48.75
2025-10-27,47.5
2025-10-28,48.75
2025-10-29,50.0
2025-10-30,50.0
2025-10-31,50.0
2025-11-01,50.0
2025-11-02,48.25
2025-11-03,46.5
2025-11-04,48.25
2025-11-05,50.0
2025-11-06,48.5
2025-11-07,48.5
2025-11-08,48.5
2025-11-09,48.5
2025-11-10,49.0
2025-11-11,49.25
2025-11-12,49.5
2025-11-13,49.5
2025-11-14,49.5
2025-11-15,49.5
2025-11-16,49.5
2025-11-17,49.5
2025-11-18,49.5
2025-11-19,49.5
2025-11-20,49.5
2025-11-21,49.5
2025-11-22,49.5
2025-11-23,47.5
2025-11-24,47.5
2025-11-25,48.0
2025-11-26,48.5
2025-11-27,49.5
2025-11-28,49.5
2025-11-29,48.0
2025-11-30,48.0
2025-12-01,48.0
2025-12-02,48.75
2025-12-03,49.5
2025-12-04,49.5
2025-12-05,49.5
2025-12-06,47.0
2025-12-07,47.0
2025-12-08,49.5
2025-12-09,48.25
2025-12-10,47.0
2025-12-11,49.5
2025-12-12,49.5
2025-12-13,49.5
2025-12-14,47.0
2025-12-15,47.0
2025-12-16,48.75
2025-12-17,50.5
2025-12-18,48.0
2025-12-19,48.0
2025-12-20,48.0
2025-12-21,48.0
2025-12-22,48.0
2025-12-23,48.0
2025-12-24,48.0
2025-12-25,48.0
2025-12-26,46.75
2025-12-27,45.5
2025-12-28,47.5
2025-12-29,50.5
2025-12-30,50.5
