date,price
2024-01-01,300.0
2024-01-02,300.0
2024-01-03,300.0
2024-01-04,300.0
2024-01-05,300.0
2024-01-06,300.0
2024-01-07,300.0
2024-01-08,300.0
2024-01-09,300.0
2024-01-10,300.0
2024-01-11,300.0
2024-01-12,300.0
2024-01-13,300.0
2024-01-14,300.0
2024-01-15,300.0
2024-01-16,300.0
2024-01-17,300.0
2024-01-18,300.0
2024-01-19,300.0
2024-01-20,300.0
2024-01-21,300.0
2024-01-22,300.0
2024-01-23,300.0
2024-01-24,300.0
2024-01-25,300.0
2024-01-26,300.0
2024-01-27,300.0
2024-01-28,300.0
2024-01-29,300.0
2024-01-30,300.0
2024-01-31,300.0
2024-02-01,300.0
2024-02-02,300.0
2024-02-03,300.0
2024-02-04,300.0
2024-02-05,300.0
2024-02-06,300.0
2024-02-07,300.0
2024-02-08,300.0
2024-02-09,300.0
2024-02-10,300.0
2024-02-11,300.0
2024-02-12,300.0
2024-02-13,300.0
2024-02-14,300.0
2024-02-15,300.0
2024-02-16,300.0
2024-02-17,300.0
2024-02-18,300.0
2024-02-19,300.0
2024-02-20,300.0
2024-02-21,300.0
2024-02-22,300.0
2024-02-23,300.0
2024-02-24,300.0
2024-02-25,300.0
2024-02-26,300.0
2024-02-27,300.0
2024-02-28,300.0
2024-02-29,300.0
2024-03-01,300.0
2024-03-02,300.0
2024-03-03,300.0
2024-03-04,300.0
2024-03-05,300.0
2024-03-06,300.0
2024-03-07,300.0
2024-03-08,300.0
2024-03-09,300.0
2024-03-10,300.0
2024-03-11,300.0
2024-03-12,300.0
2024-03-13,300.0
2024-03-14,300.0
2024-03-15,300.0
2024-03-16,300.0
2024-03-17,300.0
2024-03-18,300.0
2024-03-19,300.0
2024-03-20,300.0
2024-03-21,300.0
2024-03-22,300.0
2024-03-23,300.0
2024-03-24,300.0
2024-03-25,300.0
2024-03-26,300.0
2024-03-27,300.0
2024-03-28,300.0
2024-03-29,300.0
2024-03-30,300.0
2024-03-31,300.0
