date,price
2025-01-01,245.0
2025-01-02,245.0
2025-01-03,245.0
2025-01-04,245.0
2025-01-05,232.5
2025-01-06,220.0
2025-01-07,207.5
2025-01-08,206.25
2025-01-09,205.0
2025-01-10,215.5
2025-01-11,226.0
2025-01-12,215.11
2025-01-13,204.22
2025-01-14,193.33
2025-01-15,194.16500000000002
2025-01-16,195.0
2025-01-17,207.5
2025-01-18,220.0
2025-01-19,233.05666666666667
2025-01-20,246.11333333333334
2025-01-21,259.17
2025-01-22,257.8
2025-01-23,256.43
2025-01-24,257.8
2025-01-25,259.17
2025-01-26,258.5566666666667
2025-01-27,257.9433333333333
2025-01-28,257.33
2025-01-29,252.95
2025-01-30,248.57
2025-01-31,264.28499999999997
2025-02-01,280.0
2025-02-02,273.61
2025-02-03,267.21999999999997
2025-02-04,260.83
2025-02-05,261.185
2025-02-06,261.54
2025-02-07,264.86
2025-02-08,268.18
2025-02-09,259.89666666666665
2025-02-10,251.61333333333334
2025-02-11,243.33
2025-02-12,256.11
2025-02-13,268.89
2025-02-14,236.945
2025-02-15,205.0
2025-02-16,205.83333333333334
2025-02-17,206.66666666666666
2025-02-18,207.5
2025-02-19,229.51999999999998
2025-02-20,251.54
2025-02-21,251.54
2025-02-22,251.54
2025-02-23,250.00199999999998
2025-02-24,248.464
2025-02-25,246.926
2025-02-26,245.388
2025-02-27,243.85
2025-02-28,238.425
2025-03-01,233.0
2025-03-02,238.33333333333334
2025-03-03,243.66666666666666
2025-03-04,249.0
2025-03-05,251.72
2025-03-06,254.44
2025-03-07,253.72
2025-03-08,253.0
2025-03-09,254.22333333333333
2025-03-10,255.4466666666667
2025-03-11,256.67
2025-03-12,252.71
2025-03-13,248.75
2025-03-14,271.875
2025-03-15,295.0
2025-03-16,278.89
2025-03-17,262.78
2025-03-18,246.67
2025-03-19,293.335
2025-03-20,340.0
2025-03-21,290.0
2025-03-22,240.0
2025-03-23,273.3333333333333
2025-03-24,306.6666666666667
2025-03-25,340.0
2025-03-26,247.5
2025-03-27,324.84375
2025-03-28,191.875
2025-03-29,228.75
2025-03-30,208.33333333333334
2025-03-31,187.91666666666666
2025-04-01,167.5
2025-04-02,167.5
2025-04-03,167.5
2025-04-04,162.5
