date,price
2025-01-01,175.0
2025-01-02,175.0
2025-01-03,180.0
2025-01-04,170.0
2025-01-05,160.0
2025-01-06,156.66666666666666
2025-01-07,153.33333333333334
2025-01-08,150.0
2025-01-09,150.0
2025-01-10,155.0
2025-01-11,150.0
2025-01-12,160.0
2025-01-13,158.33333333333334
2025-01-14,156.66666666666666
2025-01-15,155.0
2025-01-16,155.0
2025-01-17,155.0
2025-01-18,145.0
2025-01-19,155.0
2025-01-20,150.0
2025-01-21,145.0
2025-01-22,140.0
2025-01-23,140.0
2025-01-24,145.0
2025-01-25,140.0
2025-01-26,135.0
2025-01-27,135.0
2025-01-28,135.0
2025-01-29,135.0
2025-01-30,135.0
2025-01-31,135.0
2025-02-01,130.0
2025-02-02,130.0
2025-02-03,126.66666666666667
2025-02-04,123.33333333333333
2025-02-05,120.0
2025-02-06,120.0
2025-02-07,115.0
2025-02-08,115.0
2025-02-09,115.0
2025-02-10,113.33333333333333
2025-02-11,111.66666666666667
2025-02-12,110.0
2025-02-13,107.5
2025-02-14,105.0
2025-02-15,110.0
2025-02-16,110.0
2025-02-17,108.33333333333333
2025-02-18,106.66666666666667
2025-02-19,105.0
2025-02-20,105.0
2025-02-21,95.0
2025-02-22,95.0
2025-02-23,95.0
2025-02-24,93.33333333333333
2025-02-25,91.66666666666667
2025-02-26,90.0
2025-02-27,95.0
2025-02-28,95.0
2025-03-01,95.0
2025-03-02,90.0
2025-03-03,90.83333333333333
2025-03-04,91.66666666666667
2025-03-05,92.5
2025-03-06,92.5
2025-03-07,95.0
2025-03-08,95.0
2025-03-09,95.0
2025-03-10,93.33333333333333
2025-03-11,91.66666666666667
2025-03-12,90.0
2025-03-13,90.0
2025-03-14,90.0
2025-03-15,90.0
2025-03-16,90.0
2025-03-17,90.0
2025-03-18,90.0
2025-03-19,90.0
2025-03-20,90.0
2025-03-21,95.0
2025-03-22,95.0
2025-03-23,95.0
2025-03-24,93.33333333333333
2025-03-25,91.66666666666667
2025-03-26,90.0
2025-03-27,90.0
2025-03-28,90.0
2025-03-29,90.0
2025-03-30,90.0
2025-03-31,90.0
2025-04-01,90.0
2025-04-02,90.0
2025-04-03,90.0
2025-04-04,90.0
2025-04-05,90.0
2025-04-06,95.0
2025-04-07,94.16666666666667
2025-04-08,93.33333333333333
2025-04-09,92.5
2025-04-10,91.66666666666667
2025-04-11,90.83333333333333
2025-04-12,90.0
2025-04-13,90.0
2025-04-14,90.0
2025-04-15,90.0
2025-04-16,90.0
2025-04-17,90.0
2025-04-18,90.0
2025-04-19,90.0
2025-04-20,90.0
2025-04-21,90.0
2025-04-22,90.0
2025-04-23,90.0
2025-04-24,95.0
2025-04-25,95.0
2025-04-26,95.0
2025-04-27,95.0
2025-04-28,90.0
2025-04-29,90.0
2025-04-30,90.0
2025-05-01,92.5
2025-05-02,92.5
2025-05-03,92.5
2025-05-04,92.5
2025-05-05,95.0
2025-05-06,98.75
2025-05-07,102.5
2025-05-08,105.0
2025-05-09,110.0
2025-05-10,110.0
2025-05-11,110.0
2025-05-12,110.0
2025-05-13,112.5
2025-05-14,115.0
2025-05-15,105.0
2025-05-16,105.0
2025-05-17,105.0
2025-05-18,115.0
2025-05-19,105.0
2025-05-20,107.5
2025-05-21,110.0
2025-05-22,110.0
2025-05-23,110.0
2025-05-24,112.5
2025-05-25,112.5
2025-05-26,112.5
2025-05-27,112.5
2025-05-28,112.5
2025-05-29,115.0
2025-05-30,115.0
2025-05-31,115.0
2025-06-01,110.0
2025-06-02,110.0
2025-06-03,110.0
2025-06-04,110.0
2025-06-05,110.0
2025-06-06,110.0
2025-06-07,115.0
2025-06-08,115.0
2025-06-09,115.0
2025-06-10,115.0
2025-06-11,115.0
2025-06-12,115.0
2025-06-13,115.0
2025-06-14,110.0
2025-06-15,110.0
2025-06-16,110.0
2025-06-17,110.0
2025-06-18,110.0
2025-06-19,115.0
2025-06-20,115.0
2025-06-21,115.0
2025-06-22,115.0
2025-06-23,115.0
2025-06-24,115.0
2025-06-25,115.0
2025-06-26,115.0
2025-06-27,115.0
2025-06-28,115.0
2025-06-29,115.0
2025-06-30,110.0
2025-07-01,112.5
2025-07-02,115.0
2025-07-03,115.0
2025-07-04,115.0
2025-07-05,115.0
2025-07-06,115.0
2025-07-07,110.0
2025-07-08,112.5
2025-07-09,115.0
2025-07-10,115.0
2025-07-11,115.0
2025-07-12,115.0
2025-07-13,115.0
2025-07-14,115.0
2025-07-15,112.5
2025-07-16,110.0
2025-07-17,110.0
2025-07-18,115.0
2025-07-19,110.0
2025-07-20,110.0
2025-07-21,115.0
2025-07-22,115.0
2025-07-23,115.0
2025-07-24,115.0
2025-07-25,100.0
2025-07-26,120.0
2025-07-27,115.0
2025-07-28,110.0
2025-07-29,112.5
2025-07-30,115.0
2025-07-31,115.0
2025-08-01,115.0
2025-08-02,115.0
2025-08-03,115.0
2025-08-04,115.0
2025-08-05,115.0
2025-08-06,115.0
2025-08-07,115.0
2025-08-08,115.0
2025-08-09,115.0
2025-08-10,115.0
2025-08-11,115.0
2025-08-12,115.0
2025-08-13,115.0
2025-08-14,115.0
2025-08-15,115.0
2025-08-16,115.0
2025-08-17,117.0
2025-08-18,110.0
2025-08-19,112.5
2025-08-20,115.0
2025-08-21,110.0
2025-08-22,110.0
2025-08-23,110.0
2025-08-24,110.0
2025-08-25,110.0
2025-08-26,107.5
2025-08-27,105.0
2025-08-28,110.0
2025-08-29,110.0
2025-08-30,110.0
2025-08-31,110.0
2025-09-01,110.0
2025-09-02,110.0
2025-09-03,110.0
2025-09-04,105.0
2025-09-05,110.0
2025-09-06,110.0
2025-09-07,110.0
2025-09-08,110.0
2025-09-09,110.0
2025-09-10,110.0
2025-09-11,110.0
2025-09-12,112.5
2025-09-13,112.5
2025-09-14,112.5
2025-09-15,112.5
2025-09-16,112.5
2025-09-17,112.5
2025-09-18,112.5
2025-09-19,112.5
2025-09-20,112.5
2025-09-21,112.5
2025-09-22,112.5
2025-09-23,112.5
2025-09-24,112.5
2025-09-25,112.5
2025-09-26,112.5
2025-09-27,112.5
2025-09-28,112.5
2025-09-29,112.5
2025-09-30,110.0
2025-10-01,107.5
2025-10-02,107.5
2025-10-03,107.5
2025-10-04,107.5
2025-10-05,107.5
2025-10-06,108.5
2025-10-07,110.5
2025-10-08,112.5
2025-10-09,112.5
2025-10-10,112.5
2025-10-11,112.5
2025-10-12,112.5
2025-10-13,115.0
2025-10-14,111.25
2025-10-15,107.5
2025-10-16,107.5
2025-10-17,107.5
2025-10-18,107.5
2025-10-19,107.5
2025-10-20,107.5
2025-10-21,107.5
2025-10-22,107.5
2025-10-23,107.5
2025-10-24,107.5
2025-10-25,107.5
2025-10-26,107.5
2025-10-27,117.5
2025-10-28,113.75
2025-10-29,110.0
2025-10-30,110.0
2025-10-31,110.0
2025-11-01,110.0
2025-11-02,111.25
2025-11-03,112.5
2025-11-04,111.25
2025-11-05,110.0
2025-11-06,112.5
2025-11-07,112.5
2025-11-08,112.5
2025-11-09,112.5
2025-11-10,117.5
2025-11-11,115.0
2025-11-12,112.5
2025-11-13,112.5
2025-11-14,112.5
2025-11-15,112.5
2025-11-16,112.5
2025-11-17,112.5
2025-11-18,112.5
2025-11-19,112.5
2025-11-20,112.5
2025-11-21,112.5
2025-11-22,112.5
2025-11-23,112.5
2025-11-24,112.5
2025-11-25,112.5
2025-11-26,112.5
2025-11-27,112.5
2025-11-28,112.5
2025-11-29,112.5
2025-11-30,112.5
2025-12-01,115.0
2025-12-02,113.75
2025-12-03,112.5
2025-12-04,112.5
2025-12-05,112.5
2025-12-06,110.0
2025-12-07,110.0
2025-12-08,110.0
2025-12-09,110.0
2025-12-10,110.0
2025-12-11,110.0
2025-12-12,115.0
2025-12-13,115.0
2025-12-14,115.0
2025-12-15,115.0
2025-12-16,115.0
2025-12-17,115.0
2025-12-18,120.0
2025-12-19,120.0
2025-12-20,120.0
2025-12-21,120.0
2025-12-22,120.0
2025-12-23,122.5
2025-12-24,125.0
2025-12-25,125.0
2025-12-26,127.5
2025-12-27,130.0
2025-12-28,135.0
2025-12-29,135.0
2025-12-30,132.5
2025-12-31,130.0
