date,price
2025-01-01,47.5
2025-01-02,47.5
2025-01-03,47.5
2025-01-04,47.5
2025-01-05,51.5
2025-01-06,50.166666666666664
2025-01-07,48.833333333333336
2025-01-08,47.5
2025-01-09,50.0
2025-01-10,51.0
2025-01-11,52.0
2025-01-12,52.0
2025-01-13,52.0
2025-01-14,52.0
2025-01-15,52.0
2025-01-16,52.0
2025-01-17,53.0
2025-01-18,52.0
2025-01-19,52.0
2025-01-20,52.0
2025-01-21,52.0
2025-01-22,52.0
2025-01-23,52.0
2025-01-24,49.5
2025-01-25,52.0
2025-01-26,52.0
2025-01-27,52.166666666666664
2025-01-28,52.333333333333336
2025-01-29,52.5
2025-01-30,52.5
2025-01-31,52.0
2025-02-01,52.0
2025-02-02,52.0
2025-02-03,52.0
2025-02-04,52.0
2025-02-05,52.0
2025-02-06,52.5
2025-02-07,52.5
2025-02-08,52.5
2025-02-09,52.5
2025-02-10,52.5
2025-02-11,52.5
2025-02-12,52.5
2025-02-13,52.5
2025-02-14,52.5
2025-02-15,52.5
2025-02-16,52.5
2025-02-17,52.166666666666664
2025-02-18,51.833333333333336
2025-02-19,51.5
2025-02-20,51.5
2025-02-21,53.5
2025-02-22,53.0
2025-02-23,53.0
2025-02-24,52.666666666666664
2025-02-25,52.333333333333336
2025-02-26,52.0
2025-02-27,53.5
2025-02-28,53.0
2025-03-01,51.5
2025-03-02,51.5
2025-03-03,51.5
2025-03-04,51.5
2025-03-05,51.5
2025-03-06,51.5
2025-03-07,51.5
2025-03-08,51.5
2025-03-09,51.5
2025-03-10,51.5
2025-03-11,51.5
2025-03-12,51.5
2025-03-13,51.5
2025-03-14,51.5
2025-03-15,51.5
2025-03-16,51.5
2025-03-17,52.0
2025-03-18,52.5
2025-03-19,53.0
2025-03-20,53.0
2025-03-21,53.5
2025-03-22,53.5
2025-03-23,53.5
2025-03-24,53.5
2025-03-25,53.5
2025-03-26,53.5
2025-03-27,53.5
2025-03-28,52.0
2025-03-29,52.3
2025-03-30,52.6
2025-03-31,52.9
2025-04-01,53.2
2025-04-02,53.5
2025-04-03,51.5
2025-04-04,53.5
2025-04-05,53.0
2025-04-06,53.0
2025-04-07,52.75
2025-04-08,52.5
2025-04-09,52.25
2025-04-10,52.0
2025-04-11,51.75
2025-04-12,51.5
2025-04-13,51.5
2025-04-14,51.5
2025-04-15,51.5
2025-04-16,51.5
2025-04-17,51.5
2025-04-18,51.5
2025-04-19,51.5
2025-04-20,51.5
2025-04-21,51.5
2025-04-22,51.5
2025-04-23,51.5
2025-04-24,51.5
2025-04-25,51.5
2025-04-26,51.5
2025-04-27,51.5
2025-04-28,51.5
2025-04-29,50.75
2025-04-30,50.0
2025-05-01,51.5
2025-05-02,51.5
2025-05-03,51.5
2025-05-04,51.5
2025-05-05,51.5
2025-05-06,51.5
2025-05-07,51.5
2025-05-08,51.5
2025-05-09,51.5
2025-05-10,51.5
2025-05-11,51.5
2025-05-12,51.5
2025-05-13,51.5
2025-05-14,51.5
2025-05-15,51.5
2025-05-16,51.5
2025-05-17,51.5
2025-05-18,51.5
2025-05-19,51.5
2025-05-20,51.5
2025-05-21,51.5
2025-05-22,51.5
2025-05-23,51.5
2025-05-24,51.5
2025-05-25,51.5
2025-05-26,51.5
2025-05-27,51.5
2025-05-28,51.5
2025-05-29,51.5
2025-05-30,51.5
2025-05-31,51.5
2025-06-01,51.5
2025-06-02,51.5
2025-06-03,51.5
2025-06-04,51.5
2025-06-05,51.5
2025-06-06,51.5
2025-06-07,51.5
2025-06-08,51.5
2025-06-09,51.5
2025-06-10,51.5
2025-06-11,51.5
2025-06-12,51.5
2025-06-13,51.5
2025-06-14,51.5
2025-06-15,51.5
2025-06-16,52.0
2025-06-17,51.75
2025-06-18,51.5
2025-06-19,51.5
2025-06-20,51.5
2025-06-21,51.5
2025-06-22,51.5
2025-06-23,51.5
2025-06-24,51.5
2025-06-25,51.5
2025-06-26,51.5
2025-06-27,51.5
2025-06-28,51.5
2025-06-29,51.5
2025-06-30,51.5
2025-07-01,51.5
2025-07-02,51.5
2025-07-03,51.5
2025-07-04,51.5
2025-07-05,51.5
2025-07-06,51.5
2025-07-07,51.5
2025-07-08,51.5
2025-07-09,51.5
2025-07-10,51.5
2025-07-11,51.5
2025-07-12,51.5
2025-07-13,51.5
2025-07-14,51.5
2025-07-15,51.5
2025-07-16,51.5
2025-07-17,50.0
2025-07-18,50.0
2025-07-19,50.0
2025-07-20,50.0
2025-07-21,50.0
2025-07-22,50.75
2025-07-23,51.5
2025-07-24,50.0
2025-07-25,51.0
2025-07-26,48.5
2025-07-27,50.0
2025-07-28,50.0
2025-07-29,50.0
2025-07-30,50.0
2025-07-31,50.0
2025-08-01,51.5
2025-08-02,51.5
2025-08-03,51.5
2025-08-04,51.0
2025-08-05,51.0
2025-08-06,51.0
2025-08-07,51.0
2025-08-08,51.0
2025-08-09,51.0
2025-08-10,51.0
2025-08-11,51.0
2025-08-12,51.5
2025-08-13,52.0
2025-08-14,51.5
2025-08-15,51.0
2025-08-16,49.5
2025-08-17,49.5
2025-08-18,49.5
2025-08-19,49.5
2025-08-20,49.5
2025-08-21,49.5
2025-08-22,50.5
2025-08-23,51.0
2025-08-24,51.0
2025-08-25,51.5
2025-08-26,50.5
2025-08-27,49.5
2025-08-28,51.0
2025-08-29,51.5
2025-08-30,51.0
2025-08-31,51.0
2025-09-01,51.0
2025-09-02,50.75
2025-09-03,50.5
2025-09-04,51.5
2025-09-05,51.0
2025-09-06,51.0
2025-09-07,51.0
2025-09-08,51.0
2025-09-09,51.0
2025-09-10,51.0
2025-09-11,51.0
2025-09-12,51.0
2025-09-13,51.0
2025-09-14,51.0
2025-09-15,51.0
2025-09-16,51.0
2025-09-17,51.0
2025-09-18,50.5
2025-09-19,51.0
2025-09-20,51.0
2025-09-21,51.0
2025-09-22,51.0
2025-09-23,51.0
2025-09-24,51.0
2025-09-25,51.0
2025-09-26,51.0
2025-09-27,51.0
2025-09-28,51.0
2025-09-29,51.0
2025-09-30,51.0
2025-10-01,51.0
2025-10-02,50.5
2025-10-03,50.5
2025-10-04,51.0
2025-10-05,49.5
2025-10-06,51.0
2025-10-07,50.75
2025-10-08,50.5
2025-10-09,50.0
2025-10-10,50.0
2025-10-11,49.5
2025-10-12,49.5
2025-10-13,49.0
2025-10-14,49.0
2025-10-15,49.0
2025-10-16,48.5
2025-10-17,48.5
2025-10-18,48.5
2025-10-19,49.0
2025-10-20,49.5
2025-10-21,49.25
2025-10-22,49.0
2025-10-23,48.5
2025-10-24,48.5
2025-10-25,49.0
2025-10-26,49.0
2025-10-27,48.5
2025-10-28,48.5
2025-10-29,48.5
2025-10-30,48.5
2025-10-31,48.5
2025-11-01,48.5
2025-11-02,48.5
2025-11-03,48.5
2025-11-04,48.25
2025-11-05,48.0
2025-11-06,48.0
2025-11-07,49.0
2025-11-08,49.0
2025-11-09,49.0
2025-11-10,48.5
2025-11-11,48.0
2025-11-12,47.5
2025-11-13,47.5
2025-11-14,47.5
2025-11-15,47.5
2025-11-16,47.5
2025-11-17,47.5
2025-11-18,47.5
2025-11-19,47.5
2025-11-20,47.5
2025-11-21,47.5
2025-11-22,47.5
2025-11-23,47.5
2025-11-24,47.5
2025-11-25,47.5
2025-11-26,47.5
2025-11-27,48.5
2025-11-28,47.5
2025-11-29,47.5
2025-11-30,47.5
2025-12-01,47.5
2025-12-02,47.5
2025-12-03,47.5
2025-12-04,47.0
2025-12-05,46.0
2025-12-06,46.0
2025-12-07,46.0
2025-12-08,47.0
2025-12-09,46.5
2025-12-10,46.0
2025-12-11,46.0
2025-12-12,46.0
2025-12-13,46.0
2025-12-14,46.0
2025-12-15,46.0
2025-12-16,46.25
2025-12-17,46.5
2025-12-18,46.5
2025-12-19,46.0
2025-12-20,46.0
2025-12-21,46.0
2025-12-22,46.0
2025-12-23,46.0
2025-12-24,46.0
2025-12-25,46.0
2025-12-26,46.0
2025-12-27,46.0
2025-12-28,46.0
2025-12-29,46.0
2025-12-30,46.0
2025-12-31,46.0
