date,price
2025-01-01,52.5
2025-01-02,52.5
2025-01-03,50.0
2025-01-04,50.0
2025-01-05,50.0
2025-01-06,47.5
2025-01-07,48.333333333333336
2025-01-08,49.166666666666664
2025-01-09,50.0
2025-01-10,47.5
2025-01-11,47.5
2025-01-12,47.5
2025-01-13,47.5
2025-01-14,48.333333333333336
2025-01-15,49.166666666666664
2025-01-16,50.0
2025-01-17,50.0
2025-01-18,47.5
2025-01-19,47.5
2025-01-20,50.0
2025-01-21,50.0
2025-01-22,50.0
2025-01-23,50.0
2025-01-24,50.0
2025-01-25,50.0
2025-01-26,50.0
2025-01-27,50.0
2025-01-28,50.0
2025-01-29,50.0
2025-01-30,50.0
2025-01-31,47.5
2025-02-01,47.5
2025-02-02,47.5
2025-02-03,47.5
2025-02-04,48.333333333333336
2025-02-05,49.166666666666664
2025-02-06,50.0
2025-02-07,47.5
2025-02-08,47.5
2025-02-09,47.5
2025-02-10,47.5
2025-02-11,48.333333333333336
2025-02-12,49.166666666666664
2025-02-13,50.0
2025-02-14,47.5
2025-02-15,47.5
2025-02-16,47.5
2025-02-17,47.5
2025-02-18,48.333333333333336
2025-02-19,49.166666666666664
2025-02-20,50.0
2025-02-21,47.5
2025-02-22,47.5
2025-02-23,47.5
2025-02-24,47.5
2025-02-25,48.333333333333336
2025-02-26,49.166666666666664
2025-02-27,50.0
2025-02-28,47.5
2025-03-01,47.5
2025-03-02,47.5
2025-03-03,47.5
2025-03-04,48.333333333333336
2025-03-05,49.166666666666664
2025-03-06,50.0
2025-03-07,47.5
2025-03-08,47.5
2025-03-09,47.5
2025-03-10,47.5
2025-03-11,48.333333333333336
2025-03-12,49.166666666666664
2025-03-13,50.0
2025-03-14,47.5
2025-03-15,47.5
2025-03-16,47.5
2025-03-17,47.5
2025-03-18,48.333333333333336
2025-03-19,49.166666666666664
2025-03-20,50.0
2025-03-21,47.5
2025-03-22,47.5
2025-03-23,47.5
2025-03-24,47.5
2025-03-25,47.5
2025-03-26,47.5
2025-03-27,47.5
2025-03-28,52.5
2025-03-29,55.0
2025-03-30,55.0
2025-03-31,55.0
2025-04-01,55.833333333333336
2025-04-02,56.666666666666664
2025-04-03,57.5
2025-04-04,55.0
2025-04-05,55.0
2025-04-06,55.0
2025-04-07,55.0
2025-04-08,55.0
2025-04-09,55.0
2025-04-10,55.0
2025-04-11,55.0
2025-04-12,55.0
2025-04-13,55.0
2025-04-14,55.0
2025-04-15,55.0
2025-04-16,55.0
2025-04-17,55.0
2025-04-18,55.0
2025-04-19,55.0
2025-04-20,55.0
2025-04-21,55.0
2025-04-22,55.0
2025-04-23,55.0
2025-04-24,55.0
2025-04-25,55.0
2025-04-26,55.0
2025-04-27,55.0
2025-04-28,55.0
2025-04-29,55.0
2025-04-30,55.0
2025-05-01,55.0
2025-05-02,55.0
2025-05-03,55.0
2025-05-04,55.0
2025-05-05,55.0
2025-05-06,55.0
2025-05-07,55.0
2025-05-08,55.0
2025-05-09,70.0
2025-05-10,55.0
2025-05-11,67.5
2025-05-12,57.5
2025-05-13,57.5
2025-05-14,57.5
2025-05-15,57.5
2025-05-16,57.5
2025-05-17,57.5
2025-05-18,57.5
2025-05-19,57.5
2025-05-20,57.5
2025-05-21,57.5
2025-05-22,57.5
2025-05-23,57.5
2025-05-24,57.5
2025-05-25,57.5
2025-05-26,57.5
2025-05-27,57.5
2025-05-28,57.5
2025-05-29,57.5
2025-05-30,57.5
2025-05-31,57.5
2025-06-01,57.5
2025-06-02,57.5
2025-06-03,57.5
2025-06-04,57.5
2025-06-05,57.5
2025-06-06,57.5
2025-06-07,57.5
2025-06-08,57.5
2025-06-09,57.5
2025-06-10,57.5
2025-06-11,57.5
2025-06-12,57.5
2025-06-13,57.5
2025-06-14,57.5
2025-06-15,57.5
2025-06-16,57.5
2025-06-17,57.5
2025-06-18,57.5
2025-06-19,57.5
2025-06-20,57.5
2025-06-21,57.5
2025-06-22,57.5
2025-06-23,57.5
2025-06-24,57.5
2025-06-25,57.5
2025-06-26,57.5
2025-06-27,57.5
2025-06-28,57.5
2025-06-29,57.5
2025-06-30,57.5
2025-07-01,57.5
2025-07-02,57.5
2025-07-03,57.5
2025-07-04,57.5
2025-07-05,57.5
2025-07-06,57.5
2025-07-07,57.5
2025-07-08,57.5
2025-07-09,57.5
2025-07-10,57.5
2025-07-11,57.5
2025-07-12,57.5
2025-07-13,57.5
2025-07-14,57.5
2025-07-15,57.5
2025-07-16,57.5
2025-07-17,57.5
2025-07-18,57.5
2025-07-19,57.5
2025-07-20,57.5
2025-07-21,57.5
2025-07-22,57.5
2025-07-23,57.5
2025-07-24,57.5
2025-07-25,57.5
2025-07-26,57.5
2025-07-27,57.5
2025-07-28,57.5
2025-07-29,57.5
2025-07-30,57.5
2025-07-31,57.5
2025-08-01,57.5
2025-08-02,57.5
2025-08-03,57.5
2025-08-04,57.5
2025-08-05,57.5
2025-08-06,57.5
2025-08-07,57.5
2025-08-08,57.5
2025-08-09,57.5
2025-08-10,57.5
2025-08-11,57.5
2025-08-12,57.5
2025-08-13,57.5
2025-08-14,57.5
2025-08-15,57.5
2025-08-16,57.5
2025-08-17,57.5
2025-08-18,52.5
2025-08-19,54.166666666666664
2025-08-20,55.833333333333336
2025-08-21,57.5
2025-08-22,57.5
2025-08-23,57.5
2025-08-24,55.0
2025-08-25,55.0
2025-08-26,56.666666666666664
2025-08-27,58.333333333333336
2025-08-28,60.0
2025-08-29,55.0
2025-08-30,55.0
2025-08-31,55.0
2025-09-01,55.0
2025-09-02,55.0
2025-09-03,55.0
2025-09-04,55.0
2025-09-05,57.5
2025-09-06,55.0
2025-09-07,55.0
2025-09-08,52.5
2025-09-09,53.333333333333336
2025-09-10,54.166666666666664
2025-09-11,55.0
2025-09-12,55.0
2025-09-13,55.0
2025-09-14,55.0
2025-09-15,55.0
2025-09-16,55.0
2025-09-17,55.0
2025-09-18,55.0
2025-09-19,55.0
2025-09-20,55.0
2025-09-21,55.0
2025-09-22,55.0
2025-09-23,55.0
2025-09-24,55.0
2025-09-25,55.0
2025-09-26,55.0
2025-09-27,55.0
2025-09-28,55.0
2025-09-29,55.0
2025-09-30,55.0
2025-10-01,55.0
2025-10-02,55.0
2025-10-03,52.5
2025-10-04,52.5
2025-10-05,52.5
2025-10-06,52.5
2025-10-07,52.5
2025-10-08,52.5
2025-10-09,52.5
2025-10-10,52.5
2025-10-11,52.5
2025-10-12,52.5
2025-10-13,57.5
2025-10-14,55.833333333333336
2025-10-15,54.166666666666664
2025-10-16,52.5
2025-10-17,52.5
2025-10-18,52.5
2025-10-19,52.5
2025-10-20,52.5
2025-10-21,52.5
2025-10-22,52.5
2025-10-23,52.5
2025-10-24,52.5
2025-10-25,52.5
2025-10-26,60.0
2025-10-27,57.5
2025-10-28,57.5
2025-10-29,57.5
2025-10-30,57.5
2025-10-31,57.5
2025-11-01,55.0
2025-11-02,52.5
2025-11-03,52.5
2025-11-04,55.833333333333336
2025-11-05,59.166666666666664
2025-11-06,62.5
2025-11-07,62.5
2025-11-08,57.5
2025-11-09,62.5
2025-11-10,57.5
2025-11-11,57.5
2025-11-12,57.5
2025-11-13,57.5
2025-11-14,57.5
2025-11-15,57.5
2025-11-16,60.0
2025-11-17,60.0
2025-11-18,60.0
2025-11-19,60.0
2025-11-20,60.0
2025-11-21,60.0
2025-11-22,60.0
2025-11-23,60.0
2025-11-24,60.0
2025-11-25,60.0
2025-11-26,60.0
2025-11-27,60.0
2025-11-28,60.0
2025-11-29,60.0
2025-11-30,60.0
2025-12-01,60.0
2025-12-02,61.666666666666664
2025-12-03,63.333333333333336
2025-12-04,65.0
2025-12-05,60.0
2025-12-06,60.0
2025-12-07,80.0
2025-12-08,60.0
2025-12-09,73.33333333333333
2025-12-10,86.66666666666667
2025-12-11,100.0
2025-12-12,60.0
2025-12-13,63.75
2025-12-14,60.0
2025-12-15,64.0
2025-12-16,62.666666666666664
2025-12-17,61.333333333333336
2025-12-18,60.0
2025-12-19,80.0
2025-12-20,60.0
2025-12-21,60.0
2025-12-22,62.5
2025-12-23,68.125
2025-12-24,73.75
2025-12-25,79.375
2025-12-26,85.0
2025-12-27,65.0
2025-12-28,65.0
2025-12-29,65.0
2025-12-30,65.0
2025-12-31,65.0
