date,price
2025-01-01,312.5
2025-01-02,312.5
2025-01-03,305.0
2025-01-04,300.0
2025-01-05,300.0
2025-01-06,300.0
2025-01-07,300.0
2025-01-08,300.0
2025-01-09,300.0
2025-01-10,300.0
2025-01-11,300.0
2025-01-12,300.0
2025-01-13,300.0
2025-01-14,301.6666666666667
2025-01-15,303.3333333333333
2025-01-16,305.0
2025-01-17,300.0
2025-01-18,300.0
2025-01-19,300.0
2025-01-20,300.0
2025-01-21,300.0
2025-01-22,300.0
2025-01-23,300.0
2025-01-24,300.0
2025-01-25,300.0
2025-01-26,300.0
2025-01-27,300.0
2025-01-28,300.0
2025-01-29,300.0
2025-01-30,300.0
2025-01-31,325.0
2025-02-01,325.0
2025-02-02,300.0
2025-02-03,300.0
2025-02-04,300.0
2025-02-05,300.0
2025-02-06,300.0
2025-02-07,300.0
2025-02-08,305.0
2025-02-09,300.0
2025-02-10,300.0
2025-02-11,300.0
2025-02-12,300.0
2025-02-13,300.0
2025-02-14,300.0
2025-02-15,300.0
2025-02-16,300.0
2025-02-17,300.0
2025-02-18,301.6666666666667
2025-02-19,303.3333333333333
2025-02-20,305.0
2025-02-21,300.0
2025-02-22,300.0
2025-02-23,300.0
2025-02-24,300.0
2025-02-25,300.0
2025-02-26,300.0
2025-02-27,300.0
2025-02-28,300.0
2025-03-01,300.0
2025-03-02,300.0
2025-03-03,300.0
2025-03-04,301.6666666666667
2025-03-05,303.3333333333333
2025-03-06,305.0
2025-03-07,305.0
2025-03-08,330.0
2025-03-09,305.0
2025-03-10,305.0
2025-03-11,306.6666666666667
2025-03-12,308.3333333333333
2025-03-13,310.0
2025-03-14,310.0
2025-03-15,310.0
2025-03-16,310.0
2025-03-17,310.0
2025-03-18,310.0
2025-03-19,310.0
2025-03-20,310.0
2025-03-21,315.0
2025-03-22,305.0
2025-03-23,305.0
2025-03-24,305.0
2025-03-25,306.6666666666667
2025-03-26,308.3333333333333
2025-03-27,310.0
2025-03-28,325.0
2025-03-29,320.0
2025-03-30,325.0
2025-03-31,320.0
2025-04-01,325.0
2025-04-02,330.0
2025-04-03,335.0
2025-04-04,325.0
2025-04-05,325.0
2025-04-06,325.8333333333333
2025-04-07,326.6666666666667
2025-04-08,327.5
2025-04-09,328.3333333333333
2025-04-10,329.1666666666667
2025-04-11,330.0
2025-04-12,335.0
2025-04-13,335.0
2025-04-14,335.0
2025-04-15,338.3333333333333
2025-04-16,341.6666666666667
2025-04-17,345.0
2025-04-18,335.0
2025-04-19,335.0
2025-04-20,335.0
