date,price
2025-01-01,185.0
2025-01-02,185.0
2025-01-03,180.0
2025-01-04,180.0
2025-01-05,170.0
2025-01-06,170.0
2025-01-07,170.0
2025-01-08,170.0
2025-01-09,170.0
2025-01-10,170.0
2025-01-11,175.0
2025-01-12,165.0
2025-01-13,166.66666666666666
2025-01-14,168.33333333333334
2025-01-15,170.0
2025-01-16,180.0
2025-01-17,185.0
2025-01-18,185.0
2025-01-19,180.0
2025-01-20,181.66666666666666
2025-01-21,183.33333333333334
2025-01-22,185.0
2025-01-23,185.0
2025-01-24,185.0
2025-01-25,185.0
2025-01-26,185.0
2025-01-27,181.66666666666666
2025-01-28,178.33333333333334
2025-01-29,175.0
2025-01-30,175.0
2025-01-31,175.0
2025-02-01,182.5
2025-02-02,182.5
2025-02-03,183.33333333333334
2025-02-04,184.16666666666666
2025-02-05,185.0
2025-02-06,185.0
2025-02-07,185.0
2025-02-08,185.0
2025-02-09,185.0
2025-02-10,183.33333333333334
2025-02-11,181.66666666666666
2025-02-12,180.0
2025-02-13,175.0
2025-02-14,170.0
2025-02-15,170.0
2025-02-16,170.0
2025-02-17,170.83333333333334
2025-02-18,171.66666666666666
2025-02-19,172.5
2025-02-20,172.5
2025-02-21,172.5
2025-02-22,172.5
2025-02-23,172.5
2025-02-24,173.33333333333334
2025-02-25,174.16666666666666
2025-02-26,175.0
2025-02-27,175.0
2025-02-28,175.0
2025-03-01,175.0
2025-03-02,175.0
2025-03-03,176.66666666666666
2025-03-04,178.33333333333334
2025-03-05,180.0
2025-03-06,175.0
2025-03-07,175.0
2025-03-08,185.0
2025-03-09,187.0
2025-03-10,183.0
2025-03-11,179.0
2025-03-12,175.0
2025-03-13,175.0
2025-03-14,175.0
2025-03-15,175.0
2025-03-16,177.5
2025-03-17,180.0
2025-03-18,182.5
2025-03-19,185.0
2025-03-20,177.5
2025-03-21,177.5
2025-03-22,182.5
2025-03-23,172.5
2025-03-24,173.33333333333334
2025-03-25,174.16666666666666
2025-03-26,175.0
2025-03-27,185.0
2025-03-28,185.0
2025-03-29,183.0
2025-03-30,181.0
2025-03-31,179.0
2025-04-01,177.0
2025-04-02,175.0
2025-04-03,175.0
2025-04-04,175.0
2025-04-05,175.0
2025-04-06,175.0
2025-04-07,174.16666666666666
2025-04-08,173.33333333333334
2025-04-09,172.5
2025-04-10,171.66666666666666
2025-04-11,170.83333333333334
2025-04-12,170.0
2025-04-13,170.0
2025-04-14,170.0
2025-04-15,170.0
2025-04-16,170.0
2025-04-17,170.0
2025-04-18,170.0
2025-04-19,170.0
2025-04-20,170.0
2025-04-21,170.0
2025-04-22,170.0
2025-04-23,170.0
2025-04-24,170.0
2025-04-25,170.0
2025-04-26,170.0
2025-04-27,167.5
2025-04-28,167.5
2025-04-29,168.75
2025-04-30,170.0
2025-05-01,170.0
